comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,climate_method,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip
Alt Camp,2016,Olivera per a oliva d'oli,olive,olive,1566.0,1.6,area_weighted,1.693369860134745,2.507641717287016,15.0,293.24812705852617,23.766122441885592,13.452655503451098,54.03116109328848,2.1768131694594883,2.796604443807024,44.0,317.670932496999,28.98577694640461,18.542811231569143,49.49600603698376,1.1284126772006764,2.307052969189443,7.0,197.6645609022206,20.879357039427862,12.777283797952288,241.5844126437705
Alt Camp,2017,Olivera per a oliva d'oli,olive,olive,1501.0,1.642,area_weighted,1.929780447354841,3.046661787401116,25.0,311.3019632020091,25.52261605033006,14.847476554812676,53.382970832525096,2.181227381023608,2.9478946198421108,41.0,319.59604167105334,29.235064290323013,19.250644810168343,62.7764065077253,1.2471251350688497,2.020361496456501,5.0,217.18833254339583,20.909581165537773,11.698531625649103,118.65803759686364
Alt Camp,2018,Olivera per a oliva d'oli,olive,olive,1513.0,0.603,area_weighted,1.471384895418107,2.322605647060648,10.0,267.66800976756514,23.414455523249824,13.995738998393197,181.6673554099743,2.051734436552037,3.120952392697519,33.0,299.3908681489747,29.083813851878432,19.22465128898072,164.27654077555977,1.046152974514311,2.020283761527897,5.0,195.625273291536,20.5294017280344,12.716248702166418,338.2987333494248
Alt Camp,2019,Olivera per a oliva d'oli,olive,olive,1468.0,2.05,area_weighted,1.8126376984468744,3.403325840063966,17.0,299.8123921999703,23.72805000865493,13.130651721750382,78.6443725981886,2.217154036918756,3.0069559604110903,44.0,312.50987442377294,29.424636133935767,19.18197653537648,97.16935123825706,1.2137216863417466,2.0738776474514067,5.0,228.5773306609196,20.73541335515297,12.57522730077226,226.64671932919663
Alt Camp,2020,Olivera per a oliva d'oli,olive,olive,1416.0,1.022,area_weighted,1.4433618944895965,2.0866838398017302,6.0,266.74321775239594,23.519656057823283,14.10303157276624,147.65237092395623,2.247650821025801,3.13742642062117,43.0,317.30847875143445,29.179607353757504,18.99761922700941,96.60904931571324,1.248413226448717,2.0438471412099,4.0,225.7138620513228,20.55946426127183,12.008569305046231,141.55425495794827
Alt Camp,2021,Olivera per a oliva d'oli,olive,olive,1303.0,1.64,area_weighted,1.6343841932695853,2.8551644489219283,11.0,282.64783581456925,23.58897111365908,14.048566559860449,82.65016281457835,2.1171622272902533,3.148859633871075,36.0,304.69783809643747,28.394699311505114,18.62770398749695,76.41887191232279,1.0790016744361266,1.726311452192861,0.0,201.95718277212595,20.05563292672616,12.36865995155632,251.94923557000524
Alt Camp,2022,Olivera per a oliva d'oli,olive,olive,1282.0,0.327,area_weighted,1.9688024200561425,3.265353802200817,22.0,312.2318009061444,25.76805032954457,15.209335718405285,89.87294610143978,2.441533743061888,3.4082429975995745,47.0,328.1736837263192,30.14187704710053,19.61322266238857,145.63299948253828,1.1803969586058696,1.804486286087088,1.0,215.9557799681744,21.70854129676008,13.86504711118986,170.65055414578595
Alt Camp,2023,Olivera per a oliva d'oli,olive,olive,1219.0,0.529,area_weighted,1.48727358599286,2.184741717473942,9.0,267.27927521956,23.586721101363707,14.246765335947403,171.52805232852762,2.192016174951975,3.427178081021365,35.0,317.2963009003658,29.43357609482745,19.854634754517622,81.14972872968364,1.4047833162761576,2.2302712831910343,9.0,255.2355849624441,22.307210682217384,13.978938997374884,96.41074422188709
Alt Camp,2024,Olivera per a oliva d'oli,olive,olive,1309.0,0.757,area_weighted,1.4412486138574732,2.267300636099186,8.0,275.4245038344688,22.72209405391284,13.95502760733099,116.99826083212804,2.17996870371102,3.4315982225493444,32.0,313.44614214817324,29.14790711748316,19.49949853077704,78.98984109440319,1.046749376492539,2.0785469954432227,4.0,204.69342460500084,20.171976021088764,13.09023203616796,344.719915440063
Alt Empordà,2016,Olivera per a oliva d'oli,olive,olive,2643.0,1.314,area_weighted,1.5810028563360226,2.595284975584857,13.0,292.95779674317805,23.31439519316657,14.9930398747742,97.98544750066073,2.632218674349818,3.4451318104649014,56.0,398.4888745020047,29.978479789841447,20.42012706499901,14.231122814299397,1.3886641875636587,2.882590137480933,18.0,253.0216089497166,21.55282373026591,13.69853163169538,219.51438512655704
Alt Empordà,2017,Olivera per a oliva d'oli,olive,olive,2323.0,1.075,area_weighted,1.814775851511136,2.9145620482046364,24.0,314.02843727087105,25.505393460845603,16.67777984084634,60.68732596929154,2.209940880105986,3.282602183083882,38.0,354.7654869123634,29.11694225726452,20.61480103316712,30.659203926704528,1.2655754974273268,1.978440121869084,4.0,247.8292755216615,20.578659055074446,12.253966059733177,104.73677984059935
Alt Empordà,2018,Olivera per a oliva d'oli,olive,olive,2678.0,1.01,area_weighted,1.770701001244196,2.769236620411463,20.0,310.20516298370046,24.718436967614902,16.172085949369404,93.51293997119028,2.770004140894289,3.8117748154038105,61.0,370.36556908879726,31.245329650487125,21.842509672201967,57.190509380835415,1.2320597347315358,2.3223279074209464,12.0,240.5844560125072,21.359833253161494,13.951738212461066,343.66169153423715
Alt Empordà,2019,Olivera per a oliva d'oli,olive,olive,2652.0,1.431,area_weighted,1.8086868645634304,3.1828046604990274,21.0,328.27246481766923,23.78850999329026,14.5664257813013,61.34968425764051,2.5590806223729774,3.3333148181972887,56.0,368.27303948042095,30.655003541568323,21.669128329148496,32.531185738902664,1.2703383554040413,2.577159479204269,9.0,242.0582046942348,21.07487481672189,13.301523654698595,347.37763753841307
Alt Empordà,2020,Olivera per a oliva d'oli,olive,olive,2677.0,1.503,area_weighted,1.544314887075043,2.3663781512436373,10.0,286.61430596759584,24.15036812757098,16.184446592886157,111.46322000479914,2.2919996010709447,2.870699312164034,48.0,352.9346066941889,29.603571184518632,20.749533246497126,47.95062100079153,1.1429148688045303,2.0315168401297057,5.0,225.4035179512012,20.279402460765706,12.566836154189277,231.5788501304564
Alt Empordà,2021,Olivera per a oliva d'oli,olive,olive,2171.0,0.7,area_weighted,1.7140284599587037,2.891706895177504,19.0,299.72320027116393,24.174413622828887,15.925684157076256,72.17421095647212,2.2795352284916865,3.237907289021259,44.0,345.38551538528213,28.864471321835907,20.28842288837249,37.23460009946263,1.2841317283033489,2.135705332003141,9.0,260.85299174900035,20.89436265037426,13.383719877595135,230.9685750250792
Alt Empordà,2022,Olivera per a oliva d'oli,olive,olive,2035.0,0.7,area_weighted,2.0488001238068008,3.073095472415313,32.0,351.0869468274761,26.7561080669496,17.440100500813845,43.89472532756705,2.7996440537542653,3.756804696267755,60.0,379.6000128771168,31.78174657042109,22.24566471284125,37.88541939784871,1.4619689886611449,2.5582041158795854,18.0,258.62409744193286,23.066359300644127,14.979616840247685,114.20068162483834
Alt Empordà,2023,Olivera per a oliva d'oli,olive,olive,1668.0,0.681,area_weighted,2.015891359742936,3.189127321653732,25.0,337.95500637328155,25.895996709026303,16.771579711949215,62.64851505779137,2.61728366444152,3.776960571328011,56.0,380.2689147727664,30.853006108236084,21.782550206926523,77.65956736054929,1.4340475936375745,2.199422671936466,10.0,258.4241080035096,22.96918696281206,14.750057019693308,111.62430916903708
Alt Empordà,2024,Olivera per a oliva d'oli,olive,olive,1620.0,1.588,area_weighted,1.539390498587367,2.368741867378597,11.0,287.600104356316,23.404245371928464,15.371936211936044,122.76395372485004,2.806995075567139,3.770706306222724,60.0,394.4793681621076,31.369681727023387,21.72900296645457,23.50302622515191,1.204018428384168,2.5132216196583075,9.0,242.51357180037488,21.27031054143628,14.201853976798272,229.21118986394453
Alt Penedès,2016,Olivera per a oliva d'oli,olive,olive,789.0,0.7,area_weighted,1.5898495077979036,2.277019914194377,12.0,293.3183597749311,23.1532505294104,13.198979982514526,73.33734675263503,2.07663566977445,2.7870552649496787,35.0,321.1344919083204,28.452250758451548,18.147235774761967,52.38264174022134,1.089153391529309,2.2544458118526234,8.0,199.43860917828508,20.376513263578243,12.1115972180029,265.4281601851085
Alt Penedès,2017,Olivera per a oliva d'oli,olive,olive,785.0,1.56,area_weighted,1.9896626845787968,3.199849377889715,29.0,323.0236128394533,25.61851142637808,14.672991579399158,41.292286399842645,2.111373452476208,2.9503676823206733,33.0,325.4780120260265,28.912718956828805,19.02145273729904,90.15256624984964,1.1180106962475864,1.8141987808090552,2.0,205.5972083053209,20.15947204371292,11.057134821067336,180.00664228789898
