model,family,metric,real,perm_mean,perm_median,perm_q95,empirical_p_ge
precip,ols,r2,0.5945663095408414,0.395418415647621,0.3948646806398542,0.40805253986269197,0.0
precip,ols,adj_r2,0.5227551761753816,0.288333854581517,0.28768204104838924,0.30320575725534593,0.0
precip,ols,raw_sig,5.0,0.43333333333333335,0.0,1.5499999999999972,0.0
precip,ols,bh_sig,4.0,0.0,0.0,0.0,0.0
precip,ols,min_p,6.229395302604173e-14,0.12150632990970746,0.08589506694207616,0.2617347725630983,1.0
precip,enet,train_r2,0.5590357937781032,0.11030022656613231,0.0,0.37944856993787784,0.0
precip,enet,cv_r2,0.27463725334210565,-0.014966207314112634,-0.017489026769186733,0.0022831497983856895,0.0
precip,enet,nonzero,11.0,3.9,0.0,13.0,0.3
precip,enet,alpha,0.00905393816558054,0.3371529476929488,0.4593377097492858,0.6360267145179728,0.8
precip,enet,l1_ratio,0.1,0.21866666666666662,0.1,0.99,1.0
vmax,ols,r2,0.5883799208214933,0.39415827519275326,0.39266320620549433,0.41567576705538023,0.0
vmax,ols,adj_r2,0.5154730433286212,0.2868505158173,0.2850906375629251,0.31217922395079806,0.0
vmax,ols,raw_sig,4.0,0.6666666666666666,0.0,2.549999999999997,0.0
vmax,ols,bh_sig,2.0,0.1,0.0,0.0,0.03333333333333333
vmax,ols,min_p,2.5736566778586772e-09,0.10281564497335947,0.055400783136969646,0.3526785667692345,1.0
vmax,enet,train_r2,0.524675600859735,0.19759333276350788,0.16106203820030873,0.34521842421840865,0.0
vmax,enet,cv_r2,0.20327764708136398,0.08971111441204413,0.08895021926869129,0.11235675715383316,0.0
vmax,enet,nonzero,13.0,8.9,9.0,12.0,0.03333333333333333
vmax,enet,alpha,0.002971910582434649,0.06618986862825055,0.053972504591804984,0.14006384320804902,0.9333333333333333
vmax,enet,l1_ratio,0.99,0.453,0.1,0.99,0.36666666666666664
