feature,r2,slope,n,p,pheno_key
season_vpd_max_lpf30_peak,0.35868674926851446,2.79537845526651,52,2.727827472850164e-06,other
season_vpd_mean_lpf30_peak,0.35531994978044645,3.1138501485865167,52,3.1226576744161754e-06,other
season_vpd_mean_lpf14_peak,0.33718732171554194,2.750237452236132,52,6.39700206825559e-06,other
season_vpd_mean_lpf7_peak,0.3342752334113041,2.502720277885731,52,7.165943306308074e-06,other
season_vpd_max_lpf14_peak,0.3342482094850136,2.4683919688903733,52,7.173480567611135e-06,other
season_vpd_max_lpf7_peak,0.3261986530790155,2.213723224082167,52,9.79460258785886e-06,other
vpd_max_lpf7_peak_doy,0.32592709488452515,-0.006169019393632959,96,1.253070102956507e-09,hazelnut
vpd_mean_lpf7_peak_doy,0.318399947284569,-0.006045745955662069,96,2.135111143989805e-09,hazelnut
vpd_max_lpf14_peak_doy,0.3136299056453113,-0.0069738418234058875,96,2.9843750752502044e-09,hazelnut
season_et0_mean_lpf7_peak,0.31133224047036695,2.107661159207202,52,1.7259569112696668e-05,other
season_vpd_mean_lpf3_peak,0.30959128699235317,2.130037999495302,52,1.843035527892233e-05,other
season_et0_mean_lpf14_peak,0.30756773668095216,2.3892992690845096,52,1.988770083022082e-05,other
season_vpd_max_lpf3_peak,0.29250868715580874,1.8562325386854035,52,3.482696428857976e-05,other
et0_mean_lpf14_peak_doy,0.2887163980695161,-0.00942735973472161,96,1.6575888942070434e-08,hazelnut
season_et0_mean_lpf30_peak,0.2854552296651332,2.633296654034401,52,4.511709565384604e-05,other
vpd_mean_lpf14_peak_doy,0.27704586422278404,-0.0066123246616407744,96,3.6311353056925044e-08,hazelnut
maturation_et0_mean_lpf3_peak,0.2748620936016369,-0.1445991217162631,96,4.199612353761048e-08,hazelnut
season_et0_mean_lpf3_peak,0.27366629475033527,1.801620593702055,52,6.920452177989175e-05,other
vpd_mean_lpf30_peak_doy,0.25258086957729237,-0.11120327981120266,57,6.781937306461221e-05,apricot
tmax_mean_lpf3_peak_doy,0.24157320317250655,-0.005623446261918739,96,3.6764155655478134e-07,hazelnut
tmax_mean_lpf7_peak_doy,0.2386270434643097,-0.006651677419354841,96,4.436351145067761e-07,hazelnut
maturation_et0_mean_lpf7_peak,0.23551380631918334,-0.14603596689257642,96,5.406967657018531e-07,hazelnut
et0_mean_lpf30_peak_doy,0.23336607759863864,-0.02178987178504838,118,3.0165021607479724e-08,cherry
vpd_mean_lpf30_peak_doy,0.22684508154431343,-0.020294057417331174,118,4.9958536218487293e-08,cherry
vpd_max_lpf30_peak_doy,0.2260138672393374,-0.10339195383150884,57,0.0001861177281719585,apricot
vpd_mean_lpf3_peak_doy,0.22477093516718696,-0.004731397313284845,96,1.0644839165025479e-06,hazelnut
tmax_mean_lpf30_peak_doy,0.2185013336058632,-0.1182303034789997,57,0.000246364771303558,apricot
tmax_mean_lpf14_peak_doy,0.2136741855725057,-0.02326452671468692,118,1.3683873736907991e-07,cherry
et0_mean_lpf7_peak_doy,0.2128659548007623,-0.006343822865120491,96,2.2339350014045795e-06,hazelnut
season_tmax_mean_lpf3_peak,0.2108901236361522,0.6724678136456621,52,0.0006160001960611127,other
