comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha_weighted,flower_cum_et0,flower_cum_precip_weighted,flower_max_vpd_weighted,flower_mean_tmax_weighted,flower_mean_tmin,flower_mean_vpd_weighted,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip_weighted,fruit_set_max_vpd_weighted,fruit_set_mean_tmax_weighted,fruit_set_mean_tmin,fruit_set_mean_vpd_weighted,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip_weighted,maturation_max_vpd_weighted,maturation_mean_tmax_weighted,maturation_mean_tmin,maturation_mean_vpd_weighted,maturation_n_days_vpd_gt2,yield_tha_centroid,flower_mean_vpd_centroid,flower_max_vpd_centroid,flower_cum_precip_centroid,flower_mean_tmax_centroid,fruit_set_mean_vpd_centroid,fruit_set_max_vpd_centroid,fruit_set_cum_precip_centroid,fruit_set_mean_tmax_centroid,maturation_mean_vpd_centroid,maturation_max_vpd_centroid,maturation_cum_precip_centroid,maturation_mean_tmax_centroid,flower_mean_vpd_diff,flower_max_vpd_diff,flower_cum_precip_diff,flower_mean_tmax_diff,fruit_set_mean_vpd_diff,fruit_set_max_vpd_diff,fruit_set_cum_precip_diff,fruit_set_mean_tmax_diff,maturation_mean_vpd_diff,maturation_max_vpd_diff,maturation_cum_precip_diff,maturation_mean_tmax_diff
Alt Camp,2016,Olivera per a oliva d'oli,olive,olive,1566.0,1.6,293.24812705852617,54.03116109328848,2.507641717287016,23.766122441885592,13.452655503451098,1.693369860134745,15,317.670932496999,49.49600603698376,2.796604443807024,28.98577694640461,18.542811231569143,2.1768131694594883,44,197.6645609022206,241.5844126437705,2.307052969189443,20.879357039427862,12.777283797952288,1.1284126772006764,7,1.6,1.606253743829882,2.4145424883718243,55.1000001107653,22.9217434075361,2.096377287839743,2.709203052745176,50.40333349630237,28.286747151036444,1.0425755842620246,2.2233034331722825,241.7333328003685,19.931597632104246,0.08711611630486304,0.09309922891519173,-1.0688390174768188,0.8443790343494939,0.08043588161974524,0.08740139106184808,-0.9073274593186156,0.6990297953681655,0.08583709293865183,0.08374953601716051,-0.1489201565979954,0.9477594073236162
Alt Empordà,2016,Olivera per a oliva d'oli,olive,olive,2643.0,1.314,292.95779674317805,97.98544750066073,2.595284975584857,23.31439519316657,14.9930398747742,1.5810028563360226,13,398.4888745020047,14.231122814299397,3.4451318104649014,29.978479789841447,20.42012706499901,2.632218674349818,56,253.0216089497166,219.51438512655704,2.882590137480933,21.55282373026591,13.69853163169538,1.3886641875636587,18,1.314,1.5442009309410385,2.5657462356143363,169.690000731365,22.99830810403938,2.6204398153740684,3.432186047382139,55.62857147652124,29.75176606068416,1.3815169265144218,2.920254163612351,239.62071299526312,21.142704320215937,0.03680192539498406,0.029538739970520478,-71.70455323070426,0.31608708912718697,0.011778858975749706,0.012945763082762518,-41.39744866222184,0.22671372915728583,0.007147261049236908,-0.03766402613141828,-20.106327868706074,0.41011941004997254
Alt Penedès,2016,Olivera per a oliva d'oli,olive,olive,789.0,0.7,293.3183597749311,73.33734675263503,2.277019914194377,23.1532505294104,13.198979982514526,1.5898495077979036,12,321.1344919083204,52.38264174022134,2.7870552649496787,28.452250758451548,18.147235774761967,2.07663566977445,35,199.43860917828508,265.4281601851085,2.2544458118526234,20.376513263578243,12.1115972180029,1.089153391529309,8,0.7,1.5664161257688218,2.2399582583125066,70.64285604735569,23.11238784968715,2.031287381916856,2.7212023543897224,52.10714328289032,28.351249814363136,1.0799603567135734,2.206441215938015,264.3628571786519,20.46649421919461,0.02343338202908174,0.0370616558818706,2.6944907052793354,0.04086267972325075,0.04534828785759393,0.06585291055995635,0.2754984573310182,0.10100094408841187,0.009193034815735635,0.04800459591460848,1.0653030064565883,-0.08998095561636887
Alt Urgell,2016,Olivera per a oliva d'oli,olive,olive,126.0,0.76,242.71942114830017,155.86000260524452,2.4076367170687334,20.018647705409144,9.34673868581386,1.4027953926571677,8,273.5091972351074,120.2699995879084,2.7603426208943147,26.01682676945326,14.322115761073729,1.9971823399498896,33,162.11048969626427,271.5699998382479,2.266710585539572,17.330798168911294,7.406453592589177,1.1172527603400102,5,0.76,1.2401803078836255,2.121612118219509,162.28941237269078,18.43511019994578,1.790315166342263,2.4373942994943154,120.83117626333498,24.43286000202912,0.9826590802087728,1.982531985717836,267.39823544759525,15.703770516808005,0.16261508477354214,0.28602459884922427,-6.429409767446259,1.5835375054633651,0.20686717360762663,0.3229483213999993,-0.5611766754265801,1.5839667674241404,0.1345936801312374,0.2841785998217361,4.1717643906526405,1.6270276521032887
Anoia,2016,Olivera per a oliva d'oli,olive,olive,576.0,0.45,293.9761861446464,83.12999896332622,2.690098340129849,24.34340585589687,13.289481556338265,1.8254068905707064,22,324.2758095368896,78.33000102825463,3.2370307467227346,29.91085750368392,18.43229374305822,2.4368381412923985,48,194.69017908002863,265.6499967034906,2.625051259306061,21.03431095835796,11.380471266013153,1.249153252702207,10,0.45,1.805645152334852,2.7371285869781223,76.68111053481697,23.6956044014686,2.4121974487136306,3.1917693110386165,80.24111135655806,29.35403772716456,1.1791639727774093,2.562530720358246,260.6322213690728,20.14168172051476,0.019761738235854365,-0.04703024684827328,6.44888842850925,0.6478014544282686,0.024640692578767887,0.04526143568411811,-1.9111103283034367,0.5568197765193617,0.06998927992479764,0.06252053894781495,5.01777533441782,0.8926292378431988
Baix Camp,2016,Olivera per a oliva d'oli,olive,olive,2337.0,1.6,309.71002546087334,29.566337594833776,2.448831399277362,23.49177411043822,14.87470226153742,1.5784494729015843,13,331.4346035336175,23.879747955516848,2.7543870885611064,28.63129549063608,20.161896906091865,1.998248605049089,28,224.23725629412755,227.34141939713143,2.201942688302059,21.352711918711687,14.315143522855246,1.1407074163093331,7,1.6,1.4827436461709007,2.2709381799456905,34.12000044488481,22.59933175794975,1.944199322151436,2.586089676490825,23.09142864628562,27.975681863951817,1.0605354790172052,2.155120926825343,220.42571495473385,20.38762453279842,0.09570582673068362,0.17789321933167157,-4.553662850051033,0.892442352488473,0.054049282897653095,0.16829741207028137,0.7883193092312268,0.6556136266842643,0.0801719372921279,0.04682176147671635,6.915704442397583,0.965087385913268
Baix Ebre,2016,Olivera per a oliva d'oli,olive,olive,19130.0,1.3,324.96070059642994,41.21057400497343,2.807847079550965,24.84294422671145,15.134406897104022,1.836949508690252,27,353.4598889616201,19.40911498616344,3.202077927273161,30.289402537376727,20.458390273562507,2.423901818503121,47,243.3810875795559,241.1286772867488,2.6372115530388056,22.316453845169384,14.441740925973884,1.3407409880159844,12,1.3,1.7587128581407012,2.6730746541295,49.07299981191755,24.09975075643573,2.381873085805457,3.082985465708634,20.418000048026443,29.70762658888296,1.2620743546267943,2.5831336376770864,240.92600002624096,21.44307834499487,0.07823665054955087,0.13477242542146506,-7.862425806944117,0.7431934702757204,0.04202873269766405,0.1190924615645268,-1.0088850618630012,0.5817759484937675,0.07866663338919011,0.05407791536171924,0.20267726050784063,0.8733755001745145
Baix Empordà,2016,Olivera per a oliva d'oli,olive,olive,528.0,1.314,277.0853143294542,60.22615460844536,2.2877392660202216,22.799645120985925,14.706495367941711,1.407579649146048,11,363.9488236616648,13.247715203140944,2.934265518530602,29.30514855247329,20.297269926592573,2.304178742628256,46,230.0641632748108,207.3066553571891,2.408235915853239,21.2526652160108,13.60116646968698,1.2256238724941442,11,1.314,1.3772944823420945,2.253680160493841,64.6414288841188,22.714628025742844,2.276111750403347,2.9167671520905603,12.89285716095141,29.23326766194289,1.2102604316318049,2.411509601238555,208.7371425612696,21.23778001434951,0.030285166803953434,0.034059105526380584,-4.415274275673433,0.08501709524308154,0.02806699222490927,0.017498366440041657,0.35485804218953376,0.07188089053040159,0.015363440862339317,-0.0032736853853161385,-1.4304872040804923,0.014885201661289926
Baix Llobregat,2016,Olivera per a oliva d'oli,olive,olive,486.0,0.8,284.0299784334353,89.0557397225184,2.58525990285355,24.437818239571875,13.606957705446106,1.801190964781549,22,319.85850290658584,67.14433195343528,3.2955854810181147,30.22291185226872,18.776535858991235,2.514706341658691,54,192.76100870879387,269.6032669932577,2.6544400220580777,21.39914347191523,12.031429347358698,1.2906597109792777,12,0.8,1.248589901343573,1.814891855788868,68.82142857914523,22.44341394929196,1.6844783305437516,2.3019680326159366,51.21000093434538,27.747721743254093,1.0197437029296954,1.87366251908767,275.19999973103404,20.96866197331549,0.5526010634379759,0.7703680470646819,20.234311143373162,1.9944042902799168,0.8302280111149394,0.993617448402178,15.934331019089903,2.475190109014626,0.27091600804958227,0.7807775029704078,-5.596732737776335,0.4304814985997396
Baix Penedès,2016,Olivera per a oliva d'oli,olive,olive,1187.0,1.6,292.4686016484848,50.852897723472765,2.41127780297304,23.848177560088136,15.159965417289678,1.6291167063376657,14,316.5009631475048,48.02081119335789,2.688284868765071,28.873375274563635,20.351115889177805,2.0496271188482784,36,196.76396532155243,253.56228802481056,2.187290217967871,21.395398243568174,14.338104200880675,1.1206260763073037,8,1.6,1.292714679114604,1.935411053706101,39.23666656638186,22.53017478067369,1.6430174922776013,2.2114527614974047,33.586666741097964,27.58103414556033,0.9634127010186552,1.776589904886198,254.30999867804348,20.90787295386908,0.3364020272230617,0.4758667492669393,11.616231157090908,1.3180027794144458,0.4066096265706771,0.4768321072676662,14.434144452259929,1.2923411290033044,0.15721337528864854,0.4107003130816729,-0.7477106532329287,0.4875252896990929
