comarca,total_ha,n_parcels,cult_ha,cult_n_parcels,cult_frac
Baix Ebre,10183.85,6356,7554.070000000001,4808,0.7417695665195383
Montsià,10410.24,6817,6929.120000000001,4541,0.6656061723841142
Ribera d'Ebre,2899.53,2193,274.14,211,0.09454635751311419
Terra Alta,1962.95,1870,28.169999999999998,25,0.014350849486741892
Baix Camp,713.21,699,16.11,17,0.02258801755443698
Noguera,808.93,754,1.26,2,0.0015576131432880472
Baix Llobregat,139.37,104,0.67,1,0.004807347348783813
Priorat,445.4,449,0.57,1,0.001279748540637629
Alt Urgell,21.12,24,0.0,0,0.0
Alt Penedès,220.77,248,0.0,0,0.0
Alt Empordà,1313.09,1253,0.0,0,0.0
Alt Camp,859.32,848,0.0,0,0.0
Conca de Barberà,427.04,475,0.0,0,0.0
Baix Penedès,440.47,458,0.0,0,0.0
Garraf,25.64,30,0.0,0,0.0
Garrigues,9432.25,6152,0.0,0,0.0
Gironès,49.84,33,0.0,0,0.0
Baix Empordà,202.87,219,0.0,0,0.0
Anoia,309.69,244,0.0,0,0.0
Bages,107.54,111,0.0,0,0.0
Maresme,0.69,1,0.0,0,0.0
Moianès,4.08,7,0.0,0,0.0
Garrotxa,1.02,1,0.0,0,0.0
Osona,0.74,1,0.0,0,0.0
Pla d'Urgell,20.2,18,0.0,0,0.0
Pallars Sobirà,1.6400000000000001,2,0.0,0,0.0
Pla de l'Estany,12.620000000000001,9,0.0,0,0.0
Pallars Jussà,382.99,406,0.0,0,0.0
Segarra,248.89000000000001,257,0.0,0,0.0
Segrià,5536.51,3132,0.0,0,0.0
Solsonès,18.35,17,0.0,0,0.0
Selva,23.09,14,0.0,0,0.0
Tarragonès,312.08,324,0.0,0,0.0
Urgell,1740.43,1416,0.0,0,0.0
Vallès Occidental,44.410000000000004,45,0.0,0,0.0
Vallès Oriental,109.63,97,0.0,0,0.0
