comarca,date,year,agro_year,p_minus_et0_daily,cum_p_minus_et0
Alt Camp,2015-01-01,2015,2015,-0.9509033337235451,-0.9509033337235451
Alt Camp,2015-01-02,2015,2015,-1.412832736968994,-2.363736070692539
Alt Camp,2015-01-03,2015,2015,-1.5321229100227356,-3.895858980715275
Alt Camp,2015-01-04,2015,2015,-0.9799025555451712,-4.875761536260446
Alt Camp,2015-01-05,2015,2015,-0.6825782656669617,-5.558339801927407
Alt Camp,2015-01-06,2015,2015,-0.7725116815418006,-6.330851483469208
Alt Camp,2015-01-07,2015,2015,-0.8158531685670217,-7.14670465203623
Alt Camp,2015-01-08,2015,2015,-0.8526915311813354,-7.9993961832175655
Alt Camp,2015-01-09,2015,2015,-1.0094828406969707,-9.008879023914536
Alt Camp,2015-01-10,2015,2015,-1.3593429327011108,-10.368221956615647
Alt Camp,2015-01-11,2015,2015,-1.1232037246227264,-11.491425681238374
Alt Camp,2015-01-12,2015,2015,-0.943211277325948,-12.43463695856432
Alt Camp,2015-01-13,2015,2015,-0.6393221418062847,-13.073959100370606
Alt Camp,2015-01-14,2015,2015,-1.284134606520335,-14.35809370689094
Alt Camp,2015-01-15,2015,2015,-0.8305695752302805,-15.18866328212122
Alt Camp,2015-01-16,2015,2015,1.7078170577685041,-13.480846224352717
Alt Camp,2015-01-17,2015,2015,-1.2643690903981526,-14.74521531475087
Alt Camp,2015-01-18,2015,2015,0.3409670193990072,-14.404248295351863
Alt Camp,2015-01-19,2015,2015,4.513564020395279,-9.890684274956584
Alt Camp,2015-01-20,2015,2015,0.7592962781588236,-9.131387996797761
Alt Camp,2015-01-21,2015,2015,-0.9893144151816766,-10.120702411979437
Alt Camp,2015-01-22,2015,2015,-1.154895265897115,-11.275597677876553
Alt Camp,2015-01-23,2015,2015,-1.8701851566632588,-13.14578283453981
Alt Camp,2015-01-24,2015,2015,-2.124659538269043,-15.270442372808855
Alt Camp,2015-01-25,2015,2015,-2.6279526154200235,-17.898394988228876
Alt Camp,2015-01-26,2015,2015,-1.144034167130788,-19.042429155359667
Alt Camp,2015-01-27,2015,2015,-1.520416601871451,-20.562845757231116
Alt Camp,2015-01-28,2015,2015,-1.2385644714037578,-21.801410228634875
Alt Camp,2015-01-29,2015,2015,-1.8943732529878616,-23.695783481622737
Alt Camp,2015-01-30,2015,2015,3.5583961606025696,-20.137387321020167
Alt Camp,2015-01-31,2015,2015,-1.8852888147036233,-22.02267613572379
Alt Camp,2015-02-01,2015,2015,-2.1445743540922804,-24.16725048981607
Alt Camp,2015-02-02,2015,2015,-1.2913545866807303,-25.458605076496802
Alt Camp,2015-02-03,2015,2015,2.0719658335049944,-23.386639242991805
Alt Camp,2015-02-04,2015,2015,13.063951532046,-10.322687710945807
Alt Camp,2015-02-05,2015,2015,-1.926496048768362,-12.24918375971417
Alt Camp,2015-02-06,2015,2015,-1.5090162952740986,-13.758200054988269
Alt Camp,2015-02-07,2015,2015,-1.201484441757202,-14.95968449674547
Alt Camp,2015-02-08,2015,2015,-1.7458281517028809,-16.70551264844835
Alt Camp,2015-02-09,2015,2015,-1.465257982412974,-18.170770630861323
Alt Camp,2015-02-10,2015,2015,-1.6053279836972554,-19.77609861455858
Alt Camp,2015-02-11,2015,2015,-1.2514816721280415,-21.02758028668662
Alt Camp,2015-02-12,2015,2015,-1.037553648153941,-22.065133934840564
Alt Camp,2015-02-13,2015,2015,-1.4927082862704992,-23.557842221111063
Alt Camp,2015-02-14,2015,2015,-1.7904029004275799,-25.348245121538643
Alt Camp,2015-02-15,2015,2015,-1.4188120290637016,-26.767057150602344
Alt Camp,2015-02-16,2015,2015,-1.8266252875328064,-28.59368243813515
Alt Camp,2015-02-17,2015,2015,-1.5661012306809425,-30.159783668816093
Alt Camp,2015-02-18,2015,2015,-1.8064133524894717,-31.966197021305565
Alt Camp,2015-02-19,2015,2015,-1.6074225902557373,-33.5736196115613
Alt Camp,2015-02-20,2015,2015,-1.404794216156006,-34.978413827717304
Alt Camp,2015-02-21,2015,2015,0.34728745619456003,-34.63112637152275
Alt Camp,2015-02-22,2015,2015,-3.0850805838902797,-37.71620695541303
Alt Camp,2015-02-23,2015,2015,-2.5308687190214796,-40.247075674434505
Alt Camp,2015-02-24,2015,2015,-3.2672489285469055,-43.51432460298141
Alt Camp,2015-02-25,2015,2015,-2.829165183007717,-46.34348978598913
Alt Camp,2015-02-26,2015,2015,-1.9247284680604937,-48.26821825404962
Alt Camp,2015-02-27,2015,2015,-3.3919664820035296,-51.660184736053154
Alt Camp,2015-02-28,2015,2015,-1.975154360135396,-53.635339096188545
