comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Alt Camp,2016,Olivera per a oliva d'oli,olive,olive,1566.0,1.6,293.24812705852617,54.03116109328848,2.507641717287016,23.766122441885592,13.452655503451098,1.693369860134745,15,317.670932496999,49.49600603698376,2.796604443807024,28.98577694640461,18.542811231569143,2.1768131694594883,44,197.6645609022206,241.5844126437705,2.307052969189443,20.879357039427862,12.777283797952288,1.1284126772006764,7
Alt Empordà,2016,Olivera per a oliva d'oli,olive,olive,2643.0,1.314,292.95779674317805,97.98544750066073,2.595284975584857,23.314395193166572,14.9930398747742,1.5810028563360226,13,398.4888745020047,14.231122814299397,3.4451318104649014,29.978479789841447,20.42012706499901,2.632218674349818,56,253.0216089497166,219.51438512655704,2.882590137480933,21.55282373026591,13.69853163169538,1.3886641875636587,18
Alt Penedès,2016,Olivera per a oliva d'oli,olive,olive,789.0,0.7,293.3183597749311,73.33734675263503,2.277019914194377,23.153250529410396,13.198979982514526,1.5898495077979036,12,321.1344919083204,52.38264174022134,2.7870552649496787,28.452250758451548,18.147235774761967,2.07663566977445,35,199.43860917828508,265.4281601851085,2.2544458118526234,20.376513263578243,12.1115972180029,1.089153391529309,8
Alt Urgell,2016,Olivera per a oliva d'oli,olive,olive,126.0,0.76,242.71942114830017,155.86000260524452,2.4076367170687334,20.018647705409144,9.34673868581386,1.4027953926571677,8,273.5091972351074,120.2699995879084,2.7603426208943147,26.01682676945326,14.322115761073729,1.9971823399498896,33,162.11048969626427,271.5699998382479,2.266710585539572,17.330798168911294,7.406453592589177,1.1172527603400102,5
Anoia,2016,Olivera per a oliva d'oli,olive,olive,576.0,0.45,293.9761861446464,83.12999896332622,2.690098340129849,24.34340585589687,13.289481556338265,1.8254068905707064,22,324.2758095368896,78.33000102825463,3.2370307467227346,29.91085750368392,18.43229374305822,2.4368381412923985,48,194.69017908002863,265.6499967034906,2.625051259306061,21.03431095835796,11.380471266013153,1.249153252702207,10
Baix Camp,2016,Olivera per a oliva d'oli,olive,olive,2337.0,1.6,309.71002546087334,29.566337594833776,2.448831399277362,23.49177411043822,14.87470226153742,1.5784494729015843,13,331.4346035336175,23.879747955516848,2.7543870885611064,28.631295490636077,20.161896906091865,1.998248605049089,28,224.23725629412755,227.34141939713143,2.201942688302059,21.352711918711687,14.315143522855246,1.1407074163093331,7
Baix Ebre,2016,Olivera per a oliva d'oli,olive,olive,19130.0,1.3,324.96070059642994,41.21057400497343,2.807847079550965,24.84294422671145,15.134406897104022,1.8369495086902516,27,353.4598889616201,19.40911498616344,3.202077927273161,30.289402537376727,20.458390273562507,2.423901818503121,47,243.3810875795559,241.1286772867488,2.6372115530388056,22.316453845169384,14.441740925973884,1.3407409880159844,12
Baix Empordà,2016,Olivera per a oliva d'oli,olive,olive,528.0,1.314,277.0853143294542,60.22615460844536,2.2877392660202216,22.799645120985925,14.706495367941711,1.407579649146048,11,363.9488236616648,13.247715203140944,2.934265518530602,29.30514855247329,20.297269926592573,2.304178742628256,46,230.06416327481077,207.3066553571891,2.408235915853239,21.2526652160108,13.60116646968698,1.2256238724941442,11
Baix Llobregat,2016,Olivera per a oliva d'oli,olive,olive,486.0,0.8,284.0299784334353,89.0557397225184,2.58525990285355,24.437818239571875,13.606957705446106,1.801190964781549,22,319.85850290658584,67.14433195343528,3.2955854810181147,30.22291185226872,18.776535858991235,2.514706341658691,54,192.76100870879387,269.6032669932577,2.6544400220580777,21.39914347191523,12.031429347358698,1.2906597109792777,12
Baix Penedès,2016,Olivera per a oliva d'oli,olive,olive,1187.0,1.6,292.4686016484848,50.852897723472765,2.41127780297304,23.848177560088136,15.159965417289678,1.6291167063376657,14,316.5009631475048,48.02081119335789,2.688284868765071,28.873375274563635,20.351115889177805,2.0496271188482784,36,196.76396532155243,253.56228802481056,2.187290217967871,21.395398243568174,14.338104200880675,1.1206260763073037,8
