comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,pre_flower_mean_vpd,pre_flower_max_vpd,pre_flower_n_days_vpd_gt2,pre_flower_cum_et0,pre_flower_mean_tmax,pre_flower_mean_tmin,pre_flower_cum_precip,flower_set_mean_vpd,flower_set_max_vpd,flower_set_n_days_vpd_gt2,flower_set_cum_et0,flower_set_mean_tmax,flower_set_mean_tmin,flower_set_cum_precip,fruit_dev_mean_vpd,fruit_dev_max_vpd,fruit_dev_n_days_vpd_gt2,fruit_dev_cum_et0,fruit_dev_mean_tmax,fruit_dev_mean_tmin,fruit_dev_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,fruit_fill_mean_vpd,fruit_fill_max_vpd,fruit_fill_n_days_vpd_gt2,fruit_fill_cum_et0,fruit_fill_mean_tmax,fruit_fill_mean_tmin,fruit_fill_cum_precip,cell_div_mean_vpd,cell_div_max_vpd,cell_div_n_days_vpd_gt2,cell_div_cum_et0,cell_div_mean_tmax,cell_div_mean_tmin,cell_div_cum_precip,cell_exp_mean_vpd,cell_exp_max_vpd,cell_exp_n_days_vpd_gt2,cell_exp_cum_et0,cell_exp_mean_tmax,cell_exp_mean_tmin,cell_exp_cum_precip,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,harvest_mean_vpd,harvest_max_vpd,harvest_n_days_vpd_gt2,harvest_cum_et0,harvest_mean_tmax,harvest_mean_tmin,harvest_cum_precip,kernel_fill_mean_vpd,kernel_fill_max_vpd,kernel_fill_n_days_vpd_gt2,kernel_fill_cum_et0,kernel_fill_mean_tmax,kernel_fill_mean_tmin,kernel_fill_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip,fill_mean_vpd,fill_max_vpd,fill_n_days_vpd_gt2,fill_cum_et0,fill_mean_tmax,fill_mean_tmin,fill_cum_precip,bud_break_mean_vpd,bud_break_max_vpd,bud_break_n_days_vpd_gt2,bud_break_cum_et0,bud_break_mean_tmax,bud_break_mean_tmin,bud_break_cum_precip,flower_veraison_mean_vpd,flower_veraison_max_vpd,flower_veraison_n_days_vpd_gt2,flower_veraison_cum_et0,flower_veraison_mean_tmax,flower_veraison_mean_tmin,flower_veraison_cum_precip,veraison_harvest_mean_vpd,veraison_harvest_max_vpd,veraison_harvest_n_days_vpd_gt2,veraison_harvest_cum_et0,veraison_harvest_mean_tmax,veraison_harvest_mean_tmin,veraison_harvest_cum_precip,season_mean_vpd,season_max_vpd,season_n_days_vpd_gt2,season_cum_et0,season_mean_tmax,season_mean_tmin,season_cum_precip
Alt Camp,2015,Vinya de raïm per a vi,vine,vine,5827.0,9.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.069920690464374,1.71954662972159,1.0,189.22184026241305,16.84903869628908,6.984295103979916,91.49000038330752,2.0296022430996445,2.9811603767948056,42.0,484.5022099415461,26.56863920792292,15.696446825110415,104.00333340776464,1.376526740331153,2.1659790646450703,7.0,221.5813447237015,24.65832517863625,16.35775463333549,232.63000030380988,,,,,,,
Alt Camp,2015,Olivera per a oliva d'oli,olive,olive,1592.0,2.442,,,,,,,,,,,,,,,,,,,,,,1.9210003274950127,2.96625057825917,29.0,304.1349205970763,28.248522489814373,18.76493093839258,138.64666719300052,,,,,,,,,,,,,,,,,,,,,,1.9166855473287685,2.786916254502445,20.0,314.4237780570984,24.987896845249548,13.774491673870838,64.45333307174346,,,,,,,,,,,,,,,0.9498000292818952,1.615621540673888,0.0,189.7794597744942,19.224701810843804,11.273709296481536,246.9333332479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Camp,2015,Ametller,nut,almond,1587.0,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8716403931111381,1.6522756683436015,1.0,139.20376571019492,13.327446906310712,4.256665004579385,77.8466670718044,,,,,,,,1.6619806654462994,2.7072416954882703,20.0,418.6845157146454,22.75778778411532,11.8622250287961,100.72666652811073,1.9210003274950127,2.96625057825917,29.0,304.1349205970763,28.248522489814373,18.76493093839258,138.64666719300052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Camp,2015,Avellaner,nut,hazelnut,222.0,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8716403931111381,1.6522756683436015,1.0,139.20376571019492,13.327446906310712,4.256665004579385,77.8466670718044,,,,,,,,,,,,,,,1.376526740331153,2.1659790646450703,7.0,221.5813447237015,24.65832517863625,16.35775463333549,232.63000030380988,1.8118510535551275,2.8999086477650056,42.0,588.7629475990932,24.516490064944097,13.797472077249852,140.2766668641319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Camp,2015,Cirerer i guinder,stone_fruit,cherry,3.0,2.997,0.684707353769898,0.985778980448888,0.0,93.4253394305706,10.858827511200143,2.1002420716366754,39.790000334382064,1.069920690464374,1.71954662972159,1.0,189.22184026241305,16.84903869628908,6.984295103979916,91.49000038330752,1.9166855473287685,2.786916254502445,20.0,314.4237780570984,24.987896845249548,13.774491673870838,64.45333307174346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Camp,2015,Magraner,other,other,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6667429491471355,2.790796525854768,49.0,810.3442923227947,24.56376843617481,14.650899595945068,372.9066671679418
Alt Camp,2015,Noguera,nut,walnut,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4910243342523384,2.384709104110044,7.0,259.4115922848384,20.97552355156572,9.996688909478548,49.46000046469271,,,,,,,,,,,,,,,1.0253840852955816,1.6699131127960156,0.0,145.8588176270326,20.802389576396028,13.09620773232051,202.32333341178796,1.9498888746838197,2.9433946258945984,42.0,463.40784402688337,27.639784196494308,17.750980133941233,189.9133332564185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Camp,2015,Pomera,pome_fruit,pome_fruit,2.0,10.584,1.069920690464374,1.71954662972159,1.0,189.22184026241305,16.84903869628908,6.984295103979916,91.49000038330752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9166855473287685,2.786916254502445,20.0,314.4237780570984,24.987896845249548,13.774491673870838,64.45333307174346,1.6714534688947025,2.843815907380685,29.0,391.6597766081492,26.3501188637554,17.40926248301633,272.18000063983106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt Empordà,2015,Vinya de raïm per a vi,vine,vine,1729.0,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.031066130051894,1.5797259955373315,0.0,176.0928427236421,17.02729837386337,7.461734716339492,154.6649989501706,2.2503882286394976,3.5802146601652765,51.0,510.4833196657044,27.46497931154621,17.001521623504853,100.08214282004964,1.8855312520422547,2.4650814903347062,27.0,254.8375149028642,26.358502290176304,16.834905984418477,167.32071363792886,,,,,,,
Alt Empordà,2015,Olivera per a oliva d'oli,olive,olive,2685.0,1.024,,,,,,,,,,,,,,,,,,,,,,2.404854001083394,3.783847870351919,44.0,330.77860260009766,29.77249315674956,19.710229316395026,88.75357106075222,,,,,,,,,,,,,,,,,,,,,,1.9920689028167768,2.989280836999997,25.0,324.5390118786267,25.6156465838609,15.024788285195152,66.60285698822032,,,,,,,,,,,,,,,1.2640166402591906,2.139261494343328,9.0,218.50880371034148,20.523667320838367,11.44974763831316,199.32642892189324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
