year,comarca,crop_catalan,crop_en,crop_group,pheno_key,seca_ha,seca_kg_ha,yield_tha,regadiu_ha,regadiu_kg_ha,yield_irrig_tha
2015,Alt Camp,Vinya de raïm per a vi,Wine grape,vine,vine,5827.0,9165.0,9.165,28.0,13748.0,13.748
2015,Alt Camp,Olivera per a oliva d'oli,Oil olive,olive,olive,1592.0,2442.0,2.442,361.0,4883.0,4.883
2015,Alt Camp,Ametller,Almond,nut,almond,1587.0,292.0,0.292,108.0,876.0,0.876
2015,Alt Camp,Avellaner,Hazelnut,nut,hazelnut,222.0,568.0,0.568,1711.0,1135.0,1.135
2015,Alt Camp,Cirerer i guinder,Cherry and sour cherry,stone_fruit,cherry,3.0,2997.0,2.997,75.0,5995.0,5.995
2015,Alt Camp,Magraner,Pomegranate,other,other,3.0,5000.0,5.0,0.0,0.0,
2015,Alt Camp,Noguera,Walnut,nut,walnut,22.0,1000.0,1.0,31.0,2500.0,2.5
2015,Alt Camp,Pomera,Apple,pome_fruit,pome_fruit,2.0,10584.0,10.584,6.0,21168.0,21.168
2015,Alt Camp,Pruner,Plum,stone_fruit,stone_fruit,0.0,0.0,,1.0,9000.0,9.0
2015,Alt Empordà,Vinya de raïm per a vi,Wine grape,vine,vine,1729.0,3690.0,3.69,52.0,5490.0,5.49
2015,Alt Empordà,Olivera per a oliva d'oli,Oil olive,olive,olive,2685.0,1024.0,1.024,210.0,1400.0,1.4
2015,Alt Empordà,Albercoquer,Apricot,stone_fruit,apricot,2.0,6240.0,6.24,22.0,12500.0,12.5
2015,Alt Empordà,Ametller,Almond,nut,almond,6.0,560.0,0.56,0.0,0.0,
2015,Alt Empordà,Avellaner,Hazelnut,nut,hazelnut,4.0,800.0,0.8,0.0,1300.0,
2015,Alt Empordà,Cirerer i guinder,Cherry and sour cherry,stone_fruit,cherry,4.0,1660.0,1.66,97.0,3400.0,3.4
2015,Alt Empordà,Nectariner,Nectarine,stone_fruit,stone_fruit,0.0,0.0,,10.0,21000.0,21.0
2015,Alt Empordà,Noguera,Walnut,nut,walnut,8.0,700.0,0.7,15.0,1200.0,1.2
2015,Alt Empordà,Perera,Pear,pome_fruit,pome_fruit,0.0,0.0,,31.0,23200.0,23.2
2015,Alt Empordà,Pomera,Apple,pome_fruit,pome_fruit,0.0,9900.0,,1100.0,38600.0,38.6
2015,Alt Empordà,Presseguer,Peach,stone_fruit,stone_fruit,0.0,8500.0,,52.0,19100.0,19.1
2015,Alt Empordà,Pruner,Plum,stone_fruit,stone_fruit,0.0,5500.0,,2.0,9500.0,9.5
2015,Alt Penedès,Vinya de raïm per a vi,Wine grape,vine,vine,16666.0,10174.0,10.174,15.0,17000.0,17.0
2015,Alt Penedès,Olivera per a oliva d'oli,Oil olive,olive,olive,795.0,1300.0,1.3,79.0,2500.0,2.5
2015,Alt Penedès,Albercoquer,Apricot,stone_fruit,apricot,1.0,8800.0,8.8,2.0,15100.0,15.1
2015,Alt Penedès,Ametller,Almond,nut,almond,71.0,700.0,0.7,0.0,0.0,
2015,Alt Penedès,Avellaner,Hazelnut,nut,hazelnut,0.0,0.0,,1.0,1600.0,1.6
2015,Alt Penedès,Cirerer i guinder,Cherry and sour cherry,stone_fruit,cherry,27.0,1900.0,1.9,49.0,3900.0,3.9
2015,Alt Penedès,Nectariner,Nectarine,stone_fruit,stone_fruit,0.0,0.0,,12.0,17200.0,17.2
2015,Alt Penedès,Noguera,Walnut,nut,walnut,1.0,400.0,0.4,0.0,0.0,
2015,Alt Penedès,Perera,Pear,pome_fruit,pome_fruit,1.0,7300.0,7.3,4.0,16100.0,16.1
2015,Alt Penedès,Pomera,Apple,pome_fruit,pome_fruit,1.0,11100.0,11.1,16.0,23600.0,23.6
2015,Alt Penedès,Presseguer,Peach,stone_fruit,stone_fruit,75.0,7100.0,7.1,178.0,13000.0,13.0
2015,Alt Penedès,Pruner,Plum,stone_fruit,stone_fruit,2.0,5200.0,5.2,11.0,9300.0,9.3
2015,Alt Urgell,Vinya de raïm per a vi,Wine grape,vine,vine,15.0,4200.0,4.2,0.0,0.0,
2015,Alt Urgell,Olivera per a oliva d'oli,Oil olive,olive,olive,124.0,740.0,0.74,0.0,0.0,
