comarca,n_parcels,area_ha,z_olive_m,z_climate_m,dz_m,dT_C,n_grid_cells
Alt Camp,1099,1162.8400000000001,292.0495032521454,512.2792256673177,-220.22972241517232,1.2112634732834477,6
Alt Empordà,1352,1479.4,81.12606438374992,241.02809691854887,-159.90203253479893,0.8794611789413941,14
Alt Penedès,297,302.76,286.7448902281324,375.9295327322824,-89.18464250414996,0.49051553377282475,7
Alt Urgell,25,22.05,633.2424982672105,1319.9550027286305,-686.7125044614199,3.7769187745378097,17
Alta Ribagorça,0,0.0,,1483.0248616536458,,,3
Anoia,255,331.78999999999996,411.0199221231583,512.1598578559028,-101.1399357327445,0.5562696465300947,9
Aran,0,0.0,,1085.5389404296875,,,1
Bages,132,138.04000000000002,416.5002355970737,498.6195515950521,-82.11931599797839,0.4516562379888811,15
Baix Camp,2833,3292.45,147.55335481065788,380.9090815952846,-233.3557267846267,1.2834564973154468,7
Baix Ebre,7243,11611.7,138.45875896073332,289.19624707102776,-150.73748811029444,0.8290561846066193,10
Baix Empordà,257,244.2,50.87044393826859,138.6771629197257,-87.80671898145711,0.4829369543980141,7
Baix Llobregat,126,158.73999999999995,224.6129578451404,188.87355981554305,35.73939802959734,-0.19656668916278536,7
Baix Penedès,508,502.03,167.62868439909724,167.6471799214681,-0.01849552237086982,0.000101725373039784,3
Barcelonès,0,0.0,,6.422435283660889,,,1
Berguedà,0,0.0,,1167.3026733398438,,,13
Cerdanya,0,0.0,,1323.8804321289062,,,4
Conca de Barberà,499,448.32000000000005,486.857527784583,588.0952697753906,-101.23774199080765,0.556807580949442,5
Garraf,34,33.83,93.74529986053115,221.68344116210938,-127.93814130157823,0.7036597771586802,1
Garrigues,9734,15403.55,438.5033132604532,425.0946231418186,13.408690118634581,-0.07374779565249019,9
Garrotxa,1,1.02,307.3236389160156,570.5480211046007,-263.2243821885851,1.4477341020372179,9
Gironès,40,59.43,148.40024185244854,190.30901209513345,-41.90877024268491,0.230498236334767,6
Lluçanès,0,0.0,,672.5929870605469,,,2
Maresme,9,11.77,32.023829717806265,161.06334114074707,-129.0395114229408,0.7097173128261743,5
Moianès,7,4.08,464.5970708061667,684.7005310058594,-220.10346019969268,1.2105690310983097,2
Montsià,7576,11443.43,223.10517627630685,214.97246943910918,8.132706837197674,-0.0447298876045872,6
Noguera,940,1140.6399999999999,408.67890033342013,471.5252428556743,-62.84634252225419,0.345654883872398,19
Osona,1,0.74,597.8020629882812,688.1050262451172,-90.30296325683594,0.49666629791259764,10
Pallars Jussà,421,394.64000000000004,664.101993273896,993.8398110525949,-329.73781777869885,1.8135579977828435,14
Pallars Sobirà,2,1.6400000000000001,737.070999889839,1338.830322265625,-601.759322375786,3.309676273066823,7
Pla d'Urgell,57,67.75999999999999,255.6546188453576,236.06360244750977,19.591016397847824,-0.10775059018816302,4
Pla de l'Estany,14,17.759999999999998,121.5868295205606,275.2655143737793,-153.6786848532187,0.8452327666927028,2
Priorat,1051,1128.79,363.16450071107994,496.7807973225911,-133.6162966115112,0.7348896313633115,6
Ribera d'Ebre,4309,5806.27,194.28974445044545,268.34521920340404,-74.05547475295859,0.4073051111412722,7
Ripollès,0,0.0,,1327.7586330837673,,,9
Segarra,258,250.57,527.20402268716,550.5636020236545,-23.359579336494562,0.12847768635072007,9
Segrià,4601,8194.7,301.82740980267926,247.71015453338623,54.117255269293025,-0.2976449039811116,16
Selva,20,29.07,318.9433161181439,330.6247927347819,-11.681476616638008,0.06424812139150904,12
Solsonès,17,18.349999999999998,575.7050362485633,896.4710337320963,-320.76599748353306,1.7642129861594318,12
Tarragonès,606,626.0699999999999,94.19351516649725,98.61998877525329,-4.426473608756041,0.024345604848158224,5
Terra Alta,2663,2982.13,378.26739842436467,382.7169609069824,-4.4495624826177504,0.024472593654397627,8
Urgell,1724,2234.57,450.18806611550286,387.8960021972656,62.29206391823726,-0.3426063515503049,5
Vallès Occidental,56,83.16,237.54105766969784,309.0142402648926,-71.47318259519474,0.3931025042735711,7
Vallès Oriental,111,124.49000000000001,291.93720266382155,426.9566890171596,-135.01948635333804,0.7426071749433591,7
