comarca,n_parcels,area_ha,z_olive_m,z_climate_m,dz_m,dT_C,n_grid_cells
Alt Camp,1099,1162.8400000000001,292.0495032521454,314.58910398616797,-22.539600734022542,0.12396780403712397,11
Alt Empordà,1352,1479.4,81.12606438374992,89.63453320018364,-8.50846881643372,0.04679657849038545,17
Alt Penedès,297,302.76,286.7448902281324,279.02755530719355,7.7173349209388675,-0.04244534206516377,12
Alt Urgell,25,22.05,633.2424982672105,701.137930650776,-67.89543238356543,0.3734248781096099,3
Alta Ribagorça,0,0.0,,,,,0
Anoia,255,331.78999999999996,411.0199221231583,519.2784989036594,-108.25857678050107,0.5954221722927558,10
Aran,0,0.0,,,,,0
Bages,132,138.04000000000002,416.5002355970737,436.84147508522284,-20.341239488149142,0.11187681718482027,17
Baix Camp,2833,3292.45,147.55335481065788,164.69096712254776,-17.13761231188988,0.09425686771539435,14
Baix Ebre,7243,11611.7,138.45875896073332,168.16730231054396,-29.70854334981064,0.1633969884239585,16
Baix Empordà,257,244.2,50.87044393826859,108.98940560187015,-58.11896166360155,0.31965428914980853,8
Baix Llobregat,126,158.73999999999995,224.6129578451404,398.42588372198685,-173.81292587684646,0.9559710923226555,8
Baix Penedès,508,502.03,167.62868439909724,251.33614457766072,-83.70746017856348,0.4603910309820991,6
Barcelonès,0,0.0,,,,,0
Berguedà,0,0.0,,,,,0
Cerdanya,0,0.0,,,,,0
Conca de Barberà,499,448.32000000000005,486.857527784583,463.65596969122544,23.201558093357562,-0.12760856951346658,9
Garraf,34,33.83,93.74529986053115,215.0782131699109,-121.33291330937975,0.6673310232015885,5
Garrigues,9734,15403.55,438.5033132604532,420.430279471079,18.073033789374165,-0.0994016858415579,17
Garrotxa,1,1.02,307.3236389160156,301.6565856933594,5.66705322265625,-0.031168792724609373,1
Gironès,40,59.43,148.40024185244854,182.74159358058455,-34.341351728136004,0.188877434504748,10
Lluçanès,0,0.0,,,,,0
Maresme,9,11.77,32.023829717806265,94.06957813512498,-62.04574841731872,0.3412516162952529,3
Moianès,7,4.08,464.5970708061667,420.0514741785386,44.54559662762807,-0.2450007814519544,3
Montsià,7576,11443.43,223.10517627630685,264.89771398577994,-41.792537709473095,0.22985895740210202,11
Noguera,940,1140.6399999999999,408.67890033342013,426.21147254286205,-17.532572209441923,0.09642914715193057,24
Osona,1,0.74,597.8020629882812,326.3936462402344,271.4084167480469,-1.4927462921142578,1
Pallars Jussà,421,394.64000000000004,664.101993273896,633.5754282634495,30.526565010446575,-0.16789610755745615,12
Pallars Sobirà,2,1.6400000000000001,737.070999889839,929.2931518554688,-192.2221519656298,1.0572218358109637,1
Pla d'Urgell,57,67.75999999999999,255.6546188453576,237.28086494301675,18.373753902340837,-0.1010556464628746,7
Pla de l'Estany,14,17.759999999999998,121.5868295205606,194.44577828398695,-72.85894876342635,0.4007242181988449,4
Priorat,1051,1128.79,363.16450071107994,420.5725384501856,-57.40803773910568,0.3157442075650812,10
Ribera d'Ebre,4309,5806.27,194.28974445044545,280.32671757283543,-86.03697312238998,0.47320335217314485,20
Ripollès,0,0.0,,,,,0
Segarra,258,250.57,527.20402268716,534.1998284195239,-6.99580573236392,0.03847693152800156,8
Segrià,4601,8194.7,301.82740980267926,289.83200987689554,11.995399925783715,-0.06597469959181043,23
Selva,20,29.07,318.9433161181439,404.08182635076025,-85.13851023261634,0.46826180627938985,4
Solsonès,17,18.349999999999998,575.7050362485633,509.3183540697644,66.38668217879888,-0.3651267519833938,8
Tarragonès,606,626.0699999999999,94.19351516649725,106.9035132580904,-12.70999809159315,0.06990498950376232,9
Terra Alta,2663,2982.13,378.26739842436467,383.78347058282174,-5.516072158457064,0.030338396871513847,14
Urgell,1724,2234.57,450.18806611550286,467.04685083293845,-16.858784717435583,0.0927233159458957,12
Vallès Occidental,56,83.16,237.54105766969784,269.37318545640113,-31.832127786703296,0.17507670282686813,7
Vallès Oriental,111,124.49000000000001,291.93720266382155,364.72050618255884,-72.78330351873728,0.400308169353055,7
