lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
1,19,42.400000000002706,1.8999999999896602,2.12,0.0,1.0,0.0,2.12,0.0
5,15,42.00000000000273,1.499999999989683,0.0,0.65,0.0,1.0,0.65,1.0
5,21,42.00000000000273,2.099999999989649,0.0,3.09,0.0,2.0,3.09,1.0
5,23,42.00000000000273,2.2999999999896374,0.0,11.55,0.0,6.0,11.55,1.0
5,30,42.00000000000273,2.9999999999895977,0.8200000000000001,8.61,2.0,7.0,9.43,0.9130434782608695
6,27,41.900000000002734,2.6999999999896147,1.43,1.9300000000000002,3.0,3.0,3.3600000000000003,0.5744047619047619
6,28,41.900000000002734,2.799999999989609,9.57,0.4,3.0,3.0,9.97,0.04012036108324975
7,7,41.80000000000274,0.6999999999897284,0.75,0.0,2.0,0.0,0.75,0.0
7,9,41.80000000000274,0.899999999989717,0.0,2.2,0.0,2.0,2.2,1.0
7,11,41.80000000000274,1.0999999999897057,0.52,2.92,1.0,1.0,3.44,0.8488372093023255
7,13,41.80000000000274,1.2999999999896943,0.0,5.359999999999999,0.0,13.0,5.359999999999999,1.0
7,16,41.80000000000274,1.5999999999896772,0.0,5.68,0.0,8.0,5.68,1.0
7,27,41.80000000000274,2.6999999999896147,0.0,4.05,0.0,1.0,4.05,1.0
8,11,41.700000000002746,1.0999999999897057,11.02,1.98,12.0,5.0,13.0,0.1523076923076923
8,23,41.700000000002746,2.2999999999896374,0.0,1.3800000000000001,0.0,2.0,1.3800000000000001,1.0
9,7,41.60000000000275,0.6999999999897284,4.529999999999999,0.0,4.0,0.0,4.529999999999999,0.0
9,8,41.60000000000275,0.7999999999897227,1.52,0.0,4.0,0.0,1.52,0.0
9,23,41.60000000000275,2.2999999999896374,2.35,0.41,4.0,1.0,2.7600000000000002,0.14855072463768113
11,11,41.40000000000276,1.0999999999897057,0.0,2.56,0.0,1.0,2.56,1.0
11,15,41.40000000000276,1.499999999989683,0.0,3.21,0.0,4.0,3.21,1.0
11,17,41.40000000000276,1.6999999999896716,0.0,10.06,0.0,17.0,10.06,1.0
12,8,41.30000000000277,0.7999999999897227,0.0,4.0,0.0,10.0,4.0,1.0
12,14,41.30000000000277,1.3999999999896886,0.0,1.6700000000000002,0.0,4.0,1.6700000000000002,1.0
12,16,41.30000000000277,1.5999999999896772,0.0,2.66,0.0,4.0,2.66,1.0
12,18,41.30000000000277,1.7999999999896659,0.0,6.72,0.0,1.0,6.72,1.0
13,12,41.200000000002774,1.1999999999897,0.0,1.08,0.0,3.0,1.08,1.0
14,10,41.10000000000278,0.9999999999897113,0.0,3.62,0.0,4.0,3.62,1.0
16,6,40.90000000000279,0.5999999999897341,0.0,0.43000000000000005,0.0,2.0,0.43000000000000005,1.0
18,4,40.7000000000028,0.39999999998974545,0.0,0.78,0.0,1.0,0.78,1.0
18,6,40.7000000000028,0.5999999999897341,0.6,0.0,1.0,0.0,0.6,0.0
