lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
1,8,42.400000000002706,0.7999999999897227,0.8500000000000001,0.31,5.0,1.0,1.1600000000000001,0.2672413793103448
1,17,42.400000000002706,1.6999999999896716,0.33,0.0,1.0,0.0,0.33,0.0
1,29,42.400000000002706,2.8999999999896033,0.09,0.0,2.0,0.0,0.09,0.0
2,10,42.30000000000271,0.9999999999897113,0.04,0.0,1.0,0.0,0.04,0.0
2,28,42.30000000000271,2.799999999989609,3.23,15.78,8.0,42.0,19.009999999999998,0.8300894266175698
2,29,42.30000000000271,2.8999999999896033,10.14,13.56,30.0,34.0,23.700000000000003,0.5721518987341772
2,30,42.30000000000271,2.9999999999895977,0.25,0.0,2.0,0.0,0.25,0.0
3,9,42.20000000000272,0.899999999989717,1.03,0.0,5.0,0.0,1.03,0.0
3,14,42.20000000000272,1.3999999999896886,0.15,0.11,1.0,1.0,0.26,0.4230769230769231
3,29,42.20000000000272,2.8999999999896033,7.640000000000001,0.0,7.0,0.0,7.640000000000001,0.0
3,30,42.20000000000272,2.9999999999895977,17.64,0.06,1.0,1.0,17.7,0.003389830508474576
4,9,42.10000000000272,0.899999999989717,0.0,0.04,0.0,2.0,0.04,1.0
4,10,42.10000000000272,0.9999999999897113,0.85,0.88,1.0,2.0,1.73,0.5086705202312138
4,13,42.10000000000272,1.2999999999896943,0.41000000000000003,0.0,2.0,0.0,0.41000000000000003,0.0
4,25,42.10000000000272,2.499999999989626,0.0,0.17,0.0,1.0,0.17,1.0
4,31,42.10000000000272,3.099999999989592,1.45,0.0,2.0,0.0,1.45,0.0
5,10,42.00000000000273,0.9999999999897113,0.46,0.0,1.0,0.0,0.46,0.0
5,11,42.00000000000273,1.0999999999897057,0.13,0.56,1.0,2.0,0.6900000000000001,0.8115942028985508
5,13,42.00000000000273,1.2999999999896943,0.47,0.0,1.0,0.0,0.47,0.0
5,28,42.00000000000273,2.799999999989609,0.02,0.0,1.0,0.0,0.02,0.0
5,30,42.00000000000273,2.9999999999895977,0.27,0.0,2.0,0.0,0.27,0.0
5,31,42.00000000000273,3.099999999989592,1.58,0.0,2.0,0.0,1.58,0.0
6,6,41.900000000002734,0.5999999999897341,0.65,0.0,3.0,0.0,0.65,0.0
6,8,41.900000000002734,0.7999999999897227,0.1,0.12,1.0,1.0,0.22,0.5454545454545454
6,12,41.900000000002734,1.1999999999897,0.1,0.0,1.0,0.0,0.1,0.0
6,23,41.900000000002734,2.2999999999896374,0.0,1.02,0.0,3.0,1.02,1.0
6,28,41.900000000002734,2.799999999989609,0.0,0.04,0.0,1.0,0.04,1.0
6,29,41.900000000002734,2.8999999999896033,0.02,0.0,1.0,0.0,0.02,0.0
6,31,41.900000000002734,3.099999999989592,0.25,0.19,3.0,3.0,0.44,0.4318181818181818
7,5,41.80000000000274,0.49999999998973976,4.7700000000000005,0.0,12.0,0.0,4.7700000000000005,0.0
7,6,41.80000000000274,0.5999999999897341,5.7299999999999995,0.0,4.0,0.0,5.7299999999999995,0.0
7,7,41.80000000000274,0.6999999999897284,1.83,0.14,18.0,1.0,1.9700000000000002,0.07106598984771574
7,8,41.80000000000274,0.7999999999897227,18.15,0.0,24.0,0.0,18.15,0.0
7,9,41.80000000000274,0.899999999989717,1.0299999999999998,0.0,5.0,0.0,1.0299999999999998,0.0
7,11,41.80000000000274,1.0999999999897057,0.02,0.0,1.0,0.0,0.02,0.0
7,19,41.80000000000274,1.8999999999896602,0.13,0.0,1.0,0.0,0.13,0.0
7,20,41.80000000000274,1.9999999999896545,0.0,0.01,0.0,1.0,0.01,1.0
7,26,41.80000000000274,2.5999999999896204,0.0,0.17,0.0,4.0,0.17,1.0
7,31,41.80000000000274,3.099999999989592,0.23,0.0,1.0,0.0,0.23,0.0
8,3,41.700000000002746,0.29999999998975113,0.57,0.0,2.0,0.0,0.57,0.0
8,4,41.700000000002746,0.39999999998974545,47.4,0.06,160.0,1.0,47.46,0.0012642225031605561
8,5,41.700000000002746,0.49999999998973976,17.35,0.26,56.0,1.0,17.610000000000003,0.01476433844406587
8,6,41.700000000002746,0.5999999999897341,7.62,0.0,20.0,0.0,7.62,0.0
8,7,41.700000000002746,0.6999999999897284,115.82000000000001,0.09,310.0,3.0,115.91000000000001,0.0007764644983176602
8,8,41.700000000002746,0.7999999999897227,0.05,0.0,1.0,0.0,0.05,0.0
8,10,41.700000000002746,0.9999999999897113,0.07,0.03,2.0,1.0,0.1,0.3
8,11,41.700000000002746,1.0999999999897057,0.48,0.0,3.0,0.0,0.48,0.0
8,14,41.700000000002746,1.3999999999896886,0.0,0.08,0.0,2.0,0.08,1.0
8,17,41.700000000002746,1.6999999999896716,0.0,0.04,0.0,1.0,0.04,1.0
8,18,41.700000000002746,1.7999999999896659,0.17,1.1800000000000002,1.0,3.0,1.35,0.8740740740740741
8,19,41.700000000002746,1.8999999999896602,0.0,0.11,0.0,1.0,0.11,1.0
9,4,41.60000000000275,0.39999999998974545,33.5,0.39,72.0,2.0,33.89,0.01150781941575686
9,5,41.60000000000275,0.49999999998973976,35.5,0.0,104.0,0.0,35.5,0.0
9,6,41.60000000000275,0.5999999999897341,20.92,0.24000000000000002,61.0,7.0,21.16,0.011342155009451797
9,7,41.60000000000275,0.6999999999897284,15.09,0.0,49.0,0.0,15.09,0.0
9,8,41.60000000000275,0.7999999999897227,1.2,0.0,10.0,0.0,1.2,0.0
9,9,41.60000000000275,0.899999999989717,3.44,0.0,7.0,0.0,3.44,0.0
9,10,41.60000000000275,0.9999999999897113,2.57,0.0,5.0,0.0,2.57,0.0
9,11,41.60000000000275,1.0999999999897057,0.0,0.05,0.0,2.0,0.05,1.0
9,13,41.60000000000275,1.2999999999896943,0.0,0.1,0.0,3.0,0.1,1.0
9,15,41.60000000000275,1.499999999989683,0.09,0.32,2.0,3.0,0.41000000000000003,0.7804878048780487
9,16,41.60000000000275,1.5999999999896772,0.08,0.43,2.0,4.0,0.51,0.8431372549019608
9,17,41.60000000000275,1.6999999999896716,0.0,0.48,0.0,3.0,0.48,1.0
9,18,41.60000000000275,1.7999999999896659,0.0,2.46,0.0,5.0,2.46,1.0
9,19,41.60000000000275,1.8999999999896602,0.1,0.05,4.0,1.0,0.15000000000000002,0.3333333333333333
9,21,41.60000000000275,2.099999999989649,0.08,0.09,1.0,1.0,0.16999999999999998,0.5294117647058824
9,22,41.60000000000275,2.199999999989643,0.74,0.74,2.0,3.0,1.48,0.5
9,23,41.60000000000275,2.2999999999896374,0.0,0.22,0.0,2.0,0.22,1.0
9,26,41.60000000000275,2.5999999999896204,0.0,0.73,0.0,1.0,0.73,1.0
10,4,41.50000000000276,0.39999999998974545,86.04,1.57,215.0,6.0,87.61,0.01792032872959708
10,5,41.50000000000276,0.49999999998973976,54.78,0.29,119.0,1.0,55.07,0.005266025059015798
10,6,41.50000000000276,0.5999999999897341,22.94,0.29,52.0,2.0,23.23,0.012483857081360308
10,7,41.50000000000276,0.6999999999897284,5.3100000000000005,0.03,9.0,1.0,5.340000000000001,0.005617977528089887
10,8,41.50000000000276,0.7999999999897227,0.43000000000000005,0.0,4.0,0.0,0.43000000000000005,0.0
10,9,41.50000000000276,0.899999999989717,6.069999999999999,0.0,10.0,0.0,6.069999999999999,0.0
10,10,41.50000000000276,0.9999999999897113,0.19,0.14,1.0,1.0,0.33,0.42424242424242425
10,11,41.50000000000276,1.0999999999897057,0.0,0.25,0.0,1.0,0.25,1.0
10,12,41.50000000000276,1.1999999999897,0.0,0.01,0.0,1.0,0.01,1.0
10,16,41.50000000000276,1.5999999999896772,0.12,0.62,2.0,2.0,0.74,0.8378378378378378
10,17,41.50000000000276,1.6999999999896716,0.0,1.7,0.0,2.0,1.7,1.0
10,18,41.50000000000276,1.7999999999896659,1.71,11.97,7.0,29.0,13.68,0.8750000000000001
10,19,41.50000000000276,1.8999999999896602,3.65,6.08,16.0,26.0,9.73,0.6248715313463514
10,20,41.50000000000276,1.9999999999896545,4.0,0.23,17.0,7.0,4.23,0.05437352245862884
10,23,41.50000000000276,2.2999999999896374,0.03,0.06,1.0,2.0,0.09,0.6666666666666666
11,3,41.40000000000276,0.29999999998975113,13.68,0.0,24.0,0.0,13.68,0.0
11,4,41.40000000000276,0.39999999998974545,206.58,1.22,331.0,6.0,207.8,0.005871029836381135
11,5,41.40000000000276,0.49999999998973976,22.11,0.0,48.0,0.0,22.11,0.0
11,6,41.40000000000276,0.5999999999897341,2.34,4.3100000000000005,4.0,3.0,6.65,0.6481203007518798
11,7,41.40000000000276,0.6999999999897284,5.42,0.02,23.0,1.0,5.4399999999999995,0.0036764705882352945
11,8,41.40000000000276,0.7999999999897227,0.14,0.0,1.0,0.0,0.14,0.0
11,9,41.40000000000276,0.899999999989717,0.0,0.08,0.0,3.0,0.08,1.0
11,10,41.40000000000276,0.9999999999897113,0.46,18.580000000000002,4.0,40.0,19.040000000000003,0.9758403361344538
11,11,41.40000000000276,1.0999999999897057,0.37,5.49,1.0,21.0,5.86,0.9368600682593856
11,13,41.40000000000276,1.2999999999896943,0.17,9.97,1.0,30.0,10.14,0.9832347140039448
11,14,41.40000000000276,1.3999999999896886,0.02,0.54,1.0,1.0,0.56,0.9642857142857143
11,16,41.40000000000276,1.5999999999896772,0.73,0.9199999999999999,2.0,5.0,1.65,0.5575757575757576
11,17,41.40000000000276,1.6999999999896716,0.01,0.38,1.0,4.0,0.39,0.9743589743589743
11,18,41.40000000000276,1.7999999999896659,1.75,7.32,10.0,29.0,9.07,0.8070562293274531
