lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
0,12,42.5000000000027,1.1999999999897,0.0,0.68,0.0,1.0,0.68,1.0
1,11,42.400000000002706,1.0999999999897057,0.0,6.86,0.0,12.0,6.86,1.0
1,14,42.400000000002706,1.3999999999896886,0.0,2.56,0.0,10.0,2.56,1.0
1,17,42.400000000002706,1.6999999999896716,0.0,1.26,0.0,4.0,1.26,1.0
1,18,42.400000000002706,1.7999999999896659,6.16,58.13,5.0,92.0,64.29,0.9041841655000777
1,19,42.400000000002706,1.8999999999896602,9.85,34.58,10.0,65.0,44.43,0.7783029484582489
1,24,42.400000000002706,2.3999999999896318,0.0,3.5700000000000003,0.0,2.0,3.5700000000000003,1.0
1,25,42.400000000002706,2.499999999989626,0.0,6.09,0.0,1.0,6.09,1.0
1,28,42.400000000002706,2.799999999989609,0.2,9.75,2.0,15.0,9.95,0.9798994974874372
1,29,42.400000000002706,2.8999999999896033,2.2,130.53,1.0,187.0,132.73,0.9834249981164771
1,30,42.400000000002706,2.9999999999895977,2.81,157.43,2.0,216.0,160.24,0.9824638042935596
1,31,42.400000000002706,3.099999999989592,0.0,5.83,0.0,8.0,5.83,1.0
2,7,42.30000000000271,0.6999999999897284,0.0,13.23,0.0,12.0,13.23,1.0
2,8,42.30000000000271,0.7999999999897227,0.0,27.32,0.0,54.0,27.32,1.0
2,9,42.30000000000271,0.899999999989717,2.54,51.86,6.0,87.0,54.4,0.9533088235294118
2,10,42.30000000000271,0.9999999999897113,5.83,12.74,10.0,22.0,18.57,0.686052773290253
2,11,42.30000000000271,1.0999999999897057,0.0,0.5700000000000001,0.0,3.0,0.5700000000000001,1.0
2,13,42.30000000000271,1.2999999999896943,0.0,3.54,0.0,15.0,3.54,1.0
2,14,42.30000000000271,1.3999999999896886,3.47,5.3500000000000005,1.0,7.0,8.82,0.6065759637188209
2,15,42.30000000000271,1.499999999989683,3.06,4.220000000000001,1.0,2.0,7.280000000000001,0.5796703296703297
2,18,42.30000000000271,1.7999999999896659,0.49,15.52,2.0,25.0,16.009999999999998,0.9693941286695816
2,23,42.30000000000271,2.2999999999896374,0.0,0.26,0.0,1.0,0.26,1.0
2,24,42.30000000000271,2.3999999999896318,0.0,8.88,0.0,6.0,8.88,1.0
2,25,42.30000000000271,2.499999999989626,0.0,2.69,0.0,3.0,2.69,1.0
2,27,42.30000000000271,2.6999999999896147,2.16,24.32,1.0,31.0,26.48,0.918429003021148
2,28,42.30000000000271,2.799999999989609,0.64,60.47,2.0,101.0,61.11,0.9895270823105875
2,29,42.30000000000271,2.8999999999896033,36.2,286.31,35.0,337.0,322.51,0.8877554184366376
2,30,42.30000000000271,2.9999999999895977,231.32,217.55,260.0,313.0,448.87,0.48466148328023706
2,31,42.30000000000271,3.099999999989592,178.95,183.64000000000001,209.0,252.0,362.59000000000003,0.5064673598279048
3,7,42.20000000000272,0.6999999999897284,0.33,51.26,2.0,67.0,51.589999999999996,0.9936034115138593
3,8,42.20000000000272,0.7999999999897227,0.0,62.46,0.0,56.0,62.46,1.0
3,9,42.20000000000272,0.899999999989717,65.25,117.92,69.0,156.0,183.17000000000002,0.6437735437025713
3,10,42.20000000000272,0.9999999999897113,14.110000000000001,137.19,22.0,180.0,151.3,0.9067415730337078
3,11,42.20000000000272,1.0999999999897057,0.55,10.51,6.0,12.0,11.06,0.9502712477396021
3,12,42.20000000000272,1.1999999999897,1.29,38.51,2.0,65.0,39.8,0.9675879396984924
3,13,42.20000000000272,1.2999999999896943,21.88,35.160000000000004,29.0,70.0,57.040000000000006,0.6164095371669004
3,14,42.20000000000272,1.3999999999896886,0.0,9.34,0.0,25.0,9.34,1.0
3,17,42.20000000000272,1.6999999999896716,0.0,1.64,0.0,2.0,1.64,1.0
3,19,42.20000000000272,1.8999999999896602,0.0,2.63,0.0,2.0,2.63,1.0
3,20,42.20000000000272,1.9999999999896545,0.0,4.59,0.0,24.0,4.59,1.0
3,22,42.20000000000272,2.199999999989643,0.0,10.24,0.0,13.0,10.24,1.0
3,23,42.20000000000272,2.2999999999896374,0.0,2.3,0.0,1.0,2.3,1.0
3,24,42.20000000000272,2.3999999999896318,0.0,2.88,0.0,7.0,2.88,1.0
3,25,42.20000000000272,2.499999999989626,5.92,55.12,8.0,87.0,61.04,0.9030144167758847
3,26,42.20000000000272,2.5999999999896204,0.0,70.61,0.0,133.0,70.61,1.0
3,27,42.20000000000272,2.6999999999896147,5.12,104.88,6.0,179.0,110.0,0.9534545454545454
3,28,42.20000000000272,2.799999999989609,21.740000000000002,163.94,13.0,205.0,185.68,0.8829168461869883
3,29,42.20000000000272,2.8999999999896033,60.72,355.27,85.0,482.0,415.99,0.8540349527632876
3,30,42.20000000000272,2.9999999999895977,105.37,504.32,101.0,604.0,609.69,0.8271744657120831
3,31,42.20000000000272,3.099999999989592,107.71,48.34,81.0,66.0,156.05,0.30977250881127844
4,7,42.10000000000272,0.6999999999897284,0.9800000000000001,31.11,4.0,40.0,32.089999999999996,0.9694608912433781
4,8,42.10000000000272,0.7999999999897227,0.5,180.68,3.0,238.0,181.18,0.9972403135003863
4,9,42.10000000000272,0.899999999989717,88.94,167.35999999999999,90.0,197.0,256.29999999999995,0.6529847834568865
4,10,42.10000000000272,0.9999999999897113,3.19,89.87,8.0,92.0,93.06,0.9657210401891253
4,11,42.10000000000272,1.0999999999897057,0.0,38.64,0.0,40.0,38.64,1.0
4,12,42.10000000000272,1.1999999999897,0.0,25.21,0.0,53.0,25.21,1.0
4,13,42.10000000000272,1.2999999999896943,44.31,48.92,80.0,105.0,93.23,0.5247238013514963
4,14,42.10000000000272,1.3999999999896886,0.0,58.68,0.0,81.0,58.68,1.0
4,15,42.10000000000272,1.499999999989683,0.0,30.13,0.0,27.0,30.13,1.0
4,16,42.10000000000272,1.5999999999896772,0.0,2.11,0.0,5.0,2.11,1.0
4,17,42.10000000000272,1.6999999999896716,0.03,11.25,1.0,22.0,11.28,0.9973404255319149
4,18,42.10000000000272,1.7999999999896659,0.0,43.92,0.0,87.0,43.92,1.0
4,19,42.10000000000272,1.8999999999896602,0.0,21.5,0.0,55.0,21.5,1.0
4,20,42.10000000000272,1.9999999999896545,0.0,25.43,0.0,40.0,25.43,1.0
4,21,42.10000000000272,2.099999999989649,0.0,12.59,0.0,19.0,12.59,1.0
4,22,42.10000000000272,2.199999999989643,0.0,51.74,0.0,90.0,51.74,1.0
