comarca,rainfed_area_ha,total_area_ha
Montsià,31120.98,34193.72
Baix Ebre,30095.13,34310.65
Garrigues,28097.6,46171.33
Segrià,16724.16,24758.53
Ribera d'Ebre,8504.05,17166.23
Terra Alta,5834.43,8976.81
Urgell,5250.22,6732.09
Alt Empordà,4000.31,4505.95
Alt Camp,2584.98,3485.57
Noguera,2415.94,3405.95
Baix Camp,2024.46,9669.27
Baix Penedès,1340.54,1523.89
Priorat,1310.74,3345.16
Conca de Barberà,1266.79,1325.12
Pallars Jussà,1146.48,1181.89
Anoia,968.54,1034.84
Tarragonès,923.66,1883.48
Segarra,742.49,747.53
Alt Penedès,658.39,900.73
Baix Empordà,606.74,727.36
