comarca,arbe_frac,arbe_ha,total_ha
Garrigues,0.9986845851602985,28060.64,28097.6
Segrià,0.995758830338863,16653.23,16724.16
Urgell,0.9338332488924274,4902.83,5250.22
Alt Camp,0.9017477891511733,2331.0,2584.98
Baix Camp,0.9674629283858412,1958.5900000000001,2024.46
Baix Penedès,0.997172781118057,1336.75,1340.54
Priorat,0.9873277690464929,1294.13,1310.74
Conca de Barberà,0.9576330725692498,1213.12,1266.79
Tarragonès,0.9920533529653769,916.3199999999999,923.66
Alt Penedès,0.9545254332538464,628.45,658.3900000000001
