comarca,total_ha,n_parcels,cult_ha,cult_n_parcels,cult_frac
Garrigues,5971.3,3582,5855.09,3523,0.9805385761894395
Segrià,2658.19,1469,2641.75,1460,0.9938153405136577
Baix Camp,2579.2400000000002,2134,2530.56,2094,0.9811262232285478
Ribera d'Ebre,2906.74,2116,2290.19,1610,0.787889525722975
Priorat,683.39,602,680.05,598,0.9951126004185018
Terra Alta,1019.18,793,613.27,435,0.6017288408328264
Urgell,494.14,308,472.34000000000003,295,0.9558829481523455
Noguera,331.71,186,312.2199999999999,171,0.9412438575864458
Tarragonès,313.99,282,310.78,279,0.9897767444823082
Alt Camp,303.52,251,292.78,241,0.9646151818661044
Baix Ebre,1427.85,887,237.55,163,0.1663690163532584
Montsià,1033.19,759,125.38,80,0.12135231661165903
Alt Empordà,166.31,99,103.42999999999999,64,0.6219108893031086
Alt Penedès,81.99000000000001,49,68.4,38,0.8342480790340285
Baix Penedès,61.56,50,61.56,50,1.0
Pla d'Urgell,47.56,39,45.919999999999995,37,0.9655172413793102
Vallès Occidental,38.75,11,34.93,8,0.9014193548387097
Baix Empordà,41.33,38,24.64,24,0.5961771110573434
Anoia,22.099999999999998,11,22.099999999999998,11,1.0
Conca de Barberà,21.28,24,21.28,24,1.0
Baix Llobregat,19.37,22,16.66,19,0.8600929272070211
Bages,30.5,21,15.830000000000002,12,0.519016393442623
Maresme,11.08,8,11.08,8,1.0
Gironès,9.59,7,8.88,6,0.9259645464025027
Garraf,8.19,4,8.19,4,1.0
Vallès Oriental,14.86,14,8.120000000000001,8,0.5464333781965007
Pallars Jussà,11.65,15,8.120000000000001,11,0.6969957081545065
Pla de l'Estany,5.14,5,1.51,2,0.29377431906614787
Alt Urgell,0.93,1,0.93,1,1.0
Selva,5.98,6,0.93,1,0.15551839464882944
Segarra,1.68,1,0.0,0,0.0
