comarca,irrigated_area_ha,rainfed_area_ha,irrigated_n_parcels,rainfed_n_parcels,total_area_ha,total_n_parcels,rainfed_frac
Osona,0.0,2.2199999999999998,0.0,3.0,2.2199999999999998,3.0,1.0
Pallars Sobirà,0.0,5.04,0.0,7.0,5.04,7.0,1.0
Garrotxa,0.0,1.02,0.0,1.0,1.02,1.0,1.0
Moianès,0.0,12.25,0.0,19.0,12.25,19.0,1.0
Solsonès,0.0,56.519999999999996,0.0,53.0,56.519999999999996,53.0,1.0
Segarra,5.04,742.49,3.0,771.0,747.53,774.0,0.9932577956737523
Pallars Jussà,35.41,1146.48,45.0,1218.0,1181.89,1263.0,0.9700395129834417
Alt Urgell,2.79,67.14,3.0,74.0,69.93,77.0,0.96010296010296
Conca de Barberà,58.33,1266.79,64.0,1400.0,1325.12,1464.0,0.9559813450857282
Anoia,66.3,968.54,33.0,757.0,1034.84,790.0,0.9359321247729118
Montsià,3072.74,31120.98,2270.0,20315.0,34193.72,22585.0,0.910137300065626
Alt Empordà,505.64,4000.31,295.0,3822.0,4505.95,4117.0,0.8877839301368191
Baix Penedès,183.35,1340.54,147.0,1389.0,1523.8899999999999,1536.0,0.8796829167459594
Baix Ebre,4215.52,30095.13,2629.0,18663.0,34310.65,21292.0,0.8771366907942577
Baix Llobregat,58.519999999999996,395.77,69.0,298.0,454.28999999999996,367.0,0.8711836051861146
Vallès Oriental,56.510000000000005,318.49,48.0,291.0,375.0,339.0,0.8493066666666667
Baix Empordà,120.62,606.74,112.0,643.0,727.36,755.0,0.8341673999120106
Gironès,28.770000000000003,137.75,21.0,90.0,166.52,111.0,0.8272279606053327
Selva,18.37,72.12,20.0,45.0,90.49000000000001,65.0,0.7969941429992264
Urgell,1481.87,5250.22,923.0,4261.0,6732.09,5184.0,0.7798796510444751
Bages,88.94999999999999,308.72,59.0,319.0,397.67,378.0,0.7763220760932432
Garraf,24.009999999999998,78.21,11.0,88.0,102.22,99.0,0.7651144590099784
Alt Camp,900.59,2584.98,746.0,2546.0,3485.57,3292.0,0.7416233212932174
Alt Penedès,242.34,658.39,143.0,742.0,900.73,885.0,0.7309515615112187
Pla de l'Estany,15.419999999999998,38.32,15.0,26.0,53.739999999999995,41.0,0.7130628954224042
Noguera,990.01,2415.94,553.0,2259.0,3405.95,2812.0,0.7093292620267474
Segrià,8034.37,16724.16,4457.0,9493.0,24758.53,13950.0,0.6754908308368873
Terra Alta,3142.38,5834.429999999999,2443.0,5555.0,8976.81,7998.0,0.6499446908200128
Garrigues,18073.73,28097.6,10891.0,18326.0,46171.33,29217.0,0.6085508041462093
Vallès Occidental,121.94,140.28,35.0,135.0,262.22,170.0,0.5349706353443673
Ribera d'Ebre,8662.18,8504.05,6291.0,6421.0,17166.23,12712.0,0.4953941546862648
Tarragonès,959.8199999999999,923.66,849.0,955.0,1883.48,1804.0,0.490400747552403
Priorat,2034.42,1310.74,1788.0,1329.0,3345.16,3117.0,0.3918317808415741
Pla d'Urgell,137.91,60.010000000000005,115.0,53.0,197.92000000000002,168.0,0.30320331447049315
Baix Camp,7644.8099999999995,2024.46,6293.0,1975.0,9669.27,8268.0,0.20937051090723496
Maresme,33.230000000000004,1.38,24.0,2.0,34.61000000000001,26.0,0.039872869112973115
