comarca,rainfed_frac,total_area_ha
Osona,1.0,2.2199999999999998
Pallars Sobirà,1.0,5.04
Garrotxa,1.0,1.02
Moianès,1.0,12.25
Solsonès,1.0,56.519999999999996
Segarra,0.9932577956737523,747.53
Pallars Jussà,0.9700395129834417,1181.89
Alt Urgell,0.96010296010296,69.93
Conca de Barberà,0.9559813450857282,1325.12
Anoia,0.9359321247729118,1034.84
Montsià,0.910137300065626,34193.72
Alt Empordà,0.8877839301368191,4505.95
Baix Penedès,0.8796829167459594,1523.8899999999999
Baix Ebre,0.8771366907942577,34310.65
Baix Llobregat,0.8711836051861146,454.28999999999996
Vallès Oriental,0.8493066666666667,375.0
Baix Empordà,0.8341673999120106,727.36
Gironès,0.8272279606053327,166.52
