lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
2,30,42.30000000000271,2.9999999999895977,0.07,0.0,1.0,0.0,0.07,0.0
3,31,42.20000000000272,3.099999999989592,0.12,0.0,2.0,0.0,0.12,0.0
4,31,42.10000000000272,3.099999999989592,0.76,0.0,1.0,0.0,0.76,0.0
5,31,42.00000000000273,3.099999999989592,0.16,0.0,1.0,0.0,0.16,0.0
6,6,41.900000000002734,0.5999999999897341,6.8,0.0,22.0,0.0,6.8,0.0
6,8,41.900000000002734,0.7999999999897227,0.91,0.0,1.0,0.0,0.91,0.0
7,5,41.80000000000274,0.49999999998973976,43.65,0.14,63.0,1.0,43.79,0.003197076958209637
7,6,41.80000000000274,0.5999999999897341,100.41,0.25,170.0,3.0,100.66,0.002483608185972581
7,7,41.80000000000274,0.6999999999897284,32.53,0.0,58.0,0.0,32.53,0.0
7,8,41.80000000000274,0.7999999999897227,0.98,0.01,3.0,1.0,0.99,0.010101010101010102
8,4,41.700000000002746,0.39999999998974545,55.42,0.02,56.0,2.0,55.440000000000005,0.00036075036075036075
8,5,41.700000000002746,0.49999999998973976,41.35,0.16,65.0,3.0,41.51,0.0038544928932787285
8,6,41.700000000002746,0.5999999999897341,146.62,0.12,303.0,2.0,146.74,0.0008177729317159602
8,7,41.700000000002746,0.6999999999897284,226.53,3.7,463.0,13.0,230.23,0.016070885636103028
8,8,41.700000000002746,0.7999999999897227,6.42,0.01,14.0,1.0,6.43,0.0015552099533437014
8,9,41.700000000002746,0.899999999989717,2.9899999999999998,0.0,4.0,0.0,2.9899999999999998,0.0
8,10,41.700000000002746,0.9999999999897113,21.11,0.07,13.0,1.0,21.18,0.0033050047214353167
9,3,41.60000000000275,0.29999999998975113,1.02,0.0,1.0,0.0,1.02,0.0
9,4,41.60000000000275,0.39999999998974545,171.59,0.19,170.0,1.0,171.78,0.0011060658982419375
9,5,41.60000000000275,0.49999999998973976,315.77,0.73,392.0,6.0,316.5,0.0023064770932069508
9,6,41.60000000000275,0.5999999999897341,219.42,0.15,459.0,3.0,219.57,0.0006831534362617844
9,7,41.60000000000275,0.6999999999897284,71.63,0.07,76.0,1.0,71.69999999999999,0.00097629009762901
9,8,41.60000000000275,0.7999999999897227,45.74,0.0,63.0,0.0,45.74,0.0
9,9,41.60000000000275,0.899999999989717,44.09,0.0,43.0,0.0,44.09,0.0
