lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
1,15,42.400000000002706,1.499999999989683,0.0,0.16,0.0,1.0,0.16,1.0
1,30,42.400000000002706,2.9999999999895977,0.0,0.16,0.0,1.0,0.16,1.0
1,31,42.400000000002706,3.099999999989592,0.0,0.04,0.0,1.0,0.04,1.0
2,15,42.30000000000271,1.499999999989683,0.0,0.04,0.0,1.0,0.04,1.0
2,28,42.30000000000271,2.799999999989609,0.96,0.56,1.0,4.0,1.52,0.368421052631579
2,30,42.30000000000271,2.9999999999895977,1.21,0.0,12.0,0.0,1.21,0.0
2,31,42.30000000000271,3.099999999989592,0.74,0.0,1.0,0.0,0.74,0.0
3,13,42.20000000000272,1.2999999999896943,0.0,0.06,0.0,2.0,0.06,1.0
3,14,42.20000000000272,1.3999999999896886,0.17,0.0,1.0,0.0,0.17,0.0
3,30,42.20000000000272,2.9999999999895977,6.2700000000000005,0.33999999999999997,39.0,6.0,6.61,0.05143721633888048
3,31,42.20000000000272,3.099999999989592,7.45,0.0,23.0,0.0,7.45,0.0
4,9,42.10000000000272,0.899999999989717,0.14,0.47,1.0,1.0,0.61,0.7704918032786885
4,10,42.10000000000272,0.9999999999897113,0.14,0.0,1.0,0.0,0.14,0.0
4,11,42.10000000000272,1.0999999999897057,0.0,0.1,0.0,1.0,0.1,1.0
4,13,42.10000000000272,1.2999999999896943,0.0,0.04,0.0,1.0,0.04,1.0
4,28,42.10000000000272,2.799999999989609,0.01,0.0,1.0,0.0,0.01,0.0
4,30,42.10000000000272,2.9999999999895977,1.16,0.0,2.0,0.0,1.16,0.0
4,31,42.10000000000272,3.099999999989592,2.42,0.24,8.0,2.0,2.66,0.09022556390977443
5,10,42.00000000000273,0.9999999999897113,0.0,0.05,0.0,1.0,0.05,1.0
5,28,42.00000000000273,2.799999999989609,0.05,0.0,1.0,0.0,0.05,0.0
5,29,42.00000000000273,2.8999999999896033,0.0,0.03,0.0,1.0,0.03,1.0
5,31,42.00000000000273,3.099999999989592,6.3,0.11,44.0,1.0,6.41,0.0171606864274571
