lat_idx,lon_idx,cell_lat,cell_lon,area_ha_R,area_ha_S,n_parcels_R,n_parcels_S,total_ha,rainfed_frac
4,30,42.10000000000272,2.9999999999895977,0.07,0.0,1.0,0.0,0.07,0.0
4,31,42.10000000000272,3.099999999989592,0.08,0.0,1.0,0.0,0.08,0.0
7,6,41.80000000000274,0.5999999999897341,10.65,0.0,1.0,0.0,10.65,0.0
7,8,41.80000000000274,0.7999999999897227,6.18,0.0,5.0,0.0,6.18,0.0
7,9,41.80000000000274,0.899999999989717,4.08,0.0,1.0,0.0,4.08,0.0
7,10,41.80000000000274,0.9999999999897113,0.11,0.0,1.0,0.0,0.11,0.0
8,8,41.700000000002746,0.7999999999897227,16.46,0.1,17.0,2.0,16.560000000000002,0.006038647342995169
8,9,41.700000000002746,0.899999999989717,42.42,0.02,39.0,1.0,42.440000000000005,0.00047125353440150795
8,10,41.700000000002746,0.9999999999897113,3.2300000000000004,0.0,4.0,0.0,3.2300000000000004,0.0
9,5,41.60000000000275,0.49999999998973976,1.1199999999999999,0.0,2.0,0.0,1.1199999999999999,0.0
9,6,41.60000000000275,0.5999999999897341,2.12,0.0,4.0,0.0,2.12,0.0
9,7,41.60000000000275,0.6999999999897284,5.07,0.0,3.0,0.0,5.07,0.0
9,8,41.60000000000275,0.7999999999897227,23.490000000000002,0.21,7.0,5.0,23.700000000000003,0.008860759493670885
9,9,41.60000000000275,0.899999999989717,7.87,0.0,4.0,0.0,7.87,0.0
10,5,41.50000000000276,0.49999999998973976,6.470000000000001,0.0,9.0,0.0,6.470000000000001,0.0
