feature,anchor_mmdd,anchor_date,anchor_label,phase,coef,stderr,pvalue,r2,adj_r2,n,mean_cwb_14d,sd_cwb_14d
cwb14_1215,1215,2000-12-15,Dec 15,winter,0.001982328090789135,0.0009681410960979155,0.04152605201753972,0.37815683633272323,0.29905311233264564,320,5.752682648956842,23.09221157152698
cwb14_1222,1222,2000-12-22,Dec 22,winter,0.002627542343722792,0.0013913746095739052,0.05998810178320233,0.37679786299110496,0.29752126605711127,320,2.608157287201789,16.974414363088822
cwb14_1229,1229,2000-12-29,Dec 29,winter,0.00781294569355984,0.001852261362671827,3.3207101702746474e-05,0.406271810863972,0.3307445500551487,320,-4.190256546066925,11.735279349101793
cwb14_0101,0101,2001-01-01,Jan 01,winter,0.010286344156446506,0.002084986503614291,1.37989012622001e-06,0.41892087355147645,0.3450026807877067,320,-5.727030320214418,10.600261102084136
cwb14_0108,0108,2001-01-08,Jan 08,winter,0.003523005352340601,0.002856061953554583,0.21840587947217147,0.37231930013724035,0.29247299202749,320,-5.896887359631657,8.52989648077908
cwb14_0115,0115,2001-01-15,Jan 15,winter,0.0002899427309023913,0.00159161740851292,0.8555808257581063,0.3690185246052543,0.2887523298553927,320,-0.15396861416355567,14.656014157445929
cwb14_0122,0122,2001-01-22,Jan 22,winter,0.0018723773651096744,0.0005600772553174126,0.0009401921392284571,0.3929191143160059,0.31569327726786534,320,12.725913141901154,38.83723855237463
cwb14_0129,0129,2001-01-29,Jan 29,winter,0.001744853763880146,0.0004654734110705693,0.0002156161780221739,0.3987958738198445,0.32231761041883533,320,14.939764939762062,45.617525519812155
cwb14_0205,0205,2001-02-05,Feb 05,winter,0.0019241346559436632,0.0008900178758536872,0.031463580165171805,0.3791972901488183,0.30022592069778464,320,-0.05659587070815668,24.59781347893179
cwb14_0212,0212,2001-02-12,Feb 12,winter,-0.0007001927221475981,0.0010976349038453676,0.5240478156570803,0.36985063451907696,0.28969029120701606,320,0.49943600930165066,21.04270518948603
cwb14_0219,0219,2001-02-19,Feb 19,winter,0.00033481646095825685,0.00132334428153609,0.8004458492947117,0.3690872426943106,0.2888297894681452,320,-0.05353344481569753,18.604862645719496
cwb14_0226,0226,2001-02-26,Feb 26,winter,0.0020602516704798664,0.0016805235156238077,0.22123355528429883,0.3722782766386322,0.2924267499919565,320,-9.031743775373412,15.64446724259789
cwb14_0305,0305,2001-03-05,Mar 05,pre_flower,0.0003001686906196452,0.0011439325347378042,0.7932034453310143,0.3690980328317427,0.28884195220256503,320,-5.216637713147276,21.06937162190987
cwb14_0312,0312,2001-03-12,Mar 12,pre_flower,-0.003910214571024858,0.0009227592477645686,3.0613226821047804e-05,0.406596530623912,0.3311105769223601,320,-5.825101981113934,25.066926786023494
cwb14_0319,0319,2001-03-19,Mar 19,pre_flower,-0.0036911633963288798,0.0008893776448022657,4.397581482809918e-05,0.40515007940728454,0.3294801248442536,320,-6.7821425482820885,25.519912296542064
cwb14_0326,0326,2001-03-26,Mar 26,pre_flower,-0.000391683604342903,0.0008953881762539213,0.6621218736566483,0.36937095196403436,0.2891495889629928,320,-5.686194163781155,25.193443266806657
cwb14_0402,0402,2001-04-02,Apr 02,pre_flower,0.0001328174529721727,0.0007546445702021587,0.8604198061868298,0.36901359903313113,0.2887467777087238,320,-10.85413873320336,29.4544691413931
cwb14_0409,0409,2001-04-09,Apr 09,pre_flower,0.003376451418075338,0.001059663131887538,0.0016020796502699483,0.3907999391508834,0.31330452504993567,320,-18.48129331532267,22.480275526290473
cwb14_0416,0416,2001-04-16,Apr 16,pre_flower,0.0003834911996250964,0.0006810059049100372,0.5737958889714514,0.3696508575854157,0.2894651009531718,320,-18.57834709383049,33.16750946382283
cwb14_0423,0423,2001-04-23,Apr 23,pre_flower,-0.0003037210996389534,0.0005206697400042133,0.5601372666720537,0.36970238601812755,0.28952318423951484,320,-6.079633925153816,42.279297594926106
cwb14_0430,0430,2001-04-30,Apr 30,pre_flower,0.00014755175335880714,0.0006120072278832224,0.809656232194451,0.36907412270849604,0.2888150005088701,320,0.9309093598324486,38.39213115447104
cwb14_0507,0507,2001-05-07,May 07,flower,-0.0002011858127319481,0.0007768357566745701,0.7958380625408003,0.36909405911066107,0.2888374729904625,320,-18.274802798959577,34.75121360798168
cwb14_0514,0514,2001-05-14,May 14,flower,0.000386534999999961,0.0009335099335670429,0.6791391987611367,0.3693266169835919,0.2890996141970523,320,-24.27104713007494,31.91788719657499
cwb14_0521,0521,2001-05-21,May 21,flower,0.0006688930435766124,0.0007799194055733918,0.3918149075822543,0.3705804750510545,0.29051297364412154,320,-26.788903187566103,34.06746262066261
cwb14_0528,0528,2001-05-28,May 28,flower,-0.0018779568509052853,0.0009261266691231586,0.043522172214122794,0.3779820055957477,0.2988560416432633,320,-32.815414328262705,27.191712060488253
cwb14_0604,0604,2001-06-04,Jun 04,flower,-0.0011727654919683286,0.0008000263206347259,0.14378337788910356,0.3737001813903039,0.29402953308659696,320,-27.99346640285886,32.62217402130022
cwb14_0611,0611,2001-06-11,Jun 11,flower,0.0009230909227436869,0.000610690367525,0.13176340271864248,0.3739985396342088,0.29436584502937313,320,-29.010326487008967,43.45237097480498
cwb14_0618,0618,2001-06-18,Jun 18,flower,0.0011643227269404898,0.0007322746947323987,0.11294943190042678,0.37453203129161183,0.2949672013499087,320,-42.762285105319094,37.19513936837709
cwb14_0625,0625,2001-06-25,Jun 25,flower,-0.00047022438301064934,0.0010662799471877458,0.6595531461432445,0.3693778956182423,0.2891574159089021,320,-58.02050604428634,26.28404463616945
cwb14_0702,0702,2001-07-02,Jul 02,fruit_set,-0.007996123719024813,0.0010451781622358596,3.156521352082332e-13,0.47709217708445906,0.41057386745562696,320,-56.6207143152031,25.54284323782186
cwb14_0709,0709,2001-07-09,Jul 09,fruit_set,-0.008893546815101296,0.0008240105708366007,5.682174780423526e-23,0.552957012746265,0.4960893535903128,320,-52.896287724654236,28.19746900633668
cwb14_0716,0716,2001-07-16,Jul 16,fruit_set,-0.004229051828623814,0.0012355941228867867,0.0007116331864503694,0.39402871660231076,0.3169440303750428,320,-59.034821699329676,24.316462330598725
cwb14_0723,0723,2001-07-23,Jul 23,fruit_set,0.005656751531597295,0.001389571743536281,6.083288947528963e-05,0.40385363925967777,0.3280187665153258,320,-66.69732898334401,22.29364182717102
cwb14_0730,0730,2001-07-30,Jul 30,fruit_set,0.0037711598433291292,0.0015971608677967841,0.01889545724053004,0.38113614888056946,0.3024114187028327,320,-65.53150944404156,20.106653531552585
cwb14_0806,0806,2001-08-06,Aug 06,fruit_set,-0.0003224146906036581,0.0012063708214925006,0.7894636265161329,0.36910376923571364,0.28884841832576913,320,-62.83924692727442,26.259491948727423
cwb14_0813,0813,2001-08-13,Aug 13,fruit_set,-0.00021455325257433984,0.0010934906570040008,0.8445870135401695,0.3690303684216607,0.28876568030568817,320,-55.39859242291694,26.589805888858283
cwb14_0820,0820,2001-08-20,Aug 20,fruit_set,-0.00025172377687471834,0.0007563438843633308,0.7395191602159079,0.36919143384737774,0.28894723461948235,320,-43.95464952188438,33.06737586809941
cwb14_0827,0827,2001-08-27,Aug 27,fruit_set,-0.0047157119247250925,0.0009444602843714671,1.0409761869483579e-06,0.42003528310566973,0.34625885268801637,320,-41.559292003893106,27.519120150756898
cwb14_0903,0903,2001-09-03,Sep 03,maturation,-0.0036908583818288255,0.0010292536937027874,0.00039549153915319305,0.39637243186424964,0.3195858860943308,320,-26.20139259131121,26.203783121625182
cwb14_0910,0910,2001-09-10,Sep 10,maturation,0.0015882546668695293,0.0007570221529806264,0.03678915713141728,0.3786095206228447,0.2995633819034892,320,-10.263324503559186,33.12643882722794
cwb14_0917,0917,2001-09-17,Sep 17,maturation,0.0018569355218329567,0.0012076467341272656,0.12525200627843663,0.3741730882100801,0.2945625976643659,320,-12.814294137540163,24.587407720367896
cwb14_0924,0924,2001-09-24,Sep 24,maturation,-0.0027284695496050566,0.0010917468642468355,0.013014943619830886,0.3825713580746103,0.3040291986777409,320,-6.74801913638544,23.425975978698055
cwb14_1001,1001,2001-10-01,Oct 01,maturation,0.001097941603083747,0.001164912337661981,0.3467354397255793,0.3709191923589257,0.29089477866606817,320,-14.833744596981536,22.058608858505266
cwb14_1008,1008,2001-10-08,Oct 08,maturation,0.002205924211661978,0.0012319564006387392,0.07442846459634653,0.3760138759243442,0.29663754918680496,320,-17.636997366677626,22.601622512872108
cwb14_1015,1015,2001-10-15,Oct 15,maturation,-0.00015778342988534883,0.0005580546699164335,0.777584140522787,0.36912274210189633,0.28886980470143087,320,8.794588126877153,42.62459329936911
cwb14_1022,1022,2001-10-22,Oct 22,maturation,0.0009723626400751256,0.0005076292543902905,0.056436717611792815,0.3770215294833468,0.2977733848239845,320,26.87001477267802,44.45228580623432
cwb14_1029,1029,2001-10-29,Oct 29,maturation,-0.00017172955260060256,0.0005326907294585691,0.7474018447394036,0.36917619942199864,0.2889300622459985,320,17.34761856951635,40.98697891613643
cwb14_1105,1105,2001-11-05,Nov 05,maturation,-0.00171176318048036,0.0004879238292443097,0.0005244762070443267,0.3952457481114561,0.3183158786132667,320,10.996415096838003,43.72153779032101
cwb14_1112,1112,2001-11-12,Nov 12,maturation,-0.0019572969240881193,0.0006879273178411581,0.004762368471427203,0.38649387371733257,0.30845069157536775,320,9.355115799545072,31.617818891365523
cwb14_1119,1119,2001-11-19,Nov 19,maturation,-0.002742170351046356,0.000983783153717878,0.005673427317914457,0.3858065252057803,0.3076759065040421,320,1.4450051442264862,22.481505530911136
cwb14_1126,1126,2001-11-26,Nov 26,maturation,0.0005498667226472083,0.0008090010113815781,0.4972588260083702,0.36997299877968626,0.28982822123929297,320,12.035788536029903,27.15486306969721
