feature,coef,stderr,pvalue,r2,n,coef_pre_cwb,pvalue_pre_cwb,coef_post_cwb,pvalue_post_cwb,window_days,anchor_mmdd,anchor_date,anchor_label
red_7d_0620,-0.024212339272513157,0.01554110429547874,0.12024803954959996,0.37799090217197184,354,-0.00025776869036532097,0.37861337901413866,0.0003043191034190186,0.41773057800161356,7,0620,2001-06-20,Jun 20
red_7d_0627,0.05817292030722046,0.021944166286846496,0.008432227906534502,0.38687660525143575,354,5.6171968134876806e-05,0.8357588260319259,0.000494858982255616,0.19383567074290706,7,0627,2001-06-27,Jun 27
red_7d_0704,0.028826738352225705,0.01692661517381617,0.08954657251646143,0.37891663422894917,354,0.00010553299192130476,0.7144924266467924,0.000255059539057715,0.49725562502466153,7,0704,2001-07-04,Jul 04
red_7d_0711,0.02280568325991331,0.017922016324553546,0.20413562893522724,0.37640360064399614,354,1.7447233288271267e-05,0.9500322021725811,0.00022985933079732647,0.5442059261974257,7,0711,2001-07-11,Jul 11
red_7d_0718,-0.07318714351536781,0.015904451337687895,6.0835638393462165e-06,0.4126797974443398,354,-0.0005612866009037833,0.04663004649196423,0.00040260170679467844,0.2710481656284233,7,0718,2001-07-18,Jul 18
red_7d_0725,-0.03554186686716484,0.01673714156751204,0.03448841765718145,0.38204438921925454,354,-0.00016396307529467597,0.5446287877747605,0.0004102774478421506,0.2783975855598522,7,0725,2001-07-25,Jul 25
red_7d_0801,-0.012533145142008578,0.017301175079034538,0.46935172696239863,0.3742405044611199,354,2.6998775934394633e-05,0.9292887001990522,0.00031620692292671674,0.4029467839886581,7,0801,2001-08-01,Aug 01
red_7d_0808,-0.012406469880736567,0.014145694974929353,0.3811283250866241,0.3747249214417585,354,-5.796972704662515e-05,0.8298233633631449,0.0003114092243863138,0.40890590825142625,7,0808,2001-08-08,Aug 08
red_7d_0815,-0.05326511265847138,0.013168165842129658,6.586826061589997e-05,0.40414818470298186,354,-0.0001877676865529513,0.47709249147286814,0.00031183927433884744,0.39616523061338454,7,0815,2001-08-15,Aug 15
red_14d_0620,-0.015685474038657048,0.009886522464697367,0.11361761249096201,0.37816705599954004,354,-0.0002713808810154455,0.358256899018096,0.0003220685980043574,0.39155702789028884,14,0620,2001-06-20,Jun 20
red_14d_0627,0.0035685433376750073,0.013817409035664094,0.7963716033012112,0.37333072463866923,354,-4.09204281619824e-05,0.8919759447270544,0.0003026888069780554,0.42461134998974137,14,0627,2001-06-27,Jun 27
red_14d_0704,0.031594699144285976,0.011910151141935242,0.008388335799065155,0.38689480477093896,354,0.00019464185470628492,0.49507688325110205,0.00036165313714256133,0.33324215145373626,14,0704,2001-07-04,Jul 04
red_14d_0711,0.01774078981365355,0.010156465383260318,0.0816556502289427,0.3792110694873382,354,0.00010834838119943852,0.7067910646007213,0.000220904038593361,0.5581157117091713,14,0711,2001-07-11,Jul 11
red_14d_0718,-0.02676294963760773,0.011455469762983112,0.02010458844734545,0.38387384885346776,354,-0.000362818751994333,0.21758539991423326,0.0004054684658846093,0.2821058234267791,14,0718,2001-07-18,Jul 18
red_14d_0725,-0.046258645630495844,0.010486408334688056,1.4123901989178921e-05,0.4096666278939759,354,-0.000497372419380622,0.07460240631550588,0.0005157961298747006,0.16291093606596632,14,0725,2001-07-25,Jul 25
red_14d_0801,-0.022406592699472934,0.01151821362488341,0.052626100728626314,0.3806387472777547,354,5.2448301577327926e-05,0.8491153037016747,0.00040976345812904544,0.2804729295160115,14,0801,2001-08-01,Aug 01
red_14d_0808,-0.009511934157535493,0.009564601573016227,0.32074598035822616,0.3751598630772077,354,1.5905884923830886e-05,0.9553761253593226,0.0003252233414050105,0.3893397513688611,14,0808,2001-08-08,Aug 08
red_14d_0815,-0.03100809406828801,0.009196484056649981,0.0008400530843656302,0.39503178755862567,354,-9.634930036717054e-05,0.7157907652566414,0.00035194413971306455,0.34250743909073506,14,0815,2001-08-15,Aug 15
red_21d_0620,-0.015841789952823242,0.00864668005914233,0.06787696221238822,0.37980688230808457,354,-0.00031970700788633,0.28561782404348,0.00034603609362974196,0.35756235180048324,21,0620,2001-06-20,Jun 20
red_21d_0627,-0.004156760188479347,0.010061853351013342,0.6797992374454735,0.37353744988696913,354,-0.00013708681866270156,0.6556601310159453,0.0002855178544700609,0.4489660100273439,21,0627,2001-06-27,Jun 27
red_21d_0704,0.013589302666125132,0.010686680409850553,0.20444935664566663,0.37639917021695335,354,0.0001426144714430271,0.6547660406888438,0.000315107427310382,0.40247962018617806,21,0704,2001-07-04,Jul 04
red_21d_0711,0.019971241534084215,0.008243646650926069,0.01597264733622733,0.3846630235348596,354,0.00017682277492119523,0.5372083890105901,0.000281582632573592,0.4508235506724921,21,0711,2001-07-11,Jul 11
red_21d_0718,-0.0067974623441196865,0.008204023642911581,0.4079851539771066,0.3745610864685561,354,-0.00019149049304955325,0.5276480132730703,0.0003295848625823848,0.3848059797075482,21,0718,2001-07-18,Jul 18
red_21d_0725,-0.02696599226764062,0.00897344132672257,0.0028682321858362566,0.3906666706929587,354,-0.0004318614274398249,0.13815574614251688,0.0004960251016848537,0.18954520950532125,21,0725,2001-07-25,Jul 25
red_21d_0801,-0.03508364373961413,0.00872887888821155,7.309548999634864e-05,0.4037748403709429,354,-0.00010768518532788085,0.6819455749607903,0.0005293518323273978,0.15553028841162087,21,0801,2001-08-01,Aug 01
red_21d_0808,-0.014522177820826623,0.007925866213185112,0.06785796417250309,0.3798077903686896,354,2.8218132463865892e-05,0.9179162604828736,0.00039099859006816234,0.30210997707321463,21,0808,2001-08-08,Aug 08
red_21d_0815,-0.024096109107833403,0.007684880560554573,0.0018772243366455851,0.39216909871500105,354,0.00010592700601421998,0.6963825135387592,0.0003850276251991286,0.3012497952668788,21,0815,2001-08-15,Aug 15
