feature,anchor_mmdd,anchor_date,anchor_label,phase,coef,stderr,pvalue,r2,adj_r2,n,mean_high_vpd_days_14d,sd_high_vpd_days_14d
vpd14_0501,0501,2001-05-01,May 01,flower,-0.20381249999999998,0.28633936000565763,0.47718330414476173,0.3700722604989779,0.289940109891074,320,0.00625,0.0789329305392304
vpd14_0508,0508,2001-05-08,May 08,flower,-0.0467750000000005,0.0905868097032016,0.6060093488858428,0.3695385111049403,0.28933846304761823,320,0.01875,0.2496863235903957
vpd14_0515,0515,2001-05-15,May 15,flower,-0.06469518716577599,0.05915313368753699,0.27502103580430404,0.37160059317013594,0.2916628594391285,320,0.040625,0.39776757520837136
vpd14_0522,0522,2001-05-22,May 22,flower,-0.04898784641585381,0.01996130629986413,0.014724722902169293,0.3820947896393614,0.30349200669595855,320,0.259375,1.1218433596144213
vpd14_0529,0529,2001-05-29,May 29,flower,-0.039564279155188675,0.01841915789629099,0.03256294075737969,0.37906789325781653,0.3000800634248886,320,0.409375,1.290636492146001
vpd14_0605,0605,2001-06-05,Jun 05,flower,-0.02878192875760236,0.02383200107082998,0.2281706595207242,0.3721802269802216,0.2923162275854795,320,0.29375,1.120327286483787
vpd14_0612,0612,2001-06-12,Jun 12,flower,-0.033350163532297826,0.01626993952470672,0.04130515773136368,0.37817672102566224,0.29907552652715985,320,0.65,1.659776772391179
vpd14_0619,0619,2001-06-19,Jun 19,flower,-0.008440081934716176,0.008319732017991851,0.3112271594624721,0.371231076411645,0.2912463370152465,320,1.859375,3.028947009164409
vpd14_0626,0626,2001-06-26,Jun 26,flower,0.007749988595618892,0.009783050475103148,0.4289161838249278,0.3703408142980884,0.29024282601091944,320,2.159375,2.980012767955648
vpd14_0703,0703,2001-07-03,Jul 03,fruit_set,0.04278823529411811,0.011497611098334883,0.00023888266409506292,0.3983863610619738,0.3218560041652637,320,1.890625,2.9643502911941466
vpd14_0710,0710,2001-07-10,Jul 10,fruit_set,0.031604735592291544,0.010793469087168345,0.003687181261310231,0.38750124443947964,0.30958620839644524,320,2.459375,3.3879150314298156
vpd14_0717,0717,2001-07-17,Jul 17,fruit_set,-0.012988935485078857,0.009890369239447479,0.1901486147523308,0.37276718308645496,0.29297784948614536,320,2.953125,3.8815926323657877
vpd14_0724,0724,2001-07-24,Jul 24,fruit_set,-0.0332792279114845,0.008999799821457143,0.00026119402903713643,0.3980295636050528,0.32145381904597825,320,3.659375,4.081409752066475
vpd14_0731,0731,2001-07-31,Jul 31,fruit_set,-0.025508257220304816,0.010590269210597055,0.01665081930726258,0.3816215054707921,0.3029585167674299,320,3.85,4.036976428391127
vpd14_0807,0807,2001-08-07,Aug 07,fruit_set,-0.014208947778643581,0.009012854506601812,0.11602310774463157,0.3744384588148336,0.2948617256605368,320,4.23125,4.369632847570895
vpd14_0814,0814,2001-08-14,Aug 14,fruit_set,-0.03972691678684663,0.008895114771617833,1.1520597444927747e-05,0.41049426415745227,0.3355041352163508,320,4.378125,4.047231677041593
vpd14_0821,0821,2001-08-21,Aug 21,fruit_set,-0.06008241663411659,0.009096497201704464,1.9634270483912593e-10,0.4532320101191135,0.3836784849045838,320,3.184375,3.5402397395929426
vpd14_0828,0828,2001-08-28,Aug 28,fruit_set,-0.043383368622945444,0.009652722932449294,1.0180717316234335e-05,0.41098674000961477,0.336059258173382,320,2.34375,3.3341528511916962
vpd14_0904,0904,2001-09-04,Sep 04,maturation,-0.029370772366100997,0.015417390775938474,0.05778819662923265,0.37693470535984164,0.2976755159356519,320,1.340625,2.0903359324148902
vpd14_0911,0911,2001-09-11,Sep 11,maturation,-0.0018820448877808222,0.018102933727679904,0.917271928855787,0.36896863441087613,0.2886960932051925,320,0.503125,1.3828289514943302
vpd14_0918,0918,2001-09-18,Sep 18,maturation,-0.004168930390490601,0.033399875021803443,0.9007556647651578,0.3689792728421314,0.28870808493512334,320,0.28125,0.7892051872524704
vpd14_0925,0925,2001-09-25,Sep 25,maturation,0.023562903225805683,0.046018506591852214,0.6090286301960156,0.3695286127654628,0.28932730555541564,320,0.140625,0.5673230186794037
