s_id;provider_id;lon;lat;alt;alt_dem;gss_id;genus;species;subspecies;phase_id;year;day;date;cult_season;license_short
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;60;1952;110;1952-04-19;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;65;1952;140;1952-05-19;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1952;149;1952-05-28;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;81;1952;294;1952-10-20;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950100;Olea;Olea europaea;;100;1952;333;1952-11-28;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;60;1953;109;1953-04-19;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;65;1953;137;1953-05-17;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1953;139;1953-05-19;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;81;1953;272;1953-09-29;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;100;1953;312;1953-11-08;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;60;1954;145;1954-05-25;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;65;1954;150;1954-05-30;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1954;158;1954-06-07;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1955;150;1955-05-30;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;60;1956;118;1956-04-27;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;65;1956;140;1956-05-19;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950101;Olea;Olea europaea;Olea europaea Oblica;69;1956;151;1956-05-30;0;CC BY-NC 4.0
