window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
60,03-01,174,0.0014882463099403372,0.0005589985109994164,2.662343960951787,0.008578464141380937,0.3871835053910365,0.04372977685368762
67,03-08,174,0.0015543969571822263,0.0005580265802150839,2.7855249414519014,0.006011325354566297,0.3897102150476446,0.047672583923024536
74,03-15,174,0.0009474543616081873,0.0005921252008883714,1.6000912647979044,0.11161463322532725,0.36957310202968274,0.016249602119154494
81,03-22,174,-9.691286514314587e-05,0.0007038899707896462,-0.1376818383055322,0.8906705661852036,0.35923806647854173,0.00012228368099620468
88,03-29,174,-0.0009102663056193425,0.0006308540513506113,-1.4429110880250837,0.15106335658557848,0.3676535124026299,0.013254176217339486
95,04-05,174,-0.0008235681799794307,0.0006741512070816829,-1.2216371806920816,0.22369960383640172,0.36527110700926446,0.009536548906096454
102,04-12,174,-0.00026264849979648917,0.0005629727570663532,-0.4665385607025614,0.6414851023619421,0.3600583380941349,0.0014022774928214021
109,04-19,174,-0.0004981546944689169,0.0005560127743560804,-0.8959410960401603,0.37167353664518893,0.3624613725999005,0.00515209552688578
116,04-26,174,-6.0375815524226834e-05,0.0004643748223412614,-0.13001526486691745,0.8967229251929217,0.35922958322169807,0.00010904597283034612
123,05-03,174,-0.0001897992438269423,0.00047696376278959067,-0.3979322091826732,0.6912276904535565,0.35981372490513086,0.0010205705529932052
130,05-10,174,-8.656273638322156e-05,0.0005032893098568109,-0.17199398971507904,0.8636666104612155,0.35928198395574007,0.00019081476018545374
137,05-17,174,0.0003756287265237428,0.00047367628694077336,0.7930072433005495,0.4289857821406362,0.36174919065434696,0.004040770368397895
144,05-24,174,0.00011355200643321194,0.00046535857661107255,0.2440096994883883,0.807545990137952,0.3594057760385403,0.0003839862620697021
151,05-31,174,0.00022384060398000555,0.0004698786857088781,0.47637956516863605,0.6344748290348345,0.3600965929622256,0.0014619723469373458
158,06-07,174,5.3948875606237506e-05,0.00043332158964975976,0.12450077931691031,0.901080099491561,0.35922378162555213,9.999286526884976e-05
165,06-14,174,0.00019331128578063358,0.0004251888629036517,0.4546480461893898,0.6499985556284412,0.36001317557394996,0.001331803584832536
172,06-21,174,0.00014766639686194263,0.0004435950656992244,0.3328855712792497,0.7396704791568052,0.3596175252478745,0.0007144105659883104
179,06-28,174,-1.61777417415652e-05,0.0004728002957158885,-0.03421686045494059,0.9727482456634388,0.359164542722916,7.553449650754551e-06
186,07-05,174,-0.00023444475553227763,0.0004363979480791119,-0.5372269887249254,0.5918812125254044,0.36035074079798124,0.0018585576375556023
193,07-12,174,-0.0005958394027258996,0.0004976679461521599,-1.1972629688786993,0.23303190424419257,0.36503188165941003,0.009163249426235698
200,07-19,174,-0.0005099107436695214,0.0005208350556372845,-0.9790253903812287,0.32909302646895744,0.3630981826730344,0.006145806557993128
207,07-26,174,-0.0003446839020358844,0.0005593618498965693,-0.616209171397047,0.5386603824786895,0.3607257744835993,0.002443779395436385
214,08-02,174,-0.0005154101033992251,0.000795240985600464,-0.6481181336624061,0.5178674816412385,0.3608917149583373,0.0027027214053246817
221,08-09,174,-0.0020331541393326684,0.0008733583962720504,-2.3279722826404736,0.021206312840873997,0.3808092279349802,0.03378302806522848
228,08-16,174,-0.003904854687160719,0.0009761529780486094,-4.000248705860393,9.772696605739431e-05,0.4191281263267903,0.09357779834020141
235,08-23,174,-0.002475238998576519,0.0008412952468490563,-2.94217637368944,0.003759823479552277,0.39305615262813987,0.05289375617423098
242,08-30,174,-0.0017252775722377735,0.0008363569077613445,-2.0628484756056844,0.0407955032602454,0.3762831200946736,0.02672025773755282
249,09-06,174,-0.0004495390457854535,0.0006968916388082969,-0.6450630496215698,0.5198399732551161,0.3608754684154458,0.0026773694682719062
256,09-13,174,0.00022696842160279684,0.0006574427517980524,0.34522917924345004,0.7303901304153146,0.35965208091169687,0.0007683329924327298
