window_end_doy,window_end_date,n,n_comarcas,coef,stderr,t,p,r2
152,06-01,155,18,0.041269017002746135,0.0830437232253375,0.4969552833121833,0.6199339175762522,0.001611546136207953
159,06-08,155,18,0.0,0.0,,,5.551115123125783e-16
166,06-15,155,18,0.002445628337504678,0.03610264530112304,0.0677409734690162,0.9460802770392392,2.999151542704137e-05
173,06-22,155,18,0.0037701969413227038,0.01565503211488069,0.2408297161996232,0.8100095129842191,0.00037893447321846185
180,06-29,155,18,0.008830809805279602,0.016181643694403582,0.5457300860192427,0.5860462723729768,0.0019427629447628103
187,07-06,155,18,0.002570405163027199,0.012721965198157686,0.20204466236076707,0.8401502068948417,0.00026673958648970597
194,07-13,155,18,-0.013805004410921654,0.01429984552212202,-0.9653953526676325,0.3358702696614844,0.006054545243840748
201,07-20,155,18,-0.02796567698305533,0.013301007373544805,-2.1025232298328014,0.037144772159819886,0.02808148248431641
208,07-27,155,18,-0.0130798534413608,0.011037953660175778,-1.1849889793025734,0.2378591502511284,0.009094305020488136
215,08-03,155,18,0.0040029226624850416,0.01330277933757068,0.30090874703000564,0.7638926085909366,0.0005914543801769367
222,08-10,155,18,-0.0006708516413289722,0.009884296097827587,-0.06787045174379336,0.9459773753582721,3.0106271493246517e-05
229,08-17,155,18,-0.020548195105117604,0.015744770103234502,-1.3050806693516799,0.19382472900651063,0.011009695740502146
236,08-24,155,18,-0.02712963792510359,0.014510356047155556,-1.8696741718079186,0.06343996197510152,0.02233723943705579
243,08-31,155,18,-0.011546349121459016,0.013494777734058922,-0.8556161019471742,0.3935480924192682,0.004762043934377735
250,09-07,155,18,0.006119663282395131,0.031929843542500114,0.19165967018440203,0.8482629210334096,0.00024003014408424672
257,09-14,155,18,-0.019310234136203214,0.03244290508266972,-0.5952066896289849,0.5525846431401863,0.002310147614808744
