window_end_doy,window_end_date,n,coef,stderr,t,p,r2
152,06-01,174,-0.09806705539358644,0.09732536491984163,-1.0076207314953884,0.3152069724580412,0.3633300935372408
159,06-08,174,1.3723164501717711e-16,1.779290047267834e-16,0.7712719195383654,0.4417124286667757,0.3591597021679923
166,06-15,174,-0.03133524550315986,0.03557414160469622,-0.880843334221822,0.37976639352391645,0.36235158492555297
173,06-22,174,-0.01688224593473385,0.016980990997049614,-0.9941849646859291,0.3216823277999732,0.36322031779380204
180,06-29,174,0.013039810017271588,0.019376368107734677,0.6729749323902627,0.5019653559145124,0.36102672132244706
187,07-06,174,0.011088202717059426,0.012126487490153461,0.9143787701148327,0.3619380746707594,0.36259792518148803
194,07-13,174,-0.002850776347730479,0.012236525340316192,-0.23297270004728443,0.8160899698309664,0.35938402636989975
201,07-20,174,-0.041809171690202394,0.011187085322925228,-3.7372711911407883,0.0002611157476888359,0.4121329551462145
208,07-27,174,-0.03506428605429769,0.009790171811039102,-3.5815802552882943,0.00045659823693926547,0.4081415879003055
215,08-03,174,-0.014048345355437617,0.013371498481470543,-1.050618625496986,0.29506904561378283,0.3636910409323283
222,08-10,174,-0.01000312772710979,0.010018798880211637,-0.9984358251633537,0.3196242125706403,0.3632548937985993
229,08-17,174,-0.03453100995560477,0.012269665492342794,-2.8143399652708343,0.005522065596472545,0.3903146601657994
236,08-24,174,-0.04557362437957004,0.01123512355103031,-4.056352755941944,7.875314291309611e-05,0.42065949171403527
243,08-31,174,-0.036422079039144364,0.014000523856496819,-2.601479731220416,0.010181529736040236,0.38596983122217643
250,09-07,174,0.011903628038041562,0.03034154015780439,0.3923211536438678,0.6953598776988673,0.3597954289731079
257,09-14,174,0.006431949988702224,0.031384269959032846,0.2049418386057126,0.8378864491518516,0.35933330695827814
