window_end_doy,window_end_date,n,coef,stderr,t,p,r2
152,06-01,174,-0.10088775510204069,0.09730676268727345,-1.0368010641385317,0.3014433510532142,0.3635734494153319
159,06-08,174,0.2272222222222225,0.4014486334968884,0.5660057184476222,0.57220841914143,0.36048149397651275
166,06-15,174,-0.008102987070887782,0.03414619579247701,-0.23730277657088256,0.812735271139727,0.3593924394730845
173,06-22,174,-0.00990633735324677,0.01614151564136913,-0.6137179167895358,0.5403013791938246,0.36071316785601093
180,06-29,174,0.020658454064370675,0.019378301839400338,1.0660611149304893,0.2880537569889381,0.3638242507095961
187,07-06,174,0.01716857226290521,0.012042286897104907,1.4256903534687184,0.15596851537087206,0.3674545883981002
194,07-13,174,-0.004680358571301583,0.012882240782613026,-0.36331866872249396,0.7168618741494376,0.3597049875422227
201,07-20,174,-0.04342715052550863,0.011633898275165566,-3.7328116078005333,0.00026539299064397726,0.4120170288257303
208,07-27,174,-0.029334780392639394,0.010459528190261178,-2.804598817368539,0.005683248746695665,0.3901097609192944
215,08-03,174,-0.01440749208583469,0.014415381649524961,-0.9994526982439946,0.3191331708531018,0.3632631862334169
222,08-10,174,-0.013336002370041547,0.010319896318307074,-1.2922612746006008,0.19818993386771663,0.36599039566870584
229,08-17,174,-0.03944217563915221,0.012614434178098627,-3.1267494904870423,0.002111214899241415,0.39718219186327974
236,08-24,174,-0.04363903854565615,0.011281399728992057,-3.8682290845087453,0.00016102862447834617,0.41557791124546895
243,08-31,174,-0.03149461931882303,0.014305575131072642,-2.201562609699953,0.029174125795457362,0.3785912652549793
250,09-07,174,0.0006487056837372542,0.030334126525241912,0.02138534245241732,0.9829657708512228,0.3591615929839217
257,09-14,174,-0.0045079513564082515,0.030678213509487077,-0.14694308568568346,0.8833678972076698,0.35924896197245604
