window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
152,06-01,100,-0.021011038433963708,0.03834162294463606,-0.5479955416676779,0.5850668058987532,0.322952497358694,0.0033628007595499776
159,06-08,100,0.014503717407096842,0.025648832769707138,0.5654728048375999,0.5731750395222596,0.3231000078456925,0.0035799412674866193
166,06-15,100,-0.010408158385987833,0.01731321731095123,-0.6011683558898264,0.5492559698109196,0.32341545449169773,0.004044289574744231
173,06-22,100,-0.02809485354548388,0.0221238234281277,-1.26989141984223,0.2074335100934567,0.3327580453419041,0.017796904483261322
180,06-29,100,0.09639458841824311,0.02769199770434279,3.4809546587217164,0.0007762381132664853,0.4020736632573201,0.1198318769679626
187,07-06,100,0.13180183325356054,0.029043509591443053,4.538082177657781,1.768915669598162e-05,0.44832345052099176,0.18791315378252704
194,07-13,100,0.07660093691724879,0.042720050992387876,1.793090952323489,0.07635539147350774,0.34435363384633977,0.03486600939173645
201,07-20,100,-0.08238951826680369,0.03871796013476152,-2.1279405727997855,0.036106581248129904,0.3535576537133578,0.048414643049245365
208,07-27,100,-0.04285399126561576,0.054636343208600675,-0.7843495510305277,0.4349177050230874,0.32533162170974994,0.006864953593185508
215,08-03,100,-0.09875903376865353,0.026190173079370393,-3.7708431123902932,0.00029239212783606095,0.4142513150992905,0.13775779911930175
222,08-10,100,-0.14718455068100328,0.03867302765099825,-3.8058709033401494,0.0002590012828172826,0.4157535194561336,0.1399690955749422
229,08-17,100,-0.08854032912975579,0.030336572111665124,-2.9186003218771694,0.004451906379098073,0.380007760190757,0.08735010907844765
236,08-24,100,-0.09532923274542573,0.024117195355423053,-3.9527495357784117,0.00015461133792608894,0.42211717935708193,0.14933662171728435
243,08-31,100,0.007111476769216274,0.07563461898877179,0.09402409722288674,0.9253013682395534,0.32073551189465654,9.932194157158403e-05
250,09-07,100,-0.023573726936132935,0.02549614140068287,-0.9245997880879949,0.35767428254157585,0.32713124438298136,0.009514060035114458
257,09-14,100,-0.1619310571845855,0.038053428496110264,-4.255360517676817,5.1499909025611304e-05,0.4355184306790757,0.1690637243677836
