window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
60,03-01,100,-0.058284220758925274,0.03433811253171622,-1.697362390116561,0.09312260329038875,0.3419692996160423,0.0313561874367535
67,03-08,100,-0.06213107592184883,0.04739059730377663,-1.3110422627422236,0.19321613126865006,0.33353920800543957,0.018946802778580296
74,03-15,100,-0.07252008102421481,0.06913571086597269,-1.0489525617926039,0.29704009321283487,0.3289640155582544,0.012211962211618688
81,03-22,100,-0.18066707410976543,0.05173835332896226,-3.491937073471394,0.0007487276444026223,0.4025261494111545,0.1204979521418511
88,03-29,100,-0.1395476791299157,0.0366790350857918,-3.8045624374664007,0.00026018039699609365,0.4156972939031921,0.13988632962810577
95,04-05,100,-0.07675345332096202,0.05122315083016579,-1.4984133556220285,0.1375645184386455,0.33738414422887875,0.02460668107964059
102,04-12,100,-0.13258851487474166,0.06846909182734073,-1.9364725211938196,0.055982718817438215,0.3481337697897514,0.040430499452909996
109,04-19,100,-0.12435438965329318,0.07811929301607307,-1.5918524714209488,0.114963642235374,0.3394744218417538,0.027683641584780316
116,04-26,100,-0.25246192607287604,0.07144614594752649,-3.5335975471412593,0.0006525158072435467,0.4042492673952589,0.12303444105132799
123,05-03,100,-0.061186272333489757,0.05195111580236365,-1.1777662787120722,0.2420295727795277,0.3310934618579249,0.015346580370251606
130,05-10,100,0.012515344395168423,0.040879820307922116,0.3061496919726692,0.7602056910613222,0.32138270442012495,0.0010520115880673364
137,05-17,100,-0.01306469519722279,0.05232296953397603,-0.2496933051313,0.8033999458727356,0.32114359537316695,0.0007000348509202947
144,05-24,100,-0.16908703145557796,0.058947660700905555,-2.8684264896194676,0.005150814835914244,0.3781562408727468,0.08462460899131574
151,05-31,100,-0.21228573966980877,0.04964677921318925,-4.27592168181199,4.771171931495619e-05,0.4364413820425057,0.1704223405037203
158,06-07,100,-0.2686174277967715,0.049369855248243326,-5.44091989830838,4.61911376689554e-07,0.4902301469863378,0.24960125163637792
165,06-14,100,-0.14227248951241842,0.05744557721766542,-2.4766482713427656,0.015152834057210948,0.364468222881115,0.06447537594472386
172,06-21,100,-0.10280967838439267,0.03916536688489965,-2.6250150722839605,0.010197769720749013,0.3694848207783038,0.07185998050860554
179,06-28,100,-0.08746016951213101,0.044306034855796136,-1.9740012798886115,0.05148272629266708,0.3491635673663277,0.04194639688772761
186,07-05,100,-0.09218705962802472,0.07762373285998682,-1.1876143575097886,0.23814527787525153,0.3312658071675113,0.015600278590802374
193,07-12,100,0.2559763206323371,0.07676730900855339,3.334444360995073,0.0012473799961796226,0.39611028024359707,0.11105357216422451
200,07-19,100,0.12252013869839884,0.07311349611018077,1.675752702534743,0.09729655432825939,0.34144684979882156,0.030587123345168776
207,07-26,100,0.03352488565328361,0.06931105629479424,0.48368741504523244,0.6297956803773147,0.3224491113737331,0.0026217992844228544
214,08-02,100,-0.14501102531598128,0.057253136003456676,-2.5328049332917972,0.01306754112607312,0.3663419733979274,0.06723360112075039
221,08-09,100,-0.31527282481925323,0.07637936148189477,-4.1277227081033745,8.235845977419655e-05,0.42982241769109764,0.16067899743351544
228,08-16,100,-0.41829132303333416,0.053689945100004605,-7.790868890892166,1.1643802289759406e-11,0.5961155748514639,0.40546824155389993
235,08-23,100,-0.48901593213766675,0.07682759946743971,-6.36510753332748,8.281776225663675e-09,0.5331758169147042,0.3128187541453379
242,08-30,100,-0.2620669037912087,0.061254224981484355,-4.27834820978349,4.728279202142776e-05,0.4365503980739214,0.17058281584968726
249,09-06,100,-0.339743262567365,0.07249484803782967,-4.686446992620472,9.945995042739442e-06,0.4551277324724944,0.19792929073086862
256,09-13,100,-0.2674468722516942,0.04645135817903687,-5.757568405661622,1.197821871283197e-07,0.5050286902563503,0.27138521607007837
263,09-20,100,-0.16080496279039203,0.03931123132971442,-4.090560314472862,9.42738019989251e-05,0.42817544781704264,0.15825460115982992
270,09-27,100,-0.16996325857462152,0.05015301086891742,-3.3888944179013807,0.0010473857326492445,0.39831037526595103,0.11429218767138993
277,10-04,100,-0.01535034029319757,0.06528394680185565,-0.23513192821793746,0.8146464987440712,0.32108978006015854,0.0006208168601238295
284,10-11,100,-0.01265577187077432,0.06241459800911657,-0.20276942052764257,0.8397780953806009,0.32098172622051135,0.0004617578935180999
291,10-18,100,-0.0634827126714902,0.036822602866346935,-1.724014809651291,0.08817712610269196,0.342621719293159,0.032316571630173097
298,10-25,100,-0.17876463940546797,0.03439244530502427,-5.197787997335359,1.272280215844577e-06,0.4788647830400454,0.23287104519208612
305,11-01,100,-0.1731932126655443,0.03310592715176535,-5.2314865513835604,1.1070064584776885e-06,0.48043869535670114,0.23518789822972708
312,11-08,100,-0.1434161865582046,0.03887393634181584,-3.6892632970624835,0.0003867633860699748,0.41077718109776307,0.1326437544362321
319,11-15,100,-0.15446841842908937,0.038383058763502106,-4.024390535961432,0.00011970154464299082,0.4252566077030365,0.15395796816893192
