window_end_doy,window_end_date,n,coef,stderr,t,p,r2,within_r2
152,06-01,100,0.03471596578902148,0.1666321983842147,0.2083388812345536,0.8354404219085394,0.32099918641568137,0.0004874599010501468
159,06-08,100,0.18821489100807287,0.13224778653897099,1.4231987992676869,0.15817458098442205,0.3357845006158249,0.022251950689118005
166,06-15,100,0.06881609837003,0.11919873263678513,0.5773223997248534,0.565179293169117,0.323202616274729,0.003730984402472659
173,06-22,100,-0.08248242355075758,0.10434040707533583,-0.7905127635854788,0.4313297693994337,0.3254046870409323,0.006972508272505729
180,06-29,100,0.25279457013542295,0.1640203463472505,1.5412390948146575,0.12680678540657012,0.3383281208644363,0.02599624713894988
187,07-06,100,0.498790303265669,0.12561109957994337,3.9709094573144874,0.00014493794847077003,0.4229108683721976,0.15050495923275686
194,07-13,100,0.5281391906253596,0.1743858091648061,3.028567480087977,0.003215035687163683,0.3841379578091624,0.09342990195953571
201,07-20,100,-0.3200287280722274,0.22997672825735915,-1.3915700536190518,0.16752102512365943,0.33513422774961654,0.02129472667515797
208,07-27,100,-0.8614358058156655,0.25517332086313466,-3.375885076472031,0.0010922231985596186,0.3977829481256737,0.1135157967891568
215,08-03,100,-0.4849713549384372,0.16097166070803695,-3.0127747505696427,0.0033705543586105683,0.38353884620129663,0.09254798907666362
222,08-10,100,-0.48802075507501935,0.13094846458051076,-3.726815405116649,0.00034019838001641487,0.4123720265969688,0.134991421838222
229,08-17,100,-0.5297842195566309,0.15897578612530622,-3.3324837226409434,0.0012552106089296661,0.396031426341656,0.1109374965097496
236,08-24,100,-0.5063312407839409,0.13002274790050347,-3.8941742807296897,0.00019020243401369176,0.4195672198396868,0.14558299364587324
243,08-31,100,-0.5223628880413556,0.16889924440981197,-3.0927485191935506,0.002648982226025248,0.38659273366833147,0.09704341641384062
250,09-07,100,0.21438474776696667,0.17183599063608232,1.2476126041662305,0.21544571845290272,0.3323447830189611,0.017188568136870974
257,09-14,100,0.010689980392357154,0.16701959995353372,0.0640043467672728,0.9491103030133252,0.3206993066692412,4.6026605106996854e-05
