mode,cohort,window,predictor,n,r,p,partial_r_lag,partial_p_lag,n_partial,abs_r,abs_partial_r
demeaned_nodana,arbequina,maturation,mean_tmax,80,-0.4716362070711181,1.0051106723183599e-05,-0.6416634367386558,2.1571306256727615e-09,70,0.4716362070711181,0.6416634367386558
demeaned_nodana,arbequina,summer,sum_precip,80,-0.23480938476384952,0.0360331187420938,-0.5872966926766853,9.08246602731453e-08,70,0.23480938476384952,0.5872966926766853
demeaned_nodana,arbequina,summer,ratio_p_et0,80,-0.1961080349985014,0.0812621181899319,-0.571113182928817,2.432562566786447e-07,70,0.1961080349985014,0.571113182928817
demeaned_nodana,min500ha,maturation,mean_tmax,144,-0.42101924494448134,1.4840521564231638e-07,-0.5324721655637366,1.3872131321009787e-10,126,0.42101924494448134,0.5324721655637366
demeaned,arbequina,summer,sum_precip,100,-0.2973383724037832,0.002662289101881954,-0.5278285328181883,8.993406565377584e-08,90,0.2973383724037832,0.5278285328181883
demeaned_nodana,arbequina,fruit_set,sum_precip,80,-0.3593587907200025,0.001061472654791528,-0.5146017774428816,5.179485670408378e-06,70,0.3593587907200025,0.5146017774428816
demeaned,arbequina,summer,ratio_p_et0,100,-0.27769116442407893,0.005154177284561585,-0.5045558291035916,3.9640313711335527e-07,90,0.27769116442407893,0.5045558291035916
demeaned_nodana,min500ha,set_to_dev,mean_tmax,144,-0.44307729800693196,2.6789829316258024e-08,-0.48390292974208277,9.450425327590131e-09,126,0.44307729800693196,0.48390292974208277
demeaned_nodana,arbequina,calendar_year,mean_tmax,80,-0.3234170115300201,0.0034303930576435504,-0.48223188195086486,2.3661660249150006e-05,70,0.3234170115300201,0.48223188195086486
demeaned_nodana,all_olive,calendar_year,mean_tmax,284,-0.3897635930671097,9.713562505478024e-12,-0.47248167833186594,3.397093675676284e-15,248,0.3897635930671097,0.47248167833186594
demeaned_nodana,all_olive,maturation,mean_tmax,284,-0.4017021087698823,1.9441597335579503e-12,-0.4700330869308295,4.917708893500268e-15,248,0.4017021087698823,0.4700330869308295
raw,arbequina,spring,sum_precip,100,-0.36091133419177357,0.00022524208876079064,-0.4664148290407678,3.5978087378414467e-06,90,0.36091133419177357,0.4664148290407678
demeaned,min500ha,agro_year,sum_et0,180,-0.37912521840234686,1.5348688025087164e-07,-0.4660085084425626,4.123731752485381e-10,162,0.37912521840234686,0.4660085084425626
demeaned_nodana,arbequina,set_to_dev,mean_tmax,80,-0.48347186888623617,5.551266763575509e-06,-0.4631549069300183,5.4041242919701335e-05,70,0.48347186888623617,0.4631549069300183
demeaned_nodana,min500ha,calendar_year,mean_tmax,144,-0.3229410418193926,7.886299287694424e-05,-0.4603099431452931,5.85933305067453e-08,126,0.3229410418193926,0.4603099431452931
demeaned,arbequina,set_to_dev,sum_precip,100,-0.23166263965350947,0.020387198852445436,-0.45674484748597766,6.04106585315203e-06,90,0.23166263965350947,0.45674484748597766
demeaned_nodana,arbequina,fruit_set,ratio_p_et0,80,-0.31823831511972306,0.004017229770523208,-0.45484542078658474,7.628365782034196e-05,70,0.31823831511972306,0.45484542078658474
demeaned_nodana,min500ha,summer,mean_tmax,144,-0.3799096356269359,2.6466659261664135e-06,-0.45219168000287685,1.064073908325655e-07,126,0.3799096356269359,0.45219168000287685
demeaned_nodana,all_olive,fruit_dev,mean_tmax,284,-0.3783134530357848,4.280586838561095e-11,-0.4494130583844995,9.884246592411844e-14,248,0.3783134530357848,0.4494130583844995
demeaned_nodana,arbequina,summer,sum_cwb,80,-0.10875980226154673,0.33689434991388684,-0.4356538825436762,0.00016360668199821965,70,0.10875980226154673,0.4356538825436762
demeaned_nodana,all_olive,set_to_dev,mean_tmax,284,-0.3935142124289528,5.900722006552016e-12,-0.43556950702681047,6.635243329483819e-13,248,0.3935142124289528,0.43556950702681047
raw,arbequina,summer,sum_precip,100,-0.2579741192452409,0.00956068128781321,-0.4332877577826094,1.9927533322677112e-05,90,0.2579741192452409,0.4332877577826094
demeaned_nodana,min500ha,fruit_dev,mean_tmax,144,-0.3515689132109154,1.5545514795570814e-05,-0.4299513407581704,5.050339937805717e-07,126,0.3515689132109154,0.4299513407581704
demeaned,arbequina,set_to_dev,ratio_p_et0,100,-0.19649746301996346,0.05006391570374562,-0.4296884382594574,2.374955559619571e-05,90,0.19649746301996346,0.4296884382594574
demeaned_nodana,arbequina,summer,mean_tmax,80,-0.33369140235673483,0.0024874757691982887,-0.4283076722892368,0.00021653059007223173,70,0.33369140235673483,0.4283076722892368
demeaned,min500ha,winter_recharge,sum_et0,180,-0.37212084471004075,2.6941478664490635e-07,-0.42609322776384756,1.5757526183799395e-08,162,0.37212084471004075,0.42609322776384756
demeaned_nodana,arbequina,spring,sum_precip,80,-0.46998086972903386,1.0902244792520059e-05,-0.42475118388870364,0.0002474332155925908,70,0.46998086972903386,0.42475118388870364
demeaned_nodana,all_olive,agro_year,sum_et0,284,-0.2893506707836164,7.004112046575345e-07,-0.42423400369856895,2.961737293352353e-12,248,0.2893506707836164,0.42423400369856895
demeaned,all_olive,agro_year,sum_et0,354,-0.3224754885797027,5.21065045603467e-10,-0.42091051385897155,4.37316304459686e-15,318,0.3224754885797027,0.42091051385897155
demeaned_nodana,arbequina,set_to_dev,sum_precip,80,-0.01871248745438238,0.8691408997478053,-0.4196077648005217,0.00029931419225083175,70,0.01871248745438238,0.4196077648005217
demeaned,min500ha,agro_year,mean_vpd,180,-0.10754915080959682,0.1507059621306016,-0.41479213611203825,4.0693491833684946e-08,162,0.10754915080959682,0.41479213611203825
raw,arbequina,spring,ratio_p_et0,100,-0.29913984466615756,0.002500022859473493,-0.4145950181600012,4.852295752399696e-05,90,0.29913984466615756,0.4145950181600012
demeaned,arbequina,winter_recharge,sum_et0,100,-0.5289467022074397,1.5378514254887016e-08,-0.4135135999035074,5.100543803683724e-05,90,0.5289467022074397,0.4135135999035074
demeaned_nodana,all_olive,agro_year,mean_vpd,284,-0.22221037351855327,0.00015965474415366383,-0.4104589071533566,1.694626649842389e-11,248,0.22221037351855327,0.4104589071533566
demeaned,arbequina,agro_year,sum_et0,100,-0.5083492348011097,6.685594083271689e-08,-0.4074942309855069,6.712521066608075e-05,90,0.5083492348011097,0.4074942309855069
demeaned,arbequina,summer,sum_cwb,100,-0.21001460696243146,0.03597665521776232,-0.4043893363260822,7.71833354893747e-05,90,0.21001460696243146,0.4043893363260822
demeaned_nodana,min500ha,summer,sum_precip,144,-0.2334009048008978,0.0048717484171857065,-0.4001832164086129,3.4370946860578232e-06,126,0.2334009048008978,0.4001832164086129
raw,arbequina,summer,days_vpd_gt2,100,-0.4875851584902166,2.674670366387918e-07,-0.3994343176991682,9.617568828701341e-05,90,0.4875851584902166,0.3994343176991682
demeaned_nodana,arbequina,maturation,sum_et0,80,-0.3036360641420237,0.006180961312142267,-0.3990129698189692,0.0006226263780625702,70,0.3036360641420237,0.3990129698189692
demeaned_nodana,arbequina,spring,ratio_p_et0,80,-0.4573874867436237,1.9960730888475263e-05,-0.3957328765368777,0.0006966829803210641,70,0.4573874867436237,0.3957328765368777
raw,arbequina,summer,mean_vpd,100,-0.4923258550007997,1.9646585725286625e-07,-0.39561278857359594,0.00011369226573347504,90,0.4923258550007997,0.39561278857359594
demeaned_nodana,arbequina,fruit_dev,mean_tmax,80,-0.41668614217715116,0.00012069449239750721,-0.39539041446045275,0.0007048590861963768,70,0.41668614217715116,0.39539041446045275
demeaned_nodana,min500ha,agro_year,sum_et0,144,-0.30084654954377543,0.000248354739441752,-0.39378688123504685,5.0690683639028685e-06,126,0.30084654954377543,0.39378688123504685
raw,arbequina,agro_year,mean_vpd,100,-0.4078423491744918,2.5335025707497438e-05,-0.3934757934942308,0.00012473317346800689,90,0.4078423491744918,0.3934757934942308
demeaned_nodana,all_olive,maturation,sum_et0,284,-0.303491808815825,1.8331536250285634e-07,-0.3922038706985169,1.5171900591979908e-10,248,0.303491808815825,0.3922038706985169
demeaned_nodana,min500ha,agro_year,mean_vpd,144,-0.09825052082843104,0.24137067704271142,-0.3913400804323428,5.8688468763551014e-06,126,0.09825052082843104,0.3913400804323428
demeaned_nodana,arbequina,set_to_dev,ratio_p_et0,80,0.05352045778865068,0.6372796877870262,-0.39130069655857763,0.0008094639035479127,70,0.05352045778865068,0.39130069655857763
demeaned_nodana,arbequina,agro_year,sum_et0,80,-0.49197940779191335,3.5731689259509272e-06,-0.39126216590621243,0.0008105130716295706,70,0.49197940779191335,0.39126216590621243
raw,arbequina,calendar_year,days_vpd_gt2,100,-0.47862451520302995,4.732271855410858e-07,-0.3892479205605831,0.00014955900255152676,90,0.47862451520302995,0.3892479205605831
demeaned_nodana,all_olive,calendar_year,mean_vpd,284,-0.3257746688158789,1.9107804868803446e-08,-0.38888894381384165,2.2271943893799196e-10,248,0.3257746688158789,0.38888894381384165
demeaned_nodana,min500ha,set_to_dev,mean_vpd,144,-0.383981314139587,2.0237332529220785e-06,-0.38636430184960385,7.877416885259277e-06,126,0.383981314139587,0.38636430184960385
raw,arbequina,set_to_dev,days_vpd_gt2,100,-0.48893657115583,2.4506534304957425e-07,-0.3841216220146329,0.00018577142166945285,90,0.48893657115583,0.3841216220146329
raw,arbequina,agro_year,days_vpd_gt2,100,-0.47518151954005106,5.867109168518886e-07,-0.3834414873017263,0.0001911423570034822,90,0.47518151954005106,0.3834414873017263
demeaned,all_olive,agro_year,mean_vpd,354,-0.19801625662456707,0.0001770664111469746,-0.3819631506883803,1.7409410347155498e-12,318,0.19801625662456707,0.3819631506883803
demeaned_nodana,min500ha,summer,mean_vpd,144,-0.36406962896667655,7.2680367820497525e-06,-0.3811428173742337,1.067358913610753e-05,126,0.36406962896667655,0.3811428173742337
raw,arbequina,bloom_to_set,days_vpd_gt2,100,-0.40021414348331796,3.6971789352676256e-05,-0.3811345715969921,0.0002104462711646324,90,0.40021414348331796,0.3811345715969921
demeaned,all_olive,winter_recharge,sum_et0,354,-0.2706032257713787,2.3392256957858782e-07,-0.3810686523968349,1.9795857882709586e-12,318,0.2706032257713787,0.3810686523968349
demeaned,min500ha,summer,sum_precip,180,-0.25892602231658807,0.00044860889294599343,-0.3794931089300648,6.347321085699866e-07,162,0.25892602231658807,0.3794931089300648
raw,min500ha,summer,mean_vpd,180,-0.45010904169761323,2.3069892571327645e-10,-0.3776765396161451,7.249437028394688e-07,162,0.45010904169761323,0.3776765396161451
raw,min500ha,summer,sum_precip,180,-0.3067689945262976,2.8079898099026984e-05,-0.37664420197667287,7.815325934002732e-07,162,0.3067689945262976,0.37664420197667287
demeaned_nodana,all_olive,fruit_dev,mean_vpd,284,-0.33170665617993744,1.0140367844125857e-08,-0.3756509012229058,9.89154164186242e-10,248,0.33170665617993744,0.3756509012229058
raw,arbequina,spring,days_vpd_gt2,100,-0.3937556293219717,5.055362699385259e-05,-0.37563128549702685,0.0002639861811973495,90,0.3937556293219717,0.37563128549702685
demeaned,arbequina,set_to_dev,sum_cwb,100,-0.15438587662110537,0.12511348837257186,-0.3743029422684534,0.00027866500857263304,90,0.15438587662110537,0.3743029422684534
raw,arbequina,bloom_to_set,sum_precip,100,-0.2985818598266821,0.0025493040288642036,-0.37291213261231093,0.00029483666885244677,90,0.2985818598266821,0.37291213261231093
raw,arbequina,summer,mean_tmax,100,-0.4481565529084004,2.9300463958218284e-06,-0.37071268755675396,0.0003221821243398702,90,0.4481565529084004,0.37071268755675396
demeaned,min500ha,set_to_dev,sum_precip,180,-0.24714370613474226,0.0008236577709378179,-0.3703060734029966,1.2328557052033222e-06,162,0.24714370613474226,0.3703060734029966
demeaned_nodana,min500ha,spring,sum_precip,144,-0.3992293009425889,7.17074202860418e-07,-0.36907013709459674,2.1125941143193626e-05,126,0.3992293009425889,0.36907013709459674
raw,arbequina,set_to_dev,mean_vpd,100,-0.48503102816229465,3.1522663553682203e-07,-0.36868584089765316,0.0003494279620886772,90,0.48503102816229465,0.36868584089765316
demeaned,arbequina,maturation,mean_tmax,100,-0.218772105619653,0.028758682871434453,-0.36847138742081115,0.00035243134219374215,90,0.218772105619653,0.36847138742081115
raw,arbequina,calendar_year,sum_precip,100,-0.20515118291981102,0.040603919268306816,-0.3679099537633097,0.0003604068314055372,90,0.20515118291981102,0.3679099537633097
demeaned,all_olive,calendar_year,mean_tmax,354,-0.29582639114976345,1.3971094677184046e-08,-0.3678868546927229,1.256668415781369e-11,318,0.29582639114976345,0.3678868546927229
demeaned,arbequina,fruit_set,sum_precip,100,-0.32744926659912316,0.0008825856479317736,-0.3647469347292769,0.0004085235961901353,90,0.32744926659912316,0.3647469347292769
raw,arbequina,fruit_dev,days_vpd_gt2,100,-0.4903984199895281,2.2284600918885641e-07,-0.3646012630617036,0.0004108755029784356,90,0.4903984199895281,0.3646012630617036
demeaned_nodana,arbequina,maturation,mean_vpd,80,-0.3684258129657302,0.0007722662221932841,-0.36455438220663916,0.001917721603903998,70,0.3684258129657302,0.36455438220663916
raw,arbequina,fruit_set,days_vpd_gt2,100,-0.4001575489674431,3.707433908755299e-05,-0.3624807665183421,0.000446548638056169,90,0.4001575489674431,0.3624807665183421
demeaned_nodana,all_olive,agro_year,mean_tmax,284,-0.15640390359886255,0.008280581242591949,-0.36206463712797915,4.267484188854422e-09,248,0.15640390359886255,0.36206463712797915
raw,arbequina,prev_summer,mean_vpd,90,-0.43908684771604833,1.4957117837301078e-05,-0.36054446743186674,0.0004815818281787147,90,0.43908684771604833,0.36054446743186674
demeaned,min500ha,calendar_year,mean_tmax,180,-0.22175770526878916,0.00277332974935768,-0.3601646647849351,2.506332606699799e-06,162,0.22175770526878916,0.3601646647849351
