cohort,comarca,year,row_idx,yield_tha,lag_yield,tmax_preflower_mean,tmax_flowering_mean,tmax_pit_mean
morruda,Baix Ebre,2016,90,1.3,0.886,18.858299801081824,23.47601120644495,30.17462887477495
morruda,Baix Ebre,2017,91,1.275,1.3,20.0714251497511,24.42084515908453,29.22204880984267
morruda,Baix Ebre,2018,92,1.069,1.275,19.610016320562515,22.668192573853354,30.401725958989818
morruda,Baix Ebre,2019,93,1.825,1.069,19.683969531120393,24.013144353895534,30.72797121009612
morruda,Baix Ebre,2020,94,1.556,1.825,18.956842056761324,22.942289898915366,29.425294100957533
morruda,Baix Ebre,2021,95,1.714,1.556,19.5493192474261,23.862929806202647,28.547142768342795
morruda,Baix Ebre,2022,96,0.613,1.714,21.43812517635803,25.86650183438063,31.489984817928676
morruda,Baix Ebre,2023,97,2.052,0.613,20.767411242802023,22.919685414254584,29.815894067969435
morruda,Baix Ebre,2024,98,0.528,2.052,19.112441679341245,21.70326378860104,28.801132560715978
morruda,Montsià,2016,99,1.3,0.886,18.86255836823795,23.229749162331778,30.098675436669136
morruda,Montsià,2017,100,1.275,1.3,20.523258605815695,24.48639389427233,28.979916872511144
morruda,Montsià,2018,101,0.761,1.275,20.075949544210694,23.12567663944346,30.045602982930163
morruda,Montsià,2019,102,1.155,0.761,19.466938452306938,23.879360522692185,30.403419647323496
morruda,Montsià,2020,103,1.636,1.155,19.084444384239024,23.818658607934406,29.187195020974777
morruda,Montsià,2021,104,1.539,1.636,18.795261722859788,23.174061594127803,28.82157239315487
morruda,Montsià,2022,105,0.574,1.539,20.50293609596897,26.056954268237188,30.925739751356524
morruda,Montsià,2023,106,2.158,0.574,20.853683102137325,23.45636085594596,29.423960082982813
morruda,Montsià,2024,107,0.24,2.158,19.33710968881578,21.855885480249086,28.63655470561217
