cohort,comarca,year,row_idx,yield_tha,lag_yield,tmin_preflower_mean,tmin_flowering_mean,tmin_pit_mean
morruda,Baix Ebre,2016,90,1.3,0.886,10.159581140398558,14.298584935251961,19.78536310116167
morruda,Baix Ebre,2017,91,1.275,1.3,9.714265219974205,14.618558809452344,20.215413417469946
morruda,Baix Ebre,2018,92,1.069,1.275,10.013075550466151,14.608643762592951,20.18051654051426
morruda,Baix Ebre,2019,93,1.825,1.069,9.824286955821574,13.52303076421613,20.26923193719173
morruda,Baix Ebre,2020,94,1.556,1.825,10.196152719865688,14.385463393341382,19.66389793275602
morruda,Baix Ebre,2021,95,1.714,1.556,10.368585661069629,15.426977669832828,19.19917742259033
morruda,Baix Ebre,2022,96,0.613,1.714,11.528699588686816,15.455991415548024,20.776692109780463
morruda,Baix Ebre,2023,97,2.052,0.613,11.032508608419278,12.613764880072155,20.93785779774249
morruda,Baix Ebre,2024,98,0.528,2.052,9.276097439060505,13.161593668310761,19.996932832350026
morruda,Montsià,2016,99,1.3,0.886,9.405547992097604,14.321415419173835,19.78860289265035
morruda,Montsià,2017,100,1.275,1.3,9.727905117305557,14.259149327543422,19.9527644059865
morruda,Montsià,2018,101,0.761,1.275,10.035907336332142,14.131979935411305,20.185107304869387
morruda,Montsià,2019,102,1.155,0.761,9.471609295869516,13.046126701735108,20.53687610489412
morruda,Montsià,2020,103,1.636,1.155,10.294188736348795,13.965793414896282,19.449947185037477
morruda,Montsià,2021,104,1.539,1.636,10.101082816786354,14.778725242896893,19.468655397983024
morruda,Montsià,2022,105,0.574,1.539,11.010897486783602,15.581931563977184,20.470735814555198
morruda,Montsià,2023,106,2.158,0.574,10.617038684716295,12.577859969763116,20.88465998922423
morruda,Montsià,2024,107,0.24,2.158,9.05127838033048,13.238048923063477,20.112137584007623
