year,comarca,seca_ha,yield_tha,lag_yield,cohort
2016,Baix Ebre,1133.0,0.2763333333333331,-0.736777777777778,morruda
2017,Baix Ebre,1183.0,0.09233333333333338,0.29022222222222194,morruda
2018,Baix Ebre,1214.0,-1.0826666666666667,0.10622222222222222,morruda
2019,Baix Ebre,1325.0,0.6263333333333332,-1.0687777777777778,morruda
2020,Baix Ebre,1375.0,0.2333333333333334,0.640222222222222,morruda
2021,Baix Ebre,1385.0,-0.003666666666666707,0.24722222222222223,morruda
2022,Baix Ebre,1393.0,-1.2986666666666666,0.010222222222222133,morruda
2023,Baix Ebre,1414.0,1.7823333333333333,-1.2847777777777778,morruda
2024,Baix Ebre,1512.0,-0.6256666666666668,1.7962222222222222,morruda
2016,Montsià,872.0,0.18088888888888865,-0.8861111111111108,morruda
2017,Montsià,912.0,0.830888888888889,0.14088888888888906,morruda
2018,Montsià,949.0,-0.5611111111111113,0.7908888888888894,morruda
2019,Montsià,998.0,0.7808888888888887,-0.6011111111111109,morruda
2020,Montsià,1034.0,0.07588888888888867,0.7408888888888892,morruda
2021,Montsià,1087.0,0.14088888888888862,0.03588888888888908,morruda
2022,Montsià,1192.0,-1.4641111111111111,0.10088888888888903,morruda
2023,Montsià,1149.0,1.221888888888889,-1.5041111111111107,morruda
2024,Montsià,1211.0,-1.2061111111111111,1.1818888888888894,morruda
