cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
morruda,Baix Ebre,2016,261,-0.0257777777777776,-0.4795555555555554,2016,0
morruda,Baix Ebre,2017,262,-0.0507777777777778,-0.0655555555555553,2017,1
morruda,Baix Ebre,2019,264,0.4992222222222222,-0.2965555555555554,2019,2
morruda,Baix Ebre,2020,265,0.2302222222222223,0.4594444444444445,2020,3
morruda,Baix Ebre,2021,266,0.3882222222222222,0.1904444444444446,2021,4
morruda,Baix Ebre,2022,267,-0.7127777777777777,0.3484444444444445,2022,5
morruda,Baix Ebre,2023,268,0.7262222222222223,-0.7525555555555554,2023,6
morruda,Baix Ebre,2024,269,-0.7977777777777777,0.6864444444444446,2024,7
morruda,Montsià,2016,270,0.1180000000000001,-0.3677777777777776,2016,0
morruda,Montsià,2017,271,0.0929999999999999,0.0462222222222223,2017,1
morruda,Montsià,2019,273,-0.0269999999999999,-0.4927777777777776,2019,2
morruda,Montsià,2020,274,0.4539999999999999,-0.0987777777777776,2020,3
morruda,Montsià,2021,275,0.357,0.3822222222222222,2021,4
morruda,Montsià,2022,276,-0.608,0.2852222222222222,2022,5
morruda,Montsià,2023,277,0.976,-0.6797777777777777,2023,6
morruda,Montsià,2024,278,-0.942,0.9042222222222224,2024,7
