,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.077,0.149,-0.314,0.169,0.004,0.003,920.0,3676.0,1.02
beta0,-0.006,0.078,-0.137,0.122,0.001,0.003,3040.0,4122.0,1.1
beta1,-0.003,0.057,-0.102,0.08,0.005,0.001,139.0,3660.0,1.03
beta_coefs[0],-0.006,0.078,-0.137,0.122,0.001,0.003,3040.0,4122.0,1.1
beta_coefs[1],-0.003,0.057,-0.102,0.08,0.005,0.001,139.0,3660.0,1.03
beta_coefs[2],0.012,0.062,-0.088,0.1,0.01,0.001,36.0,1128.0,1.07
beta_coefs[3],0.061,0.063,-0.037,0.159,0.01,0.001,41.0,435.0,1.06
beta_coefs[4],0.138,0.102,-0.029,0.303,0.002,0.002,1180.0,4509.0,1.02
lag_coef,-0.342,0.267,-0.787,0.083,0.016,0.004,284.0,3138.0,1.02
rw2_innovations[0],0.012,0.088,-0.117,0.171,0.001,0.002,4586.0,3017.0,1.12
rw2_innovations[1],0.035,0.087,-0.076,0.196,0.002,0.002,2424.0,3387.0,1.03
rw2_innovations[2],0.027,0.094,-0.107,0.195,0.002,0.002,4213.0,3277.0,1.07
sigma,0.216,0.072,0.108,0.307,0.003,0.002,237.0,2040.0,1.02
sigma_smooth,0.074,0.061,0.001,0.16,0.01,0.001,17.0,12.0,1.16
sigma_year,0.399,0.162,0.185,0.667,0.023,0.003,38.0,1479.0,1.07
year_raw[0],0.316,0.625,-0.769,1.236,0.067,0.008,88.0,4538.0,1.03
year_raw[1],0.372,0.522,-0.499,1.234,0.008,0.025,3763.0,4166.0,1.09
year_raw[2],-0.961,0.712,-2.06,0.144,0.094,0.009,62.0,3809.0,1.04
year_raw[3],0.263,0.636,-0.864,1.137,0.079,0.009,67.0,4093.0,1.04
year_raw[4],1.195,0.744,-0.047,2.395,0.04,0.012,356.0,3443.0,1.02
year_raw[5],0.269,0.77,-0.926,1.569,0.061,0.011,174.0,4407.0,1.02
year_raw[6],-0.494,0.808,-1.568,1.166,0.238,0.184,17.0,43.0,1.16
year_raw[7],-0.975,0.644,-2.002,0.13,0.011,0.033,3745.0,3251.0,1.09
year_re[2016],0.116,0.244,-0.303,0.5,0.004,0.009,3323.0,4723.0,1.04
year_re[2017],0.132,0.199,-0.193,0.464,0.003,0.01,3701.0,5107.0,1.09
year_re[2018],-0.342,0.255,-0.765,0.07,0.004,0.013,3602.0,3984.0,1.1
year_re[2019],0.084,0.241,-0.326,0.454,0.005,0.004,1761.0,4476.0,1.01
year_re[2020],0.47,0.32,-0.037,0.965,0.038,0.004,79.0,3246.0,1.04
year_re[2021],0.103,0.311,-0.384,0.635,0.012,0.005,395.0,4766.0,1.01
year_re[2022],-0.219,0.288,-0.617,0.289,0.066,0.033,22.0,63.0,1.12
year_re[2024],-0.386,0.279,-0.843,0.051,0.017,0.003,403.0,3802.0,1.02
