,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.001,0.151,-0.246,0.242,0.003,0.002,3261.0,3488.0,1.0
beta0,-0.027,0.076,-0.16,0.09,0.001,0.001,3270.0,4147.0,1.0
beta1,0.006,0.056,-0.086,0.097,0.001,0.001,2997.0,3633.0,1.0
beta_coefs[0],-0.027,0.076,-0.16,0.09,0.001,0.001,3270.0,4147.0,1.0
beta_coefs[1],0.006,0.056,-0.086,0.097,0.001,0.001,2997.0,3633.0,1.0
beta_coefs[2],0.034,0.053,-0.052,0.12,0.001,0.001,4836.0,5655.0,1.0
beta_coefs[3],0.066,0.06,-0.037,0.158,0.001,0.001,6095.0,5142.0,1.0
beta_coefs[4],0.113,0.094,-0.039,0.262,0.001,0.001,5330.0,5072.0,1.0
lag_coef,-0.462,0.266,-0.901,-0.029,0.005,0.003,2657.0,4075.0,1.0
rw2_innovations[0],-0.005,0.081,-0.123,0.132,0.001,0.003,4743.0,3140.0,1.0
rw2_innovations[1],0.004,0.071,-0.104,0.122,0.001,0.002,5058.0,3327.0,1.0
rw2_innovations[2],0.015,0.086,-0.105,0.161,0.001,0.003,5119.0,3261.0,1.0
sigma,0.213,0.07,0.114,0.311,0.002,0.002,1649.0,2323.0,1.0
sigma_smooth,0.069,0.053,0.001,0.143,0.002,0.001,1006.0,1609.0,1.0
sigma_year,0.439,0.159,0.199,0.703,0.004,0.002,1604.0,1942.0,1.0
year_raw[0],0.111,0.615,-0.906,1.088,0.009,0.009,4690.0,4549.0,1.0
year_raw[1],0.151,0.508,-0.661,0.981,0.009,0.007,3460.0,4405.0,1.0
year_raw[2],-1.16,0.7,-2.287,-0.04,0.011,0.009,4233.0,4873.0,1.0
year_raw[3],-0.014,0.61,-0.976,0.996,0.01,0.008,3780.0,4529.0,1.0
year_raw[4],1.035,0.73,-0.148,2.195,0.011,0.011,4169.0,3962.0,1.0
year_raw[5],0.307,0.758,-0.927,1.546,0.011,0.009,4585.0,4670.0,1.0
year_raw[6],-0.613,0.616,-1.589,0.399,0.01,0.008,4071.0,4528.0,1.0
year_raw[7],1.089,0.669,0.024,2.215,0.011,0.008,3495.0,4360.0,1.0
year_raw[8],-0.912,0.657,-1.977,0.154,0.011,0.009,3713.0,3837.0,1.0
year_re[2016],0.053,0.256,-0.361,0.466,0.004,0.003,4429.0,5377.0,1.0
year_re[2017],0.057,0.207,-0.266,0.412,0.003,0.002,3562.0,4668.0,1.0
year_re[2018],-0.466,0.261,-0.881,-0.027,0.004,0.003,4245.0,3782.0,1.0
year_re[2019],-0.009,0.254,-0.425,0.395,0.004,0.003,3624.0,3843.0,1.0
year_re[2020],0.441,0.317,-0.057,0.96,0.006,0.004,2911.0,4489.0,1.0
year_re[2021],0.112,0.318,-0.411,0.627,0.004,0.004,5120.0,4785.0,1.0
year_re[2022],-0.267,0.265,-0.706,0.155,0.004,0.003,3532.0,5029.0,1.0
year_re[2023],0.473,0.306,-0.046,0.943,0.006,0.003,2481.0,4479.0,1.0
year_re[2024],-0.405,0.3,-0.905,0.065,0.006,0.003,2633.0,4530.0,1.0
