cohort,comarca,year,row_idx,yield_tha,lag_yield,tmax_preflower_mean,tmax_flowering_mean,tmax_pit_mean
arbequina,Alt Camp,2016,0,1.6,2.442,20.22357356740464,25.89936160347876,28.907937404297588
arbequina,Alt Camp,2017,1,1.642,1.6,21.297252095173576,24.269800939538168,29.283364770011232
arbequina,Alt Camp,2018,2,0.603,1.642,19.28419820385138,23.725233054052087,29.86273132409326
arbequina,Alt Camp,2019,3,2.05,0.603,20.408912120873556,24.695024998129195,29.691398076466562
arbequina,Alt Camp,2020,4,1.022,2.05,20.278275095001867,21.242336520005793,29.971070135225602
arbequina,Alt Camp,2021,5,1.64,1.022,20.402210782503182,27.94578722783673,28.733183992166076
arbequina,Alt Camp,2022,6,0.327,1.64,22.490601390892042,26.09817435906833,30.516216158550034
arbequina,Alt Camp,2023,7,0.529,0.327,20.025104676553674,21.547526590598494,28.777079469414232
arbequina,Alt Camp,2024,8,0.757,0.529,19.09040052341162,22.53978960083797,30.68973846137647
arbequina,Alt Penedès,2016,9,0.7,1.3,19.20075387547597,24.750807118376983,29.225036019499118
arbequina,Alt Penedès,2017,10,1.56,0.7,20.85944575516194,25.11260380449051,29.270033932727276
arbequina,Alt Penedès,2018,11,0.8,1.56,19.861207108245654,22.77540892669859,30.436106609722092
arbequina,Alt Penedès,2019,12,0.91,0.8,19.393448152324993,24.168886609477273,29.69781559575768
arbequina,Alt Penedès,2020,13,0.75,0.91,19.60228558823426,23.345151533399875,29.181403205188456
arbequina,Alt Penedès,2021,14,1.0,0.75,19.744056892713505,27.35028039757795,28.878711648609062
arbequina,Alt Penedès,2022,15,0.4,1.0,21.98025026969701,25.90937165304233,31.460179460096164
arbequina,Alt Penedès,2023,16,0.25,0.4,20.451907418658426,20.625654950678012,29.655826809185044
arbequina,Alt Penedès,2024,17,0.478,0.25,18.863497544334678,22.11274716276037,30.232285520191887
arbequina,Baix Camp,2016,18,1.6,2.442,18.563267925253943,23.909492094059214,28.622161381191493
arbequina,Baix Camp,2017,19,1.642,1.6,19.8716855422562,23.5325919412171,28.313071979210545
arbequina,Baix Camp,2018,20,0.452,1.642,19.70605106437987,22.107504415064533,29.672230210644837
arbequina,Baix Camp,2019,21,2.15,0.452,18.564639204624356,22.38107167419692,29.098554770790386
arbequina,Baix Camp,2020,22,1.657,2.15,18.949189474072977,22.89222014513649,28.951410480582954
arbequina,Baix Camp,2021,23,1.72,1.657,19.566682607858912,25.954702528167594,27.891168862363177
arbequina,Baix Camp,2022,24,0.533,1.72,21.563451092889537,25.34708166094741,29.61351202355007
arbequina,Baix Camp,2023,25,1.665,0.533,19.700937227944813,20.06898090738725,28.686865660801182
arbequina,Baix Camp,2024,26,0.788,1.665,18.087157780077543,22.3173461318016,29.14058456415139
arbequina,Baix Penedès,2016,27,1.6,2.442,17.911962750430988,21.78787443578718,27.812160835522835
arbequina,Baix Penedès,2017,28,1.942,1.6,18.058994101228897,23.82653638181737,27.74053844918166
arbequina,Baix Penedès,2018,29,0.891,1.942,18.10998354745374,21.72534030713786,28.294547708655166
arbequina,Baix Penedès,2019,30,2.085,0.891,17.68525852662776,21.502251191828776,28.555028223236413
arbequina,Baix Penedès,2020,31,1.817,2.085,18.16438275819802,22.225163259353447,27.66323535860403
arbequina,Baix Penedès,2021,32,1.668,1.817,17.366570829463576,21.433651019763264,27.426238077385683
arbequina,Baix Penedès,2022,33,0.533,1.668,18.810897883237654,25.150721130840736,29.024565348383938
arbequina,Baix Penedès,2023,34,2.283,0.533,19.198896701990286,21.045373911339926,27.99320393463789
