,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.446,0.036,0.386,0.503,0.001,0.001,2999.0,2049.0,1.0
Intercept,6.908,1.328,4.831,9.041,0.028,0.03,2264.0,2253.0,1.0
tmax_preflower_mean,-0.086,0.055,-0.173,0.006,0.001,0.001,2599.0,2722.0,1.0
tmax_flowering_mean,0.023,0.027,-0.022,0.066,0.0,0.0,3394.0,3255.0,1.0
tmax_pit_mean,-0.15,0.047,-0.229,-0.075,0.001,0.001,2296.0,2270.0,1.0
lag_yield,-0.078,0.1,-0.245,0.08,0.002,0.002,2698.0,2536.0,1.0
1|comarca_sigma,0.137,0.089,0.001,0.249,0.003,0.002,1088.0,2149.0,1.01
1|comarca[Alt Camp],-0.012,0.104,-0.18,0.159,0.002,0.002,3444.0,2785.0,1.0
1|comarca[Alt Penedès],-0.183,0.16,-0.424,0.037,0.004,0.003,1428.0,2339.0,1.01
1|comarca[Baix Camp],0.017,0.111,-0.169,0.191,0.002,0.003,3055.0,1916.0,1.0
1|comarca[Baix Penedès],0.007,0.124,-0.186,0.22,0.003,0.004,2656.0,1745.0,1.01
1|comarca[Conca de Barberà],-0.017,0.104,-0.191,0.15,0.002,0.002,2975.0,2055.0,1.0
1|comarca[Garrigues],0.008,0.107,-0.173,0.184,0.002,0.002,3341.0,2572.0,1.0
1|comarca[Priorat],-0.02,0.103,-0.196,0.153,0.002,0.002,3455.0,2625.0,1.0
1|comarca[Segrià],0.059,0.121,-0.128,0.265,0.003,0.003,2491.0,2085.0,1.0
1|comarca[Tarragonès],0.09,0.124,-0.074,0.305,0.003,0.003,2175.0,1808.0,1.0
1|comarca[Urgell],0.054,0.117,-0.125,0.254,0.003,0.003,2464.0,1960.0,1.0
