cohort,comarca,year,row_idx,yield_tha,lag_yield,tmin_preflower_mean,tmin_flowering_mean,tmin_pit_mean
arbequina,Alt Camp,2016,0,1.6,2.442,10.320315801331587,15.472867922181702,18.027897250997913
arbequina,Alt Camp,2017,1,1.642,1.6,10.199289141629482,14.555529594941685,19.603680708296835
arbequina,Alt Camp,2018,2,0.603,1.642,11.175706455745873,14.709781468291748,19.78485303936839
arbequina,Alt Camp,2019,3,2.05,0.603,10.093983735411863,14.480815411527697,19.012739983501305
arbequina,Alt Camp,2020,4,1.022,2.05,10.909628752716705,13.685806152847135,19.20710675825838
arbequina,Alt Camp,2021,5,1.64,1.022,11.425129523037961,17.32928763399003,18.46730855327818
arbequina,Alt Camp,2022,6,0.327,1.64,11.646964842589258,15.70253092327809,19.70190903746872
arbequina,Alt Camp,2023,7,0.529,0.327,10.163279776415099,13.198846815515981,19.57710280700813
arbequina,Alt Camp,2024,8,0.757,0.529,10.148612983877298,14.693821364243215,19.907811418927277
arbequina,Alt Penedès,2016,9,0.7,1.3,10.162908516911424,14.783736552219981,18.912894097828996
arbequina,Alt Penedès,2017,10,1.56,0.7,9.99235299738047,15.274967865293936,20.049527844819792
arbequina,Alt Penedès,2018,11,0.8,1.56,11.265560278153819,15.006553928652528,19.897368185825137
arbequina,Alt Penedès,2019,12,0.91,0.8,9.95742263806542,14.495173607265604,19.576230007455788
arbequina,Alt Penedès,2020,13,0.75,0.91,10.914382130388965,14.815541380973718,19.353268281340707
arbequina,Alt Penedès,2021,14,1.0,0.75,11.40086540450944,16.554813954469644,18.91409434923475
arbequina,Alt Penedès,2022,15,0.4,1.0,11.671133206348197,15.159807499076322,20.05155877354667
arbequina,Alt Penedès,2023,16,0.25,0.4,10.603878728701627,12.880875665621858,20.54577741965797
arbequina,Alt Penedès,2024,17,0.478,0.25,9.538710952006209,14.151592521164241,19.96968154111497
arbequina,Baix Camp,2016,18,1.6,2.442,10.12264205506892,15.398218234853104,19.533449276724806
arbequina,Baix Camp,2017,19,1.642,1.6,10.362468551865211,15.682785263802606,20.27166387908715
arbequina,Baix Camp,2018,20,0.452,1.642,11.43249863890835,15.504884431157574,20.47827957856265
arbequina,Baix Camp,2019,21,2.15,0.452,9.666881590958358,14.0627637465598,20.191245407573966
arbequina,Baix Camp,2020,22,1.657,2.15,11.477229183275192,15.240398683850021,19.84047926801762
arbequina,Baix Camp,2021,23,1.72,1.657,11.239786130615547,17.130153293097017,19.621154926091073
arbequina,Baix Camp,2022,24,0.533,1.72,12.072972491566755,16.326332306036242,20.898673167304
arbequina,Baix Camp,2023,25,1.665,0.533,11.094562460702775,13.193854268481363,21.23008865630107
arbequina,Baix Camp,2024,26,0.788,1.665,9.769990474590587,14.17487380819903,20.686995883927604
arbequina,Baix Penedès,2016,27,1.6,2.442,10.527965911533355,14.850822713806991,20.714902399491436
