,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.44,0.039,0.378,0.503,0.001,0.001,1261.0,1331.0,1.0
Intercept,7.3,3.039,2.476,12.371,0.112,0.079,788.0,825.0,1.0
tmin_preflower_mean,-0.127,0.073,-0.242,-0.001,0.001,0.001,2547.0,2383.0,1.0
tmin_flowering_mean,-0.038,0.055,-0.131,0.046,0.001,0.001,1556.0,1712.0,1.0
tmin_pit_mean,-0.213,0.129,-0.43,-0.008,0.005,0.003,764.0,722.0,1.0
lag_yield,-0.095,0.136,-0.312,0.126,0.004,0.003,992.0,952.0,1.0
1|comarca_sigma,0.569,0.223,0.233,0.933,0.009,0.006,594.0,620.0,1.0
1|comarca[Alt Camp],-0.039,0.234,-0.417,0.334,0.007,0.005,1124.0,1548.0,1.0
1|comarca[Alt Penedès],-0.331,0.243,-0.735,0.044,0.007,0.006,1067.0,1418.0,1.0
1|comarca[Baix Camp],0.425,0.26,-0.038,0.822,0.008,0.005,1004.0,1294.0,1.0
1|comarca[Baix Penedès],0.812,0.34,0.251,1.389,0.012,0.007,799.0,805.0,1.0
1|comarca[Conca de Barberà],-0.087,0.256,-0.492,0.332,0.008,0.005,1148.0,1605.0,1.0
1|comarca[Garrigues],-0.416,0.261,-0.847,0.0,0.009,0.005,909.0,1300.0,1.0
1|comarca[Priorat],-0.137,0.233,-0.522,0.225,0.007,0.005,1084.0,1221.0,1.0
1|comarca[Segrià],-0.458,0.249,-0.865,-0.049,0.008,0.005,985.0,1337.0,1.0
1|comarca[Tarragonès],0.647,0.305,0.143,1.151,0.011,0.006,831.0,921.0,1.0
1|comarca[Urgell],-0.403,0.256,-0.804,0.033,0.008,0.005,978.0,1365.0,1.0
