cohort,comarca,year,row_idx,yield_tha,lag_yield,vpd_preflower_mean,vpd_flowering_mean,vpd_pit_mean
arbequina,Alt Camp,2016,0,1.6,2.442,1.3218334072233342,2.094543974142695,2.240454240376864
arbequina,Alt Camp,2017,1,1.642,1.6,1.512271539036702,1.611444573560772,2.164847015588345
arbequina,Alt Camp,2018,2,0.603,1.642,1.0546192715390759,1.5244922998605535,2.256730175620321
arbequina,Alt Camp,2019,3,2.05,0.603,1.4861330068835366,1.8043776723463119,2.4133350549063346
arbequina,Alt Camp,2020,4,1.022,2.05,1.2387042585895702,1.0734147482848304,2.5578240798297083
arbequina,Alt Camp,2021,5,1.64,1.022,1.3030679413161979,2.436812626399445,2.3243666690173646
arbequina,Alt Camp,2022,6,0.327,1.64,1.653321475645373,1.8591772392230261,2.5632915948543435
arbequina,Alt Camp,2023,7,0.529,0.327,1.30691086315893,1.0663441127302162,2.0543088860385947
arbequina,Alt Camp,2024,8,0.757,0.529,1.271948201243751,1.4259802088988147,2.7870605313137915
arbequina,Alt Penedès,2016,9,0.7,1.3,1.1360280965483147,1.7211734846949405,2.2042994428212266
arbequina,Alt Penedès,2017,10,1.56,0.7,1.3863490977340605,1.7708773885758653,2.0789783751466726
arbequina,Alt Penedès,2018,11,0.8,1.56,1.1409217291968083,1.195366555208668,2.4626278329513602
arbequina,Alt Penedès,2019,12,0.91,0.8,1.289031702725084,1.8333621171792884,2.256260596516201
arbequina,Alt Penedès,2020,13,0.75,0.91,1.1762043788943568,1.4694525928521291,2.217014673711078
arbequina,Alt Penedès,2021,14,1.0,0.75,1.2093317632300182,2.344431420032104,2.242797299788108
arbequina,Alt Penedès,2022,15,0.4,1.0,1.6700965326049952,1.9413512221570433,2.871418413062594
arbequina,Alt Penedès,2023,16,0.25,0.4,1.4171244128543807,1.1411688965572502,2.1322897330473034
arbequina,Alt Penedès,2024,17,0.478,0.25,1.2676348511982076,1.3114166523555566,2.5464893012995167
arbequina,Baix Camp,2016,18,1.6,2.442,1.1158315726464345,1.4870218515786,2.0460120510586357
arbequina,Baix Camp,2017,19,1.642,1.6,1.2674098654001578,1.4277864069118464,1.8032005671066653
arbequina,Baix Camp,2018,20,0.452,1.642,1.130222210638663,1.0285079269239474,2.2107968223101437
arbequina,Baix Camp,2019,21,2.15,0.452,1.139393706859329,1.4762913607251056,2.0982503500546956
arbequina,Baix Camp,2020,22,1.657,2.15,1.0191336773084694,1.30061346305316,2.2025733335117765
arbequina,Baix Camp,2021,23,1.72,1.657,1.171319863181228,1.9562978189081648,1.9410056659134254
arbequina,Baix Camp,2022,24,0.533,1.72,1.4749132590364566,1.707429093046733,2.1465185373266875
arbequina,Baix Camp,2023,25,1.665,0.533,1.2686682107783496,0.9803319249786167,1.8308219370980727
arbequina,Baix Camp,2024,26,0.788,1.665,1.149491765348272,1.4103647151928744,2.1523148764768227
arbequina,Baix Penedès,2016,27,1.6,2.442,1.0449544983501453,1.1618055738835793,1.7179081973367925
arbequina,Baix Penedès,2017,28,1.942,1.6,0.9595904190991607,1.4703554255044562,1.5905016019844882
arbequina,Baix Penedès,2018,29,0.891,1.942,0.9561960577956301,0.9627859397704652,1.6995366294371324
arbequina,Baix Penedès,2019,30,2.085,0.891,0.9550852769339696,1.1741537171507797,1.800292680855977
arbequina,Baix Penedès,2020,31,1.817,2.085,0.8351791806441452,1.1570526928526594,1.7064888102738307
arbequina,Baix Penedès,2021,32,1.668,1.817,0.8917916896577509,1.0217755081355637,1.6869773472576257
arbequina,Baix Penedès,2022,33,0.533,1.668,0.9911604042610835,1.6308106833541096,1.9502473310241335
arbequina,Baix Penedès,2023,34,2.283,0.533,1.058801436733969,1.2048186102841285,1.4793624760007864
arbequina,Baix Penedès,2024,35,1.14,2.283,0.9763490629864388,1.0598807058716582,1.5628445856409945
arbequina,Conca de Barberà,2016,36,1.6,2.442,1.4853948138405015,2.215518950853252,2.224409003817563
arbequina,Conca de Barberà,2017,37,1.642,1.6,1.5937103255222524,2.3828719384244472,2.340986203333746
arbequina,Conca de Barberà,2018,38,1.432,1.642,1.0771841622013099,2.0683895688208054,2.1383636630257885
arbequina,Conca de Barberà,2019,39,1.6,1.432,1.5830310624607784,2.492571987006944,2.2476836441118486
arbequina,Conca de Barberà,2020,40,1.045,1.6,1.2069430335642106,1.3773792298420608,2.5233186492329005
arbequina,Conca de Barberà,2021,41,1.314,1.045,1.6929478121484118,1.9727538814286827,2.3723237433442437
arbequina,Conca de Barberà,2022,42,0.338,1.314,1.8284480088180932,2.4765615228427995,2.6360350505447867
arbequina,Conca de Barberà,2023,43,0.696,0.338,1.3585002254827134,1.1991879504821559,2.2606727056612006
arbequina,Conca de Barberà,2024,44,0.679,0.696,1.369277997491386,1.6086986002076251,2.845448235931742
arbequina,Garrigues,2016,45,0.82,0.79,1.5952992277132039,2.548076438962979,3.1920135071294147
arbequina,Garrigues,2017,46,0.96,0.82,1.875926724621696,2.612971860752198,2.896251027287841
arbequina,Garrigues,2018,47,0.83,0.96,1.3953303332336657,1.5101417085123108,3.40873335583185
