,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.44,0.036,0.382,0.499,0.001,0.001,3770.0,2801.0,1.0
Intercept,2.687,0.409,1.995,3.328,0.008,0.007,2431.0,2053.0,1.0
vpd_preflower_mean,-0.635,0.298,-1.123,-0.14,0.005,0.005,3502.0,2587.0,1.0
vpd_flowering_mean,0.304,0.136,0.079,0.524,0.002,0.002,4115.0,2828.0,1.0
vpd_pit_mean,-0.449,0.137,-0.674,-0.23,0.003,0.003,2876.0,2043.0,1.0
lag_yield,-0.095,0.102,-0.262,0.069,0.002,0.002,2968.0,2561.0,1.0
1|comarca_sigma,0.139,0.087,0.0,0.255,0.002,0.002,1131.0,1521.0,1.01
1|comarca[Alt Camp],-0.007,0.103,-0.169,0.176,0.002,0.002,4169.0,3452.0,1.0
1|comarca[Alt Penedès],-0.202,0.165,-0.453,0.026,0.004,0.002,1429.0,3089.0,1.0
1|comarca[Baix Camp],0.027,0.109,-0.152,0.206,0.002,0.002,4208.0,3121.0,1.0
1|comarca[Baix Penedès],0.007,0.118,-0.182,0.209,0.002,0.003,3824.0,2692.0,1.0
1|comarca[Conca de Barberà],-0.001,0.102,-0.169,0.173,0.002,0.002,4208.0,2881.0,1.0
1|comarca[Garrigues],0.026,0.114,-0.158,0.219,0.002,0.002,3170.0,2488.0,1.0
1|comarca[Priorat],-0.021,0.103,-0.184,0.155,0.002,0.002,4049.0,3095.0,1.0
1|comarca[Segrià],0.048,0.122,-0.148,0.244,0.002,0.003,2715.0,2812.0,1.0
1|comarca[Tarragonès],0.069,0.118,-0.094,0.282,0.002,0.002,2771.0,2356.0,1.0
1|comarca[Urgell],0.044,0.119,-0.139,0.24,0.002,0.002,3246.0,2255.0,1.0
