,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.483,0.039,0.42,0.55,0.001,0.001,2272.0,2443.0,1.0
Intercept,1.072,0.344,0.502,1.633,0.007,0.005,2738.0,2331.0,1.0
wd_flowering_mean,-0.014,0.028,-0.06,0.03,0.0,0.0,3259.0,2964.0,1.0
wd_pit_mean,0.016,0.057,-0.081,0.106,0.001,0.001,2595.0,2987.0,1.0
lag_yield,0.034,0.12,-0.163,0.232,0.003,0.002,1462.0,1927.0,1.0
1|comarca_sigma,0.299,0.142,0.06,0.503,0.005,0.005,789.0,907.0,1.0
1|comarca[Alt Camp],0.045,0.169,-0.253,0.304,0.004,0.003,2258.0,2733.0,1.0
1|comarca[Alt Penedès],-0.216,0.18,-0.498,0.066,0.004,0.003,1722.0,2475.0,1.0
1|comarca[Baix Camp],0.19,0.174,-0.07,0.484,0.004,0.003,1640.0,2456.0,1.0
1|comarca[Baix Penedès],0.335,0.207,-0.008,0.654,0.006,0.003,1164.0,1573.0,1.0
1|comarca[Conca de Barberà],0.037,0.17,-0.249,0.302,0.004,0.003,2219.0,2951.0,1.0
1|comarca[Garrigues],-0.188,0.181,-0.499,0.084,0.005,0.003,1574.0,1926.0,1.0
1|comarca[Priorat],-0.061,0.168,-0.333,0.212,0.004,0.003,2167.0,1878.0,1.0
1|comarca[Segrià],-0.224,0.188,-0.512,0.089,0.005,0.003,1642.0,1961.0,1.0
1|comarca[Tarragonès],0.317,0.196,-0.012,0.609,0.005,0.003,1251.0,1975.0,1.0
1|comarca[Urgell],-0.189,0.183,-0.476,0.117,0.005,0.003,1701.0,2509.0,1.0
