cohort,comarca,year,row_idx,yield_tha,lag_yield,vpd_preflower_mean,vpd_flowering_mean,vpd_pit_mean
morruda,Baix Ebre,2016,90,1.3,0.886,1.2173285562886138,1.5940586367012606,2.561174327017897
morruda,Baix Ebre,2017,91,1.275,1.3,1.3027885057212152,1.6164437692164708,2.045846148529697
morruda,Baix Ebre,2018,92,1.069,1.275,1.3158373259508747,1.2908524832120523,2.4641549272669585
morruda,Baix Ebre,2019,93,1.825,1.069,1.429065745678654,1.732680180784716,2.58304848633636
morruda,Baix Ebre,2020,94,1.556,1.825,1.0756427921903482,1.4098520521585982,2.332509261064478
morruda,Baix Ebre,2021,95,1.714,1.556,1.3356484659203829,1.4940601689778195,2.181848677014697
morruda,Baix Ebre,2022,96,0.613,1.714,1.4437630114734457,1.9847962197421964,2.732759850476717
morruda,Baix Ebre,2023,97,2.052,0.613,1.4081441199908074,1.8316895093302565,2.1611713981618808
morruda,Baix Ebre,2024,98,0.528,2.052,1.33592690719513,1.3977122969879143,2.131434937039656
morruda,Montsià,2016,99,1.3,0.886,1.199721080064797,1.4741261236982068,2.5100924394338415
morruda,Montsià,2017,100,1.275,1.3,1.3125935778165614,1.6564384084723691,2.0233740654466157
morruda,Montsià,2018,101,0.761,1.275,1.3480738026901031,1.4320490189993844,2.3353992626296605
morruda,Montsià,2019,102,1.155,0.761,1.3588900882235633,1.802818764962423,2.415169408076908
morruda,Montsià,2020,103,1.636,1.155,1.0981284719480777,1.5339308208670572,2.276363134188779
morruda,Montsià,2021,104,1.539,1.636,1.2158517281715377,1.3742167639377008,2.1415280436138397
morruda,Montsià,2022,105,0.574,1.539,1.3231660485383925,2.0278542690263457,2.5672983905433657
morruda,Montsià,2023,106,2.158,0.574,1.4072744065247336,1.918123363074973,2.062308262715006
morruda,Montsià,2024,107,0.24,2.158,1.3157512876061794,1.4123388244712713,2.0209356923787825
