cohort,comarca,year,row_idx,yield_tha,lag_yield,wd_preflower_mean,wd_flowering_mean,wd_pit_mean
morruda,Baix Ebre,2016,261,-0.0257777777777776,-0.4795555555555554,-1.999434205700747,-4.293030555859961,-6.055496140971987
morruda,Baix Ebre,2017,262,-0.0507777777777778,-0.0655555555555553,-3.2370070013473384,-4.3607848178129345,-4.807409196234633
morruda,Baix Ebre,2018,263,-0.2567777777777777,-0.0905555555555555,-2.397613133571856,0.78605111475696,-4.3968732304635925
morruda,Baix Ebre,2019,264,0.4992222222222222,-0.2965555555555554,-3.580050848401261,-5.259560650716117,-5.9442791026124
morruda,Baix Ebre,2020,265,0.2302222222222223,0.4594444444444445,-0.22723330572316733,0.3737012562101659,-5.707416933165822
morruda,Baix Ebre,2021,266,0.3882222222222222,0.1904444444444446,-3.2300800091147055,-3.4820491598289323,-4.343822179872605
morruda,Baix Ebre,2022,267,-0.7127777777777777,0.3484444444444445,-2.807750828136012,-1.4887584916254366,-6.16507947566854
morruda,Baix Ebre,2023,268,0.7262222222222223,-0.7525555555555554,-3.5446503256554616,-4.9170484063582816,-4.454183039372349
morruda,Baix Ebre,2024,269,-0.7977777777777777,0.6864444444444446,-3.3030408266300118,-3.688515936313487,-5.419586455240097
morruda,Montsià,2016,270,0.1180000000000001,-0.3677777777777776,-2.763209573321288,-3.9908535171853323,-5.917747870189451
morruda,Montsià,2017,271,0.0929999999999999,0.0462222222222223,-2.9898280843336367,-3.9623458516981325,-5.238748807600691
morruda,Montsià,2018,272,-0.4209999999999999,0.0212222222222222,-2.4008816178361103,-1.221189799337233,-4.12738149344112
morruda,Montsià,2019,273,-0.0269999999999999,-0.4927777777777776,-3.3706554925638192,-4.651952369162243,-5.134902262519469
morruda,Montsià,2020,274,0.4539999999999999,-0.0987777777777776,-0.5018231785835485,-2.4151045279415624,-5.47802350819161
morruda,Montsià,2021,275,0.357,0.3822222222222222,-2.362991786391977,-2.8245568230021103,-4.854107417006599
morruda,Montsià,2022,276,-0.608,0.2852222222222222,-2.155267926458858,-4.316204935650111,-4.932590155417342
morruda,Montsià,2023,277,0.976,-0.6797777777777777,-3.565513630244858,-5.1317434105873065,-4.919567104524194
morruda,Montsià,2024,278,-0.942,0.9042222222222224,-2.7413718257071165,-3.282543357359901,-4.032098053379478
