year,comarca,seca_ha,yield_tha,lag_yield,cohort
2016,Alt Camp,1566.0,0.4700000000000002,1.1247777777777779,all_olive
2017,Alt Camp,1501.0,0.512,0.2827777777777778,all_olive
2018,Alt Camp,1513.0,-0.5269999999999999,0.3247777777777776,all_olive
2019,Alt Camp,1468.0,0.9199999999999999,-0.7142222222222223,all_olive
2020,Alt Camp,1416.0,-0.10799999999999987,0.7327777777777775,all_olive
2021,Alt Camp,1303.0,0.51,-0.2952222222222223,all_olive
2022,Alt Camp,1282.0,-0.8029999999999999,0.3227777777777776,all_olive
2023,Alt Camp,1219.0,-0.6009999999999999,-0.9902222222222223,all_olive
2024,Alt Camp,1309.0,-0.3729999999999999,-0.7882222222222223,all_olive
2016,Alt Empordà,2643.0,0.20266666666666655,-0.024666666666666615,all_olive
2017,Alt Empordà,2323.0,-0.03633333333333355,0.2653333333333334,all_olive
2018,Alt Empordà,2678.0,-0.1013333333333335,0.02633333333333332,all_olive
2019,Alt Empordà,2652.0,0.31966666666666654,-0.03866666666666663,all_olive
2020,Alt Empordà,2677.0,0.3916666666666664,0.3823333333333334,all_olive
2021,Alt Empordà,2171.0,-0.41133333333333355,0.45433333333333326,all_olive
2022,Alt Empordà,2035.0,-0.41133333333333355,-0.3486666666666667,all_olive
2023,Alt Empordà,1668.0,-0.43033333333333346,-0.3486666666666667,all_olive
2024,Alt Empordà,1620.0,0.47666666666666657,-0.3676666666666666,all_olive
2016,Alt Penedès,789.0,-0.06088888888888888,0.44777777777777783,all_olive
2017,Alt Penedès,785.0,0.7991111111111112,-0.15222222222222226,all_olive
2018,Alt Penedès,799.0,0.03911111111111121,0.7077777777777778,all_olive
2019,Alt Penedès,671.0,0.1491111111111112,-0.05222222222222217,all_olive
2020,Alt Penedès,654.0,-0.010888888888888837,0.05777777777777782,all_olive
2021,Alt Penedès,648.0,0.23911111111111116,-0.10222222222222221,all_olive
2022,Alt Penedès,624.0,-0.3608888888888888,0.14777777777777779,all_olive
2023,Alt Penedès,490.0,-0.5108888888888888,-0.4522222222222222,all_olive
2024,Alt Penedès,494.0,-0.28288888888888886,-0.6022222222222222,all_olive
2016,Anoia,576.0,-0.2531111111111111,-0.02777777777777779,all_olive
2017,Anoia,587.0,0.37688888888888894,-0.27777777777777773,all_olive
2018,Anoia,594.0,0.09688888888888891,0.3522222222222223,all_olive
2019,Anoia,533.0,0.09688888888888891,0.0722222222222223,all_olive
2020,Anoia,530.0,0.3168888888888889,0.0722222222222223,all_olive
2021,Anoia,530.0,0.29688888888888887,0.29222222222222227,all_olive
2022,Anoia,523.0,-0.2531111111111111,0.27222222222222225,all_olive
2023,Anoia,478.0,-0.45311111111111113,-0.27777777777777773,all_olive
2024,Anoia,457.0,-0.22511111111111115,-0.47777777777777775,all_olive
2016,Baix Camp,2337.0,0.2436666666666667,0.901888888888889,all_olive
2017,Baix Camp,2074.0,0.2856666666666665,0.05988888888888888,all_olive
2018,Baix Camp,2249.0,-0.9043333333333334,0.1018888888888887,all_olive
2019,Baix Camp,2395.0,0.7936666666666665,-1.0881111111111113,all_olive
2020,Baix Camp,2438.0,0.30066666666666664,0.6098888888888887,all_olive
2021,Baix Camp,2504.0,0.3636666666666666,0.11688888888888882,all_olive
2022,Baix Camp,2553.0,-0.8233333333333334,0.17988888888888876,all_olive
2023,Baix Camp,965.0,0.30866666666666664,-1.007111111111111,all_olive
2024,Baix Camp,1084.0,-0.5683333333333334,0.12488888888888883,all_olive
2016,Baix Ebre,19130.0,-0.025777777777777677,-0.4795555555555554,all_olive
2017,Baix Ebre,19304.0,-0.05077777777777781,-0.06555555555555537,all_olive
2018,Baix Ebre,19442.0,-0.25677777777777777,-0.0905555555555555,all_olive
2019,Baix Ebre,17400.0,0.49922222222222223,-0.29655555555555546,all_olive
2020,Baix Ebre,17447.0,0.23022222222222233,0.45944444444444454,all_olive
2021,Baix Ebre,17266.0,0.38822222222222225,0.19044444444444464,all_olive
2022,Baix Ebre,16809.0,-0.7127777777777777,0.34844444444444456,all_olive
2023,Baix Ebre,11092.0,0.7262222222222223,-0.7525555555555554,all_olive
2024,Baix Ebre,11390.0,-0.7977777777777777,0.6864444444444446,all_olive
2016,Baix Empordà,528.0,0.21444444444444444,-0.19699999999999995,all_olive
2017,Baix Empordà,588.0,-0.024555555555555664,0.30100000000000016,all_olive
2018,Baix Empordà,579.0,0.10044444444444434,0.062000000000000055,all_olive
2019,Baix Empordà,547.0,0.027444444444444382,0.18700000000000006,all_olive
2020,Baix Empordà,556.0,0.4164444444444444,0.1140000000000001,all_olive
2021,Baix Empordà,539.0,-0.1995555555555556,0.5030000000000001,all_olive
2022,Baix Empordà,488.0,-0.6195555555555556,-0.11299999999999988,all_olive
2023,Baix Empordà,285.0,-0.4105555555555557,-0.5329999999999999,all_olive
2024,Baix Empordà,317.0,0.49544444444444435,-0.32399999999999995,all_olive
2016,Baix Penedès,1187.0,0.049000000000000155,0.7463333333333335,all_olive
2017,Baix Penedès,1165.0,0.391,-0.09566666666666657,all_olive
2018,Baix Penedès,1147.0,-0.6599999999999999,0.2463333333333333,all_olive
2019,Baix Penedès,1138.0,0.534,-0.8046666666666666,all_olive
2020,Baix Penedès,1108.0,0.266,0.3893333333333333,all_olive
