year,comarca,seca_ha,yield_tha,lag_yield,cohort
2016,Alt Camp,1566.0,1.6,2.442,arbequina
2017,Alt Camp,1501.0,1.642,1.6,arbequina
2018,Alt Camp,1513.0,0.603,1.642,arbequina
2019,Alt Camp,1468.0,2.05,0.603,arbequina
2020,Alt Camp,1416.0,1.022,2.05,arbequina
2021,Alt Camp,1303.0,1.64,1.022,arbequina
2022,Alt Camp,1282.0,0.327,1.64,arbequina
2023,Alt Camp,1219.0,0.529,0.327,arbequina
2024,Alt Camp,1309.0,0.757,0.529,arbequina
2016,Alt Penedès,789.0,0.7,1.3,arbequina
2017,Alt Penedès,785.0,1.56,0.7,arbequina
2018,Alt Penedès,799.0,0.8,1.56,arbequina
2019,Alt Penedès,671.0,0.91,0.8,arbequina
2020,Alt Penedès,654.0,0.75,0.91,arbequina
2021,Alt Penedès,648.0,1.0,0.75,arbequina
2022,Alt Penedès,624.0,0.4,1.0,arbequina
2023,Alt Penedès,490.0,0.25,0.4,arbequina
2024,Alt Penedès,494.0,0.478,0.25,arbequina
2016,Baix Camp,2337.0,1.6,2.442,arbequina
2017,Baix Camp,2074.0,1.642,1.6,arbequina
2018,Baix Camp,2249.0,0.452,1.642,arbequina
2019,Baix Camp,2395.0,2.15,0.452,arbequina
2020,Baix Camp,2438.0,1.657,2.15,arbequina
2021,Baix Camp,2504.0,1.72,1.657,arbequina
2022,Baix Camp,2553.0,0.533,1.72,arbequina
2023,Baix Camp,965.0,1.665,0.533,arbequina
2024,Baix Camp,1084.0,0.788,1.665,arbequina
2016,Baix Penedès,1187.0,1.6,2.442,arbequina
2017,Baix Penedès,1165.0,1.942,1.6,arbequina
2018,Baix Penedès,1147.0,0.891,1.942,arbequina
2019,Baix Penedès,1138.0,2.085,0.891,arbequina
2020,Baix Penedès,1108.0,1.817,2.085,arbequina
2021,Baix Penedès,1106.0,1.668,1.817,arbequina
2022,Baix Penedès,1037.0,0.533,1.668,arbequina
2023,Baix Penedès,764.0,2.283,0.533,arbequina
2024,Baix Penedès,755.0,1.14,2.283,arbequina
2016,Conca de Barberà,793.0,1.6,2.442,arbequina
2017,Conca de Barberà,741.0,1.642,1.6,arbequina
2018,Conca de Barberà,751.0,1.432,1.642,arbequina
2019,Conca de Barberà,820.0,1.6,1.432,arbequina
2020,Conca de Barberà,877.0,1.045,1.6,arbequina
2021,Conca de Barberà,868.0,1.314,1.045,arbequina
2022,Conca de Barberà,861.0,0.338,1.314,arbequina
2023,Conca de Barberà,716.0,0.696,0.338,arbequina
2024,Conca de Barberà,749.0,0.679,0.696,arbequina
2016,Garrigues,16268.0,0.82,0.79,arbequina
2017,Garrigues,15635.0,0.96,0.82,arbequina
2018,Garrigues,15314.0,0.83,0.96,arbequina
2019,Garrigues,14459.0,0.84,0.83,arbequina
2020,Garrigues,14229.0,0.91,0.84,arbequina
2021,Garrigues,14099.0,0.83,0.91,arbequina
2022,Garrigues,14295.0,0.498,0.83,arbequina
2023,Garrigues,11124.0,0.725,0.498,arbequina
2024,Garrigues,10905.0,0.875,0.725,arbequina
2016,Priorat,1717.0,1.5,1.419,arbequina
2017,Priorat,1715.0,1.315,1.5,arbequina
2018,Priorat,1642.0,0.845,1.315,arbequina
2019,Priorat,1502.0,1.635,0.845,arbequina
2020,Priorat,1400.0,1.025,1.635,arbequina
2021,Priorat,1323.0,1.308,1.025,arbequina
2022,Priorat,1241.0,0.338,1.308,arbequina
2023,Priorat,883.0,0.644,0.338,arbequina
2024,Priorat,909.0,0.337,0.644,arbequina
2016,Segrià,8851.0,0.76,0.74,arbequina
2017,Segrià,9053.0,0.89,0.76,arbequina
2018,Segrià,7941.0,0.79,0.89,arbequina
2019,Segrià,7810.0,0.83,0.79,arbequina
2020,Segrià,8528.0,0.9,0.83,arbequina
2021,Segrià,8190.0,0.84,0.9,arbequina
2022,Segrià,6686.0,0.395,0.84,arbequina
2023,Segrià,6416.0,0.701,0.395,arbequina
2024,Segrià,6215.0,0.695,0.701,arbequina
2016,Tarragonès,640.0,1.6,2.442,arbequina
2017,Tarragonès,898.0,1.642,1.6,arbequina
2018,Tarragonès,886.0,1.206,1.642,arbequina
2019,Tarragonès,1026.0,2.355,1.206,arbequina
2020,Tarragonès,1009.0,1.737,2.355,arbequina
2021,Tarragonès,1012.0,1.884,1.737,arbequina
2022,Tarragonès,898.0,0.338,1.884,arbequina
2023,Tarragonès,547.0,2.182,0.338,arbequina
2024,Tarragonès,574.0,0.867,2.182,arbequina
2016,Urgell,2865.0,0.95,0.92,arbequina
2017,Urgell,2771.0,0.97,0.95,arbequina
2018,Urgell,2398.0,0.84,0.97,arbequina
2019,Urgell,2577.0,0.86,0.84,arbequina
2020,Urgell,2766.0,0.93,0.86,arbequina
2021,Urgell,2806.0,0.93,0.93,arbequina
2022,Urgell,2319.0,0.372,0.93,arbequina
2023,Urgell,2184.0,0.702,0.372,arbequina
2024,Urgell,2150.0,0.65,0.702,arbequina
