year,comarca,seca_ha,yield_tha,lag_yield,cohort
2016,Baix Ebre,19130.0,-0.025777777777777677,-0.4795555555555554,morruda
2017,Baix Ebre,19304.0,-0.05077777777777781,-0.06555555555555537,morruda
2018,Baix Ebre,19442.0,-0.25677777777777777,-0.0905555555555555,morruda
2019,Baix Ebre,17400.0,0.49922222222222223,-0.29655555555555546,morruda
2020,Baix Ebre,17447.0,0.23022222222222233,0.45944444444444454,morruda
2021,Baix Ebre,17266.0,0.38822222222222225,0.19044444444444464,morruda
2022,Baix Ebre,16809.0,-0.7127777777777777,0.34844444444444456,morruda
2023,Baix Ebre,11092.0,0.7262222222222223,-0.7525555555555554,morruda
2024,Baix Ebre,11390.0,-0.7977777777777777,0.6864444444444446,morruda
2016,Montsià,12950.0,0.1180000000000001,-0.36777777777777765,morruda
2017,Montsià,13011.0,0.09299999999999997,0.04622222222222239,morruda
2018,Montsià,13096.0,-0.42099999999999993,0.021222222222222253,morruda
2019,Montsià,12961.0,-0.026999999999999913,-0.49277777777777765,morruda
2020,Montsià,13235.0,0.45399999999999996,-0.09877777777777763,morruda
2021,Montsià,14006.0,0.357,0.38222222222222224,morruda
2022,Montsià,14436.0,-0.608,0.28522222222222227,morruda
2023,Montsià,11882.0,0.976,-0.6797777777777777,morruda
2024,Montsià,11982.0,-0.942,0.9042222222222223,morruda
