doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
1,-0.0007976643698021076,-0.0010860372772928148,-0.0007726448001578119,0.000929851879087755,-0.00016334546734102513,0.0020592858448502047
2,-0.0009749074658799803,-0.001508666923175528,-0.0010889157188797604,0.000927245310382484,-0.00014236832584050383,0.002027871209438198
3,-0.0018378872658997368,-0.003864587923417969,-0.004239546196237764,0.0009232492573060577,-0.0001224399670472985,0.002000011795467622
4,-0.0015789074719086882,-0.003224928793416898,-0.0034936301867032524,0.000920256742250887,-0.0001034416611363205,0.0019697944764208207
5,-0.0011124469540624111,-0.002059388250077099,-0.002328947606233469,0.0009175907923553602,-8.652344473842289e-05,0.0019422707931026303
6,-0.0006043712091158467,-0.0007559574490408936,-0.0007307419821887168,0.0009147351496792036,-7.004062255470749e-05,0.0019164224371191608
7,-0.00036348301436262107,-0.00016793913698106379,-0.00017152694344977186,0.0009113186480585121,-5.209880133335287e-05,0.0018886002672805526
8,-0.0007277815477216839,-0.000957433143888256,-0.0007949034800810636,0.0009067884880070735,-3.0010058334109274e-05,0.0018628384927045394
9,-0.000399311711840743,-0.0001009880354550165,0.00030269870635033094,0.0009038399422988931,-1.0101303556373425e-05,0.0018366822131510268
10,-0.0011560374650090857,-0.0021944609706250865,-0.002507115565529694,0.0008998329310153701,3.763161497995334e-06,0.0018133491397699902
11,-0.0008044628900676862,-0.0011562111629728868,-0.0010284962913054182,0.0008967297384076447,2.2394483857843884e-05,0.0017852065201956033
12,-0.00032263996439802444,4.298519462182541e-05,0.0002624612492107574,0.0008963040796993509,4.027544328876213e-05,0.0017588240740998586
13,0.0003442971712939809,0.0017479530733168975,0.0022581707652541694,0.0008936034724899337,5.407284092530784e-05,0.001734577061943196
14,0.0002540763020645332,0.0013380240764307935,0.0014459200840031675,0.0008922726816284685,6.925864366387631e-05,0.0017107187962301397
15,9.278440220739041e-05,0.0010656001490913928,0.001050647508455356,0.0008903348192948417,8.334084847180558e-05,0.0016880928535410687
16,-3.314815435145314e-05,0.0008262681889232574,0.0010602556274633469,0.0008869320357282866,9.994832639729432e-05,0.001666303996768257
17,-0.0005233706897011074,-0.0004101905062574055,-0.0002439323214427201,0.0008831457986227414,0.00011529115149382155,0.0016448820464193931
18,-0.0005134288789508347,-0.00038080018313491537,-0.00037730132493524605,0.0008813684840376271,0.00012879057187092672,0.0016245692904303661
19,-0.00034006805175697496,1.0543162422383322e-05,0.0002065323313918851,0.0008766760508789125,0.00014311167192462325,0.0016046981750359828
20,0.0006550218732566695,0.0024198015647993363,0.002544835212959203,0.0008735508577919047,0.0001591599405546947,0.0015846325224037944
21,0.00011767452002732265,0.0009052087128516353,0.0006944299526069461,0.0008707323126591067,0.0001711059209891417,0.001563252256232767
22,0.0007064413177228293,0.002448207213273542,0.0026335040171898516,0.0008671521457885741,0.00018618827153571064,0.0015443067650318905
23,0.0006580958450550362,0.0021743033607284743,0.0017983567347628225,0.0008644246132187043,0.00019727062050790524,0.0015272097936067667
24,0.00032583218248519126,0.0013807537574327359,0.0008699888819259656,0.0008601914495704456,0.00021262550870322392,0.0015074267240683743
25,8.988883827112526e-05,0.0009140873589829695,0.0007072520724361847,0.0008581586452290296,0.0002252497995478012,0.0014906719440325779
26,0.0003074828399755265,0.0014638625598952374,0.0014718407803132206,0.0008550642205350433,0.00023390855896630283,0.0014742541650490655
27,0.0007342919141036513,0.00245102635117691,0.0022407651720952634,0.0008512671979567928,0.00024499150191255824,0.0014583893240964808
28,0.0009342176650283927,0.0029153444938426224,0.002611569165428963,0.000849329427371261,0.0002576186338064225,0.0014426148317768007
29,0.0005374432316194494,0.0019764316975082285,0.0014660114460328497,0.0008459000261206483,0.00026684556492989956,0.0014262136261018515
30,0.0005402288434666517,0.001832911374908754,0.0009949392384053458,0.0008437604860437335,0.0002764389872037531,0.001411152468966846
31,0.000738003540440918,0.002412799017670676,0.0020344370304883137,0.0008397661200684892,0.0002841027868136385,0.0013968420194534561
32,0.000900786064935402,0.002835853842977717,0.002648745002839098,0.0008372132719512296,0.00029135999548076687,0.0013832350174912949
33,0.0003618134689184317,0.0014115719302305373,0.0009166562305947674,0.0008339572039946109,0.00030006802419962837,0.0013697707584114335
34,0.00037161212041171565,0.001565100410761961,0.0011904840102223335,0.0008325316634108091,0.0003084442405478148,0.0013557634227875039
35,2.414254703422179e-05,0.0007573719451756484,0.0005788016138447521,0.0008305964016609561,0.0003171010013266379,0.001342001620095213
36,-0.0001739419723492026,9.82992193273372e-05,-0.0003939098712752904,0.0008288567639078523,0.0003241038729177123,0.0013323672417228552
37,0.00046696587548593414,0.0017835931749341915,0.0013694712276930833,0.0008262315150387972,0.0003314722098463668,0.0013212186219636979
38,0.0006254399548268611,0.0023554542432909797,0.002346711726693328,0.0008239426135416227,0.00034019618783072956,0.0013107560302867995
39,0.00033316579400101816,0.001665857971769028,0.0015886167559028357,0.0008220413047173255,0.00034982586466125254,0.0013014444418345888
40,-4.8260655004547775e-05,0.0007220814810076074,0.000437852996716513,0.0008190161069404237,0.0003562593897806935,0.0012919294479819953
41,0.00029687236725861225,0.0013780465469805472,0.0007320215617115091,0.0008174209145491689,0.0003610189293354631,0.0012824215005215116
42,0.0005274711991777306,0.001955269306658063,0.0015007755641869883,0.00081378448520747,0.0003662324841869313,0.0012712708852166351
43,0.0003870864548394285,0.0015103043028874916,0.0008990541822667483,0.0008113886597884759,0.00036971291955538975,0.0012632262971028084
44,0.0003398751869014816,0.00142631152770563,0.0008344708361731335,0.0008089356743239176,0.0003742452627987217,0.0012511699524389121
