doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
1,-0.008013882118984567,-0.012125576005893203,-0.018152719022215245,-0.026546823103691428,-0.04089333243287433,-0.01330904186076002
2,-0.005887566558305467,-0.009121209827122851,-0.014135287675028077,-0.026093930076109106,-0.04018032936624192,-0.013102932668261319
3,-0.004855493723963704,-0.007530378638520828,-0.011211115683755515,-0.02564549148444259,-0.03945843403154845,-0.01288494001510597
4,-0.005702314690443336,-0.008527611629122156,-0.011662931384726998,-0.02518526520125336,-0.0387524480142454,-0.012695885155736013
5,0.00035487335119560104,5.416036121501543e-05,-0.001225168753071014,-0.024740009979818976,-0.03806918617679211,-0.012497583392336266
6,0.0011715974526934957,0.0014674989008938379,0.0014874766091224174,-0.024305231339378976,-0.037383153805928236,-0.012304648854376614
7,-0.001245761407788099,-0.0020670559693540553,-0.0038161598288529086,-0.023896859789141883,-0.036716748480252685,-0.012108693544911751
8,-7.497013125594273e-05,-0.0002353609394703289,-0.0007740826402463113,-0.023485549225461595,-0.03605426154742795,-0.011902900864203817
9,-0.00040816314181630297,-0.0010892682892404161,-0.003542381747958825,-0.023065315229549473,-0.03539910200467701,-0.011696185654620246
10,0.0010587144707553614,0.0015487179225842386,0.001262511596274928,-0.022657037623662432,-0.034709435728343285,-0.011525446748299584
11,0.00010323427176111172,5.7044512423376556e-05,-0.0005633015107918446,-0.022259441610807423,-0.034063290097024655,-0.01133369103047
12,0.0006455391198139329,0.0006256281463813641,0.0002616766316644506,-0.02186509392754326,-0.03342687987903802,-0.011134756747734375
13,-0.00025884058768934097,-0.0005534437253851674,-0.0013581794392332957,-0.021477601743509475,-0.032798761971030314,-0.010977782533243167
14,-0.00040388526376744944,-0.0008856831845045879,-0.0022718573906739064,-0.021086149860479263,-0.032121301874867995,-0.010799635855922836
15,-0.00023912202273491563,-0.0004946673347791405,-0.0008367890068125326,-0.02071918110511576,-0.03150610926244506,-0.010585018227468178
16,-0.000909713760998024,-0.0013926311897291656,-0.001825269374171994,-0.020356757041884783,-0.03088855007968537,-0.010411956072580353
17,-0.0020854896098808934,-0.003293182683223401,-0.004093302820850748,-0.02000721304681938,-0.030307624422894117,-0.010235384107120557
18,-0.006386609681917959,-0.009557012147084465,-0.012765234188018502,-0.019631017652267546,-0.02971350594801426,-0.0100667804301372
19,-0.0013387307479705538,-0.0020915630141940243,-0.0030852774116078593,-0.019285157728785494,-0.02913241182140903,-0.009885897228084042
20,-0.004121764362520167,-0.006456422047787665,-0.010235883808495253,-0.018917761363714532,-0.02858339188728217,-0.009678794872905539
21,-0.002128537342223196,-0.0033887266987995654,-0.005569213936422116,-0.018580872057024765,-0.027982943160928073,-0.009492389247068652
22,-0.004220940157591168,-0.006425624196278315,-0.008866381975856312,-0.018221099904097017,-0.02742736799530921,-0.009326473384427013
