doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
1,0.002843783284387034,0.002958017350132208,0.0024005768185160164,0.003328366703051958,0.0019510584617701092,0.005248291134585356
2,0.0028177101373058383,0.002876558031343002,0.0023043436618706836,0.0032822971291171406,0.0019318042945360803,0.005155217452515251
3,0.002799936469983378,0.0028474488680326495,0.0022793012478679697,0.0032387390785578326,0.0019102918215953102,0.005059332518654427
4,0.002769272103958732,0.002597229850007141,0.0019766555686914333,0.0031943445447227777,0.0018889856012799027,0.0049706572349216506
5,0.0027009092184833703,0.0022920526542723205,0.0015993327936569895,0.003151885228507955,0.0018676497423976224,0.004888312890157141
6,0.002640744158473883,0.0023647248573091815,0.0017193920329418356,0.003107534002046846,0.0018555819363213495,0.0047974045179014066
7,0.0026309116725260796,0.0027359584693061054,0.0022071649170305454,0.0030636543378376197,0.00183521416572325,0.004707193421413941
8,0.0026258138643855487,0.002880344145176778,0.0023866723830281464,0.00302004471239925,0.0018160891931760358,0.004619912652582472
9,0.0027134436947588163,0.0031181648746349644,0.002642441767929473,0.002979861259990658,0.0018021364332016984,0.004534436142088375
10,0.0026745668682103658,0.002669737849139764,0.0020526597895763705,0.0029406753494362996,0.0017832792939456044,0.004449754010081661
11,0.002639597126163753,0.0024964955041555485,0.0018387320163201029,0.0029015068881047125,0.0017655570139645746,0.004367541790523098
12,0.002597207391665805,0.0023451205974563114,0.00165798047534501,0.0028595802825419478,0.001749111942895382,0.004291543655415274
13,0.0025499184581604896,0.002234357953719066,0.0015323191603397635,0.002819791343946384,0.0017330609253075617,0.0042076016929947
14,0.002508138688622743,0.002074625773477725,0.001341081805341869,0.0027787887388735642,0.0017143460523252841,0.004125366229479246
15,0.0024719162238473545,0.002001913386523862,0.0012623540529999784,0.0027390446504057505,0.0016972320020427437,0.004051824622866207
16,0.002433485042808891,0.001868461319765464,0.0010964037254157283,0.002699195004718074,0.001678296723567123,0.003977838812237105
17,0.002397887006371111,0.0018180902677615816,0.0010429906608330495,0.002660431438284966,0.0016586329673902841,0.0038976253654561237
18,0.002387087090545129,0.0019152832485436937,0.0011818531420352517,0.002622454394799691,0.0016415008321416032,0.0038273512953522952
19,0.0022342865538040437,0.0008265844204371743,-0.00019455988502876354,0.0025813100421398076,0.0016208669849171154,0.003751282627955658
20,0.00237113476288292,0.0018278955268960049,0.0010949901486100842,0.0025433121954516235,0.001599099411858372,0.003679987857817699
21,0.0025778713867762844,0.003159623998319607,0.002809293486219142,0.0025051138961228537,0.0015842452540507453,0.0036126832437198427
22,0.0026970182404825994,0.003811061675464103,0.0036309270836943847,0.002466890906320303,0.0015636584184436518,0.003545393451162684
23,0.0027804172846764594,0.004640559520592046,0.0046986406320252356,0.0024297010124022093,0.0015447421286144062,0.0034797843211569943
24,0.0027287675748942247,0.004374431778199283,0.004370393212818222,0.0023930851338664558,0.0015250789803192167,0.0034196903082670286
25,0.002712301691271033,0.004446548844394155,0.004478728398865592,0.002357094663998453,0.0015059920730889874,0.0033577587575676243
26,0.0026047714271513027,0.004636026909019223,0.00476602512308301,0.002322570184216311,0.0014870859546076236,0.0032927876995148373
27,0.002672760680307928,0.005186357187342229,0.005484626535369425,0.002287326629784934,0.001469323097589238,0.003230685338346985
28,0.0027011639548980447,0.005460714389925552,0.005843815702460872,0.0022520683023737106,0.0014532459278445533,0.0031700435118252185
29,0.0026895682942579932,0.005633617213858203,0.006078803322776011,0.0022200860905152164,0.001431906688570176,0.00310581582551855
30,0.0026593487762299494,0.005571236397777492,0.006008828124577146,0.002185498047907794,0.0014125521056988944,0.0030477262183473126
31,0.002647035162347351,0.005713600903700528,0.006202624334882019,0.0021522344117745145,0.0013949570809726594,0.0029910460648604927
32,0.0026596194939457205,0.0064559205013131685,0.007174991509492389,0.0021185443460258408,0.001375985415938815,0.002931313634923703
33,0.002636717667191836,0.006491913799001607,0.00723392059796255,0.0020835667210932895,0.0013547192831269456,0.002877796906876584
34,0.0026029715060422952,0.0063294158582886525,0.00703443156047288,0.002051085715401633,0.0013362523869926738,0.0028209815193179616
35,0.0025308745222586996,0.006425889106832605,0.007187706455140458,0.0020168329288643046,0.001319461587901954,0.002766762879793268
36,0.0024189655965385515,0.006566484627095704,0.007409058483527828,0.0019851294011662716,0.0012986109461530944,0.0027127332131867588
37,0.0023507992867292625,0.006667224795646982,0.007562696012448722,0.0019521709666368023,0.0012791953736990915,0.0026631342881223803
38,0.002349243523584297,0.0066683398868371034,0.007524572839002693,0.0019217610889679176,0.0012571830101703535,0.0026115239573621806
39,0.0023945769412545585,0.0072851848585971865,0.008310599694183804,0.0018895043257049476,0.0012389664062389836,0.002565738295521734
40,0.002278997634372043,0.0064919122037839765,0.007296986033199214,0.0018572616642412105,0.0012200612896812633,0.002515880105462332
41,0.0022753207945058794,0.006464861916295037,0.007264701768682938,0.001828210732475843,0.0012014691268247585,0.0024694137925179416
42,0.0022939720569382623,0.006615954783918155,0.0074723518484532455,0.001799850078803943,0.0011831466170793591,0.002424497819707457
43,0.0022975498048340573,0.006616415690681815,0.007470492122656021,0.0017675136505318116,0.0011639833853189488,0.0023839668601273243
44,0.002347836142758116,0.006919887910594816,0.00787035621790182,0.0017379473473401925,0.0011403952195122137,0.0023365621499949587
45,0.0023591035834284375,0.007057015533646179,0.00804564202712768,0.0017090847469271387,0.001118769216499861,0.002294525139413317
46,0.002350424217140225,0.007106778144241163,0.008111529710272142,0.001678533124592107,0.001095658123130808,0.0022559947865867817
47,0.0022845159857115727,0.006827888439638526,0.00776466696144977,0.0016501649322192234,0.0010769431783022017,0.002219431780807885
48,0.00226628559978017,0.006940842144631696,0.007920173235721771,0.0016216711288691043,0.0010591264009204263,0.002181583613056353
49,0.002256435998347,0.0069985100580099106,0.008002940748024372,0.0015928559409932321,0.0010381019728559454,0.002143791545779484
50,0.0022062459922442654,0.00675463061515298,0.0077063657502146376,0.0015650625503130123,0.0010161722563089557,0.0021056638774024994
51,0.0021983228008382546,0.006816699606976856,0.007793580619058941,0.0015375364730522245,0.0009933202659605472,0.002070683012435122
52,0.0021779629574054443,0.006935708148601794,0.007952578408934078,0.0015105417429945036,0.0009734427572124292,0.0020337031714286907
53,0.0021989147207981743,0.006900659460692591,0.007880244724653818,0.0014829658539883203,0.000948561500533782,0.002002991612372237
54,0.0021749312106603526,0.006808019448765934,0.007744417102576748,0.0014569179330994613,0.0009259842896019644,0.0019680844359887045
55,0.0021862574531990087,0.007003613091978363,0.008003672643228951,0.001430602033788937,0.0008984634010811347,0.0019349351167839124
56,0.002141680529800198,0.006781617729251266,0.007728649794688553,0.0014045931999052076,0.0008772332869520199,0.0019040012941428945
57,0.0020908631050063557,0.00657684743697437,0.0074733590032733995,0.0013786911604749437,0.0008572996579070934,0.0018750613234937382
58,0.002123853889331906,0.00674304226657737,0.00772393823164873,0.0013538902549839172,0.000836913232587973,0.0018474168131682892
59,0.0020536765731469188,0.006966144801015715,0.00804075588374044,0.0013285202349770419,0.0008147044376186379,0.001818196981391572
60,0.0020138169131713253,0.00705201772522789,0.008163630092500047,0.0013051625303678632,0.0007956390307900816,0.0017926770164923562
61,0.0019176024039065014,0.006490678482609017,0.007458457481287617,0.0012824828964514913,0.0007737814067457254,0.0017644054950970065
62,0.0019387973294317812,0.006572996855158892,0.0075701218155282655,0.0012578149909557978,0.0007480937352114002,0.001736863297710434
63,0.001970101145857488,0.006761837576689585,0.007824670946077349,0.0012346357618266165,0.0007238408964134329,0.0017078746209095805
64,0.0019457889735957996,0.006932271133489647,0.0080548958362874,0.0012121561374622432,0.0006985198103917041,0.0016833251244580856
65,0.001865172800073572,0.006366628197807477,0.007335638927800622,0.0011893972581352042,0.0006741512273182595,0.0016579947199745753
66,0.001802098031670461,0.005833440107132768,0.006660385852964555,0.0011682004023928108,0.000650533511731244,0.0016331080999226733
67,0.001645024958141819,0.004476348847144696,0.004930145983967591,0.0011467686214075546,0.0006275605755658186,0.0016097939113905067
68,0.0015434043764142396,0.003954391560795147,0.00427244975423177,0.001125686310989614,0.000605453287588782,0.0015858902260932836
69,0.0014561606403443218,0.0035522907895782978,0.00377798106989627,0.0011053874292842312,0.0005837911162038794,0.0015626995273645338
70,0.0013088346198252669,0.002309258907418059,0.0022170325946471833,0.0010831362795259178,0.000563542150783225,0.00154007575437997
71,0.0011183544018027322,0.0005287861606980116,-3.6214660382716666e-05,0.0010625127076330505,0.0005402487292561058,0.0015173417860519223
72,0.001095163446941976,0.00036152652149900466,-0.00023269728386195415,0.0010423834250493959,0.0005166706533629126,0.0014959410773896923
73,0.0009663544307788087,-0.0007197627756897006,-0.0015723446519415,0.0010226263258102967,0.0004918654954732811,0.0014741474675038575
74,0.0009743250562020627,-0.0007116212407549689,-0.001543229727913056,0.001002526447937504,0.0004688239668138504,0.0014517379005674522
75,0.0010094583898683624,-0.00046895453132894395,-0.0012228000318281378,0.0009833630516489392,0.0004447185513540486,0.0014292108963650711
76,0.0009408034523529283,-0.0009710768103075858,-0.001840963901335691,0.0009647544552443262,0.00042332802297765537,0.0014086706014133541
77,0.0008384821778326912,-0.001895999602868173,-0.0030094452886310166,0.000945957863333857,0.0003976992141841745,0.001388352125952993
78,0.0008515485193789351,-0.0020062314345408,-0.0031547539084139475,0.0009278534774931666,0.00037472762616456214,0.001368586271799033
79,0.0007951322999145735,-0.002517762725135828,-0.0037902734222620554,0.00090980206501355,0.0003496743986989074,0.0013487241968531047
80,0.0006991932798374818,-0.0033650455249892366,-0.004852256182106431,0.0008920505100291938,0.00032555841432504426,0.001329152082240429
81,0.0006808920805511504,-0.0035298264592011535,-0.005053071827250483,0.0008754887911656681,0.0002993252855446519,0.0013131797440282043
82,0.0006855526473923351,-0.003496936480521438,-0.005003537211221982,0.0008582125098500209,0.0002798789742265386,0.0012954637560381316
83,0.0007399388729616469,-0.0025421321647384207,-0.003739221575426907,0.0008399357815562813,0.00025965989033630303,0.0012781142606529715
84,0.000749516682461358,-0.002500672325645659,-0.0036657186478120146,0.0008232133118891455,0.00024002808076269895,0.0012600214565165087
85,0.0005985223716268005,-0.003852385217646711,-0.005375717522114758,0.0008056335384647919,0.0002202648086845525,0.0012435757774801532
86,0.0006138975530678811,-0.0037554165001569997,-0.005251452499506971,0.0007884204774392348,0.0001999302390738977,0.0012261113211111993
87,0.0006075863722720901,-0.003723699607422234,-0.005207838300994018,0.0007722423773970934,0.00017637859267115674,0.0012087720510326131
88,0.0005001445708441714,-0.004484369219774221,-0.006159950601113177,0.0007565707614179568,0.00015300262714559805,0.00119113690515526
89,0.0003859703636054802,-0.005281343590819654,-0.0071580978315400135,0.0007402099197826684,0.00013162451133806057,0.0011740472042417174
90,0.00044419320469935464,-0.004685731969458842,-0.00637979614469453,0.0007259953047931149,0.00011329372387629407,0.0011589551153084747
91,0.0005577931586177578,-0.003855704970695643,-0.005305930000275634,0.0007107900689229795,9.23640182566133e-05,0.0011445896588299415
92,0.0005841148811858986,-0.0034795321325079734,-0.004816168239726792,0.0006961314634407609,7.418465361957744e-05,0.0011290849286257115
93,0.0005931852452509273,-0.003174275088952446,-0.004417132190353724,0.0006808136302846137,5.8336626501895235e-05,0.0011143756431888033
94,0.0006287428751657103,-0.003201831139007539,-0.004450083890322122,0.0006661635392533064,4.046293183949898e-05,0.0010991188902806195
95,0.0007636389776523502,-0.0022970825636312022,-0.00326266230221202,0.0006524958214035169,1.9314368827537906e-05,0.0010840291842036831
96,0.0007661737450038433,-0.0020065656269114118,-0.002885758959607228,0.0006376308116896111,5.203267857943817e-06,0.0010697866656183715
97,0.0007700266271759112,-0.0017201853262289112,-0.0025173738791144534,0.0006227287956524413,-8.957232613707868e-06,0.0010551449875390352
98,0.0007402763240947472,-0.0011161486263417562,-0.0017218723631693608,0.0006089261243299856,-2.2163917538768055e-05,0.001041916671185446
99,0.0007860148582184439,-0.0006313812590929405,-0.0011113489937204404,0.0005950693156610892,-3.8114168594167545e-05,0.0010281282266820224
100,0.0007529059594521541,-0.0003673218345843664,-0.000755675751343286,0.0005817191798291176,-5.528609048908901e-05,0.0010142387582358883
101,0.0007062096763438713,0.00010246239705271584,-0.00014084799172683847,0.0005683651295007254,-7.281649662814523e-05,0.001000407397883114
102,0.0006072599939571037,-0.0006829859026244767,-0.0011276190743042893,0.0005549675980402987,-8.941481873767765e-05,0.000986331041138696
103,0.000276970022463168,-0.003137880500808742,-0.004202021746179612,0.0005417091421982509,-0.00010622372184752501,0.0009722077598563786
104,0.00026337007348240535,-0.0029249835136489636,-0.00392092942188923,0.0005295751273910434,-0.0001208470147610424,0.0009605732187742314
105,0.00030421476356676935,-0.0024965668858072374,-0.003370871674746528,0.0005168060535770383,-0.0001351905532835293,0.000945965796429784
106,0.0003322895652760561,-0.002047073020559491,-0.0027969309063880224,0.0005040737354355621,-0.00014939380588632086,0.0009326314420609505
107,0.000370926848333244,-0.0017160627912634293,-0.0023809668284439714,0.0004913011566963335,-0.0001641622795602799,0.000918441273923231
108,0.00041278515073561874,-0.0013552166716793528,-0.0019200064120276773,0.0004781376093399496,-0.0001773422978972193,0.0009042875195798343
109,0.0003961539955915741,-0.0016609100011634108,-0.002293710450522876,0.0004661991526281542,-0.00019158799753027876,0.0008914405158897151
110,8.936634404772646e-05,-0.0047051177892422705,-0.006131132639378807,0.00045434467996642553,-0.00020301102701520958,0.000878342943698122
111,0.00010575664903642115,-0.005240173473133108,-0.006810981535018512,0.00044385753599508954,-0.0002171027253997718,0.0008653673679974105
112,0.0001364696331896975,-0.004728880799160713,-0.006151760928960393,0.0004322704154344027,-0.00022890149406808372,0.0008532224345352513
113,2.900471720695627e-05,-0.005473499294378085,-0.007087529472974425,0.0004200149354003102,-0.0002422704086731143,0.0008414314298976452
114,4.903887584704826e-05,-0.005191750197881665,-0.006730204479675783,0.0004087705856239295,-0.0002538962139023101,0.0008294451939143385
115,7.40007589611595e-05,-0.004855300385917947,-0.0063020983736488765,0.00039735930334072934,-0.0002656497815671203,0.0008187288405430539
116,0.0001272166825414333,-0.0044834643086804704,-0.005843857320598982,0.0003861111482456141,-0.0002760253942023955,0.0008071420154784313
117,0.0001740845184198028,-0.00403702254387958,-0.005254574270832086,0.0003751030700776428,-0.00028564292235169503,0.0007959013145940303
118,0.00020011956263896757,-0.0038923254025296557,-0.005080271243970128,0.00036372189671319405,-0.00029443608566687976,0.0007850848272965863
119,-1.0891054150010517e-06,-0.004724648585066316,-0.006149968268272715,0.00035329998888488924,-0.00030496615220844034,0.0007719359876910655
120,3.414899493807272e-05,-0.004714232978742488,-0.006167847233197366,0.00034302609910363564,-0.0003119034195593684,0.0007621195680160052
121,6.189311499737588e-05,-0.004979109263652799,-0.006575141956930023,0.00033209079588468015,-0.000321063045148314,0.0007512655988123213
122,-1.4054584968128507e-05,-0.00575847212076431,-0.007562636047171916,0.00032302835453159554,-0.00033036290397625275,0.00073993980604608
123,-3.216068978746853e-05,-0.005771479523359897,-0.007563065759988383,0.0003128648363002138,-0.000344050525302528,0.0007296481173457466
124,-6.975270453891154e-05,-0.006031034758415114,-0.007887958497701726,0.0003030792569948729,-0.0003538783415031316,0.0007169835362872833
125,-9.112329160521948e-05,-0.005983793089354856,-0.00782102451451253,0.0002920154418008602,-0.00036299309808745275,0.0007079368796725731
126,-9.640482062482904e-05,-0.00578148533084914,-0.0075574109882536504,0.00028169394969286413,-0.00037136563393236994,0.0006977842499973406
127,-9.672137336495638e-05,-0.005493528090361885,-0.007188877838339258,0.0002726132430305519,-0.0003787483998764709,0.0006862418762518208
128,-0.00011371136147421576,-0.005424384200850724,-0.007082565235365537,0.00026352409256268777,-0.00038522902402432263,0.0006762652912368813
129,-5.202907083592638e-05,-0.0053446172717602335,-0.006990265588764891,0.00025463076889787814,-0.0003945146064619879,0.0006661668360149843
130,8.308697352041086e-05,-0.004490990609518473,-0.00590673746485103,0.00024582667865436674,-0.00040025259527911526,0.000657507828358436
131,0.00014031830220916636,-0.004037062905889891,-0.005327763520199703,0.00023647989967390433,-0.00040586323633210337,0.0006488974873477807
132,0.00010759235441370453,-0.003545973848653334,-0.004683755442438993,0.0002279296280662328,-0.00041304544110327366,0.0006389509279207033
133,0.00012326387778905846,-0.0034737179955529494,-0.004611087064277193,0.00021859590670959397,-0.00042194295180880595,0.0006295931983967869
134,0.00012942443301889933,-0.003455933924952623,-0.0045969956594950215,0.00021035982918391236,-0.00042888919378049643,0.0006199713437825153
135,0.00014229701416542984,-0.0032921890107026884,-0.004392680386208711,0.0002014332148728425,-0.0004361616680261666,0.0006108523811657776
136,0.00016630087657099532,-0.0029550182565749763,-0.0039594970605734406,0.00019414504283518598,-0.0004441944930386064,0.0006020481009084221
137,0.0002151346682046869,-0.0019749319109636124,-0.0026943202977653233,0.0001852037713891728,-0.00044996037408600914,0.0005930687691017685
138,0.00022316050778669195,-0.0017547907883237604,-0.002418785434690427,0.0001772823149966005,-0.0004559330367287277,0.0005842165933628672
139,0.00018695744359132946,-0.0016848311159217628,-0.0023414510970040893,0.00016898252125754714,-0.0004618064215606323,0.0005751051873738368
140,0.0001713547497668386,-0.0014431979338161288,-0.00203190314942486,0.00016163766187672434,-0.00046621858512765056,0.0005670974015921188
141,0.00018158517296187687,-0.0011368251004702768,-0.0016415319127700047,0.00015381541601975794,-0.0004754372422216919,0.000559846945159283
142,0.0001910955335896626,-0.0009559174409462795,-0.0014327326271432654,0.00014604205987927128,-0.0004821598007609154,0.0005525083771636883
143,0.0002283129801741946,-0.0006191946695241085,-0.0010307791688611873,0.0001381953561338979,-0.00048729701106035335,0.0005443703358058306
144,2.876898377112485e-05,-0.001879358088048055,-0.002594849876368208,0.00013035748555994525,-0.0004925448188066808,0.0005364089477414733
145,-1.8282855035396034e-05,-0.0022941306986156316,-0.003166531348478825,0.00012239551971078355,-0.0004985219801355709,0.0005284050093917345
146,-2.2691908928654847e-07,-0.0020354938983391394,-0.002841128370680587,0.00011595858352043777,-0.0005032815602059891,0.0005208342617090256
147,-1.8969053304271913e-05,-0.0019529350121423963,-0.002730172067461868,0.00010831716634136023,-0.0005099532646159319,0.0005134188708947561
148,-6.184352178571428e-05,-0.0010606783451214184,-0.0015444866206817164,0.00010222021301128776,-0.0005143399078564736,0.0005064339778687307
149,-7.962725024172272e-05,-0.0007348770339330885,-0.001122114074889764,9.575848253824272e-05,-0.000519724662853678,0.0004985024099117626
150,-9.757650987886717e-05,-0.0003969987449307551,-0.0006873322735031024,8.861325408560407e-05,-0.0005263372127906608,0.0004911894339202701
151,-0.00013096401096022103,-0.0004840410927437435,-0.0008112749809020054,8.105932982138052e-05,-0.0005301980085580431,0.0004844189674392341
152,-0.00012750517221602034,-0.00031873259712192033,-0.0006260838288877731,7.312267165401087e-05,-0.000533952484663278,0.00047627240792363164
153,-0.00012928173499418408,-0.0002238669304386391,-0.0005208780373163655,6.617837368684659e-05,-0.0005389542477747901,0.0004688603442520823
154,-0.0001038281569247713,0.00017972410916530516,-1.985867066178048e-05,5.91888534236863e-05,-0.0005433904703564677,0.0004611759734143919
155,4.6043863787980257e-05,0.0011546498189025803,0.001217938029356001,5.2137291352567065e-05,-0.000547176347555119,0.0004527815939113373
156,0.0001501839211861763,0.0020615639217390663,0.0023675230074448475,4.477177279468837e-05,-0.0005527149642126018,0.000446001111380956
157,0.00011356018332515672,0.0025869158981561453,0.003057721841662281,3.7537625991158584e-05,-0.0005548069587186685,0.00043896598990791186
158,0.00017891339593782671,0.003366893276434973,0.004056921542966951,3.114261916758345e-05,-0.0005615112603135896,0.0004327886778882076
159,0.0001666990116231322,0.0033357350073791978,0.004016026443477363,2.458078265923574e-05,-0.0005650069519789505,0.0004260215341784079
160,0.00013576890788816184,0.003213139527019194,0.0038432221917892085,1.8408935010485653e-05,-0.0005709068997632015,0.0004174221217466653
161,9.297254863332808e-05,0.0035191060541038093,0.0042408042293144155,1.1137795960991805e-05,-0.000577289265241108,0.0004098858557044663
162,0.00015373746672770933,0.0045426851444606495,0.005532835911656784,4.601900190679033e-06,-0.0005837232904498512,0.0004021152537571338
