doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
1,-0.0012228766731262146,-0.0011797521994190532,-0.0009420314057723868,0.0008847587382896727,-0.0006055005996196282,0.002311442650418903
2,-0.0015687801727012065,-0.0018929348612950873,-0.0017064646551102707,0.0008776054694405954,-0.0005828022663864873,0.0022781778046435533
3,-0.0026571742223363503,-0.004345781117196485,-0.004513831578551445,0.0008725770685995932,-0.0005607563166740483,0.0022458797604824102
4,-0.002260872283405114,-0.0036357453906892597,-0.0037527679657633835,0.000866620332759285,-0.0005383752345154935,0.0022150272044223047
5,-0.0015231001200412088,-0.0020754232242955616,-0.0021057617307439144,0.0008583154899544773,-0.0005147725743932748,0.00218326979803775
6,-0.0007061560428122959,-0.00021797203969344063,1.0928969091351873e-05,0.0008533081416020967,-0.0005005098973137843,0.0021532708578711397
7,-0.00039485638541336443,0.0003464588393383009,0.0004493970591383581,0.0008469823227874277,-0.000475870045549334,0.0021242150001197354
8,-0.0009491906527075714,-0.0004942643127880359,-0.0003628669249382965,0.0008406709899148213,-0.00045061860275228224,0.0020974812540151596
9,-0.0006594327445576937,-3.317722768517336e-05,0.00014546352623964848,0.0008345892381575164,-0.0004296321198630796,0.0020667620739477826
10,-0.0016180487042956324,-0.0023625221726928727,-0.002548223573877789,0.0008287328057587663,-0.0004096646702542676,0.002036297528537041
11,-0.0012850985493077967,-0.0014540321337221946,-0.001527104144010919,0.0008220623928095676,-0.000383699422779973,0.0020032867091315265
12,-0.0006593067572295463,-0.00023109622942591958,-0.0004088608624662152,0.0008166185401251563,-0.0003612128082915941,0.001976117554771542
13,0.00020260912252236042,0.0015645577691603006,0.001649161228172174,0.0008105455821553324,-0.0003391322181533958,0.0019492336581299415
14,0.00036725574180815644,0.0017247274963663618,0.0017398508317567236,0.0008059892690434005,-0.000319434972529534,0.0019227319335638575
15,0.0001649088854356107,0.001425763735904683,0.0013122339402427143,0.0008012688836138559,-0.0003027359555370887,0.0018963612736277078
16,-0.00029211975785583275,0.0005799402217875441,0.0006848394060394593,0.0007977938144763577,-0.00028554257067204284,0.0018691569019741764
17,-0.0009213589542753592,-0.0008431568215792997,-0.0008464325893798206,0.0007914509558432811,-0.00026861699957296737,0.0018410938540504589
18,-0.0008983096541382081,-0.0007908561759065628,-0.0009908815375234373,0.0007870707306919623,-0.00024810983401503476,0.0018143356758401263
19,-0.0006591671286211363,-0.00032189806202326,-0.00031476139683982174,0.0007830530076115584,-0.00023776838373589375,0.001791654051900391
20,0.0009886775809908026,0.0028068039056307,0.0029337305769632006,0.0007793074854036578,-0.00022021589903211983,0.0017682495091157309
21,0.00014764471108146901,0.0007763497242135383,0.0009010136830134281,0.0007746210189392079,-0.00020697081808469586,0.0017464208702134625
22,0.0008577274667744906,0.0023510035433680376,0.0025793223118889754,0.0007704235541848806,-0.0001935104433367482,0.001722342691232476
23,0.0010864444772893482,0.0026047648539403016,0.002402066619361966,0.0007678014187141232,-0.00017908051134576803,0.0017031305749223035
24,0.0004987034363661554,0.0013891468241348235,0.0008912608575575797,0.0007615253841978772,-0.00016390507357915668,0.0016802820068385538
25,3.771155330659578e-05,0.0005596837999700114,0.00034179846923389955,0.0007581730542518082,-0.00014861077864152387,0.0016581004558089303
26,0.0004405547965974353,0.0014655393604724514,0.0014134948548818855,0.0007540642115051565,-0.0001334437543832824,0.001638625543913284
27,0.001008429139129932,0.0024144355455959347,0.0020926852177243736,0.0007510903177064385,-0.00011970780019378632,0.0016214550517329005
28,0.001259432495506329,0.0028394700830815045,0.0024474211741458848,0.0007479083903535405,-0.00010696009116777989,0.0016059405403403247
29,0.0008138250727610393,0.002050372644187963,0.001663220392754399,0.0007422821059266584,-9.268505884818647e-05,0.0015847096471482604
30,0.0008273408492153333,0.0018203962273967739,0.0012386671275921649,0.0007379159645300335,-8.200356390790245e-05,0.0015668773047267097
31,0.0010925793226988457,0.0024974955288216837,0.0021021687607125426,0.0007340907764641425,-7.028216978034823e-05,0.0015522129126457976
32,0.0012401905060455615,0.0027445587669216558,0.0023968240142885353,0.0007285537282601673,-5.759435066383113e-05,0.0015364775224972515
33,0.0005939642841757116,0.001413553561919032,0.0010054989683451322,0.0007251698099763582,-4.5441424470128196e-05,0.0015155886888294794
34,0.0005233854916894103,0.0015899839661876732,0.0013539950336482808,0.0007221225887162036,-3.518048123016128e-05,0.0014979545617369622
35,-0.0002471405975446582,5.509479742456545e-05,-0.00019809937385665215,0.00071813810907189,-2.5017773792497984e-05,0.0014805281841046782
36,-0.00037680553255848025,-0.0003526678833468796,-0.0008007355589378703,0.0007136741523467759,-1.75094226833297e-05,0.0014674160521648515
37,0.0007280825319484467,0.0021251459554732267,0.0017520859038330115,0.000709979335679574,-1.1602751478286198e-05,0.0014515671553706226
38,0.0010502804831580164,0.002967139106710069,0.0028898277227800296,0.0007069127874239158,-2.3924113681591942e-06,0.001440359742395196
39,0.0003786664404538248,0.00157449246499248,0.0011651012495551085,0.0007027808190075346,7.711198741142087e-06,0.0014247880021364277
40,-4.220655123108314e-05,0.000683765541166199,0.00021128683722401295,0.0006981591096554106,7.688886813042591e-06,0.0014078901895094502
41,0.0005834539208865151,0.00173811932899721,0.0013310774247529723,0.0006947060930048159,1.7528579105764487e-05,0.0013938762160490426
42,0.0008419486877915009,0.0022333392178529574,0.0019879483686439745,0.0006891524935747223,2.419770010078271e-05,0.001384462818541414
43,0.0004718746133845224,0.0011870434947327895,0.0006017504567573039,0.0006877967738637711,2.705632943566822e-05,0.0013733172507030087
44,0.00046097843731588247,0.0012895906932415136,0.0007522216290785581,0.0006839892076033365,3.175588746504162e-05,0.0013628386484710476
45,-0.0003879148623896005,-0.0003327848297421881,-0.0006686818588851476,0.0006820517320937677,3.628012252403002e-05,0.0013495626665456823
46,-0.0008844721777789817,-0.001178099056064205,-0.0014685953461420196,0.0006786707800017773,3.9118384935499675e-05,0.0013392724038077855
47,-0.0013770280509429712,-0.0024275180243196665,-0.00280836844347605,0.0006744761221467836,3.960724550951781e-05,0.0013319153660471545
48,-0.0017579780375388966,-0.003108313028024406,-0.003275990912273495,0.0006713210090278769,4.0775794370010175e-05,0.0013221720560305536
49,-0.0007416542102077492,-0.0007968170591176661,-0.0009686335329872602,0.0006681982115288206,4.714391392701592e-05,0.001308832272441175
50,-0.00066375306677285,-0.0006950476098198979,-0.0009415778027325799,0.0006648056797880406,4.699688530877615e-05,0.0013029908862392798
51,-0.00026038676282963966,0.00031605478498626373,0.00047528183470296184,0.0006621907999140522,5.089966799806296e-05,0.0012937848047659929
52,-0.0010711187414353645,-0.0013999634205263181,-0.001582529663661443,0.0006588023407435971,5.046175367766726e-05,0.0012843016711104533
53,-5.50685638779162e-05,0.0006079350786140439,0.00019877178528899278,0.0006548365199218985,5.1384316572839694e-05,0.0012740672857990845
54,0.0006315940203386582,0.002259763863710024,0.0022662367640849247,0.0006511947345692385,5.4067767104209075e-05,0.0012656832253082543
55,0.0003200005076568054,0.00106186515173583,0.00039520517723166764,0.0006479902899534794,5.6275226669878565e-05,0.0012527105322205883
56,-8.307069981060456e-05,0.0005071582430362875,0.0002097426735379028,0.0006443251586847349,5.724703117219295e-05,0.0012448352178173654
57,-0.0007078036711674047,-0.0009664257158483485,-0.0015577308533711043,0.0006409969291452515,5.9031194784268783e-05,0.0012364030245191695
58,0.000183057908166263,0.0006495959527198541,9.898856580945279e-05,0.0006383824475155278,5.944557508731864e-05,0.0012325959561360195
59,0.0003239323695286055,0.0009386379459909586,0.0003752695892884453,0.000635533091437658,6.0416771821601936e-05,0.0012279931476111782
60,0.0002746236182164095,0.000724048160371676,0.000340671281759861,0.0006326937158392559,6.055713394922268e-05,0.0012190486289305456
61,-0.00023228160358185895,-0.000330206845601336,-0.0008707792424601915,0.0006287430997143294,6.0519009202612184e-05,0.001216544444954464
62,0.0005608050942596627,0.0015282266136960653,0.001371394678813487,0.0006243767677340908,5.915516773271322e-05,0.0012130082354587742
63,0.00012495972335188266,0.0005306560183625847,0.0003707019405122371,0.0006216795104032883,5.9192815004473026e-05,0.0012121928511631796
64,0.00011286231772774645,0.0005300545070902484,0.00018883692919619254,0.0006190163530957347,5.615965102981111e-05,0.0012080123752985557
65,0.0006980302834040478,0.0020288454379314385,0.0020561318935927706,0.0006169241789282916,5.6590147687274226e-05,0.0012019681818781955
66,0.00021610616154099963,0.0010950531558040302,0.000940587528006883,0.0006146501855634223,5.343834020692694e-05,0.001196060232229831
67,-0.00021206513250745867,0.0004668976871481701,0.0003448599630678167,0.0006121108665676681,5.233943118277691e-05,0.0011934195405533634
68,-0.0001492765514599945,0.0010029726893872912,0.001410061306606537,0.0006090680307515449,5.018015830111016e-05,0.0011887768405061687
69,-0.0003601426271822494,0.0006051141390511173,0.0013081965190676437,0.0006068485001653428,4.850426005761114e-05,0.0011832626500412888
70,-0.0007122791563486062,6.0743834270751025e-05,0.0008371957534200272,0.000603469275087349,4.6065790575260916e-05,0.0011793722745114497
71,-0.0002244251976709627,0.0007077725624716695,0.0011170704721228356,0.0006006807486501661,4.59709413513191e-05,0.0011763358883615073
72,0.0001617706893507789,0.0014074009864680568,0.0017869558209384893,0.0005970887361543155,4.342324064520139e-05,0.001174462243818601
73,-0.000478575429890598,3.7046536462539024e-06,1.1228766002655496e-05,0.0005944537090014878,4.0859124642787786e-05,0.0011724154129496567
