doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
1,-0.008916516505246632,-0.011290267264051001,-0.01552322131064034,-0.024251582278849264,-0.04407551642376307,-0.004414133359330993
2,-0.006475934598659561,-0.008337513363620912,-0.011759055669528505,-0.02384303968851411,-0.043324947927022066,-0.004316137055154085
3,-0.005165338581822487,-0.00665621590046188,-0.009031118153180005,-0.023448433254492314,-0.04258252907821609,-0.0042413513606381435
4,-0.0075302489666447545,-0.00946006436254664,-0.012220815174608815,-0.023046138364672175,-0.041853109849309775,-0.004168618350241781
5,-0.0005710486375571479,-0.0009934969903102398,-0.001996152868870745,-0.02266187051408918,-0.04114374437251244,-0.004099848946531856
6,0.0011488876738540582,0.0012426171103329029,0.0014031751741046083,-0.022274850100279582,-0.04044405635371006,-0.004042627647815268
7,-0.0017919326220051865,-0.002413984367091652,-0.0037622979018224014,-0.021891821235894292,-0.03973186484546317,-0.003977071180234742
8,-0.0006116243700828013,-0.0009013102326313527,-0.001520378718249596,-0.021514989600196967,-0.03903665495154476,-0.0039302349018162114
9,-0.0003499719270534936,-0.0008624036245095246,-0.0031045715627596266,-0.021137138306805654,-0.03835908056553495,-0.003877619097735869
10,0.0015002197993148423,0.0018108597188965748,0.001701421492507781,-0.020779710132129703,-0.03768768328797157,-0.003860803586164289
11,0.00034147475665440306,0.00034481240039317386,0.00020023056899799984,-0.020422123682516287,-0.037032516412619725,-0.003800983324085542
12,0.0009392101154151194,0.0009136205199185155,0.0007724264082133716,-0.020069663067178035,-0.036378419867496035,-0.0037491735647145292
13,0.00022442996449506406,0.00018745966173763461,0.00027668906555370726,-0.019722210806346212,-0.035732401400196435,-0.0036731299373207703
14,-0.000402138144150174,-0.0007824007854866973,-0.0022429788808707245,-0.01938983572905417,-0.0350901035141056,-0.003599186851599049
15,0.0006290076067971416,0.000748073081609446,0.0015437228973867703,-0.019027810577607197,-0.03446009867768542,-0.003563551679874562
16,-0.0009646744947620297,-0.001264974203770838,-0.0015857728294922885,-0.018694009521054114,-0.03384830129791463,-0.0034924178823913174
