doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
1,0.0029232006055454865,0.003566252494924467,0.0023332119428615696,0.003109128971628907,0.001344788561779649,0.005535024619339502
2,0.002892574508238529,0.0034590197105882244,0.0021610579424432767,0.003069985979802848,0.001337178640220464,0.005443737774054682
3,0.002873278408485973,0.0034227964604217594,0.00213550591447196,0.003031753479504067,0.0013202732047288043,0.005339224547337696
4,0.00285449355918057,0.0032799064623799494,0.0018738923623454352,0.002994658208423176,0.0013135966956498901,0.0052554851500142
5,0.002778444511430907,0.002913757031655435,0.0011564463011244776,0.002955820519263546,0.0013019644885223548,0.005163768409662792
6,0.002713227230898492,0.0029412842111589768,0.001310510054750458,0.002916945499151588,0.0012959913871840264,0.005072273833416883
7,0.002690851558977197,0.0031472210383589666,0.0017865664173987302,0.002877460939067775,0.00129752597438341,0.004983298142973957
8,0.002668254966429532,0.003056513751481825,0.0016329950751258848,0.0028422187523795654,0.0012977484875340013,0.00489546647709683
9,0.0027544208478982547,0.0029870208299890566,0.0012039712152105235,0.0028052340536215067,0.0012834438099724576,0.004807790554918923
10,0.002700247978002653,0.0024222608524674645,-4.503075254906742e-05,0.0027688419085149674,0.0012754770416459357,0.004716712807337462
11,0.0026532110400462536,0.002214036348240281,-0.0004337820172173503,0.002727155549330379,0.001268800199745722,0.0046325872813611745
12,0.002603505076061509,0.002007161449452633,-0.0008129634047369651,0.0026927465238486964,0.0012563958300374136,0.004548600732544274
13,0.002557246865675454,0.0019038612067248312,-0.0009707616401222359,0.0026564015648636243,0.0012492681873504873,0.004464141374604922
14,0.0025174294756053588,0.0017727700162827335,-0.0011964279485641165,0.002619840231358945,0.0012373643789863505,0.004385424470092218
15,0.0024840852956390107,0.0017366578982198038,-0.0012135854917181717,0.002587853094021852,0.0012297048040813782,0.004300903303541279
16,0.0024548292200828065,0.0016570366948882311,-0.0013323012795457923,0.0025516819644896167,0.0012150945341615471,0.004224466949272762
17,0.002428447502028028,0.00162752411548575,-0.0013402574518484437,0.0025170406430286415,0.0012098897943064223,0.004148041590562412
18,0.0024219162823321985,0.001757681772153982,-0.0010158120504020047,0.002483093078671443,0.0012023778148887376,0.0040741263127251895
19,0.0022898587905533707,0.0010546705621647542,-0.002445176895286,0.0024482213880573514,0.0011866633901657202,0.003998811297030069
20,0.0023858478564526718,0.002072672785648789,-0.0002204641302888473,0.0024146410243552057,0.0011818552642283637,0.003929438527766276
21,0.002488714627148451,0.00326263783890875,0.0023978087101263258,0.002380408527906785,0.0011709659287483392,0.0038571270736810106
22,0.002552563799434425,0.003629035265332451,0.003165354698567942,0.0023464616350396842,0.0011593968055644368,0.003781664461688172
23,0.0026046743590347125,0.00426042807121192,0.0045719234016445235,0.0023135769509287454,0.0011537413999046413,0.0037107274509055603
24,0.002552691615343282,0.004001586203067824,0.004079088805230337,0.0022817432852966783,0.0011430715830965277,0.0036430496683504568
25,0.0025381618831469854,0.004091945226507948,0.004321336655711844,0.0022479800041070135,0.0011277348788237198,0.0035749902981939874
26,0.0024130665638102005,0.004269758128039264,0.004849824824212431,0.002214968867319901,0.001112427585175867,0.0035087259333756427
27,0.002497179081884444,0.004984355535782711,0.0064197472882718265,0.002181531711134255,0.001095866655056213,0.0034437021714072607
28,0.002524382742381824,0.005264824360030751,0.0070610268449112,0.002151001844566307,0.0010868934390336766,0.003379461445499293
29,0.0025188310020401645,0.005463308654076209,0.007541579576911814,0.0021177378925719397,0.0010742197333953821,0.003316783497561735
30,0.0024905021525313347,0.005401411759034099,0.0074555214292885315,0.0020834850137644865,0.001064684100292846,0.0032613889259571305
31,0.002479036307757753,0.005537870122473724,0.007803775179548313,0.0020541844160575974,0.001049666493165633,0.003203109700595104
32,0.002504511691791084,0.006392363296195401,0.009722322099289958,0.0020239380925460666,0.0010372319426139392,0.0031492130403543415
33,0.0024744352618716,0.006374495913857574,0.009735709763023629,0.001993202618175152,0.0010226245862790275,0.0030896655088129537
34,0.002440058495954168,0.006197465821715247,0.009396692757502389,0.0019624852079798616,0.0010063869753324376,0.0030298840674490234
35,0.0023675328753836604,0.0062906242385414035,0.009688858616216165,0.001930497247634017,0.0009901989697486632,0.002971569611102379
36,0.002238172127694433,0.006357844800536451,0.009977502085364463,0.0018991731611825316,0.0009731778925570961,0.0029157523462655576
37,0.002164913299859319,0.0063962612746530905,0.010148736728192274,0.0018685848399884971,0.000959166830319127,0.002858574130608258
38,0.002162052335627224,0.006396176904411616,0.010205112827992175,0.0018392552734130345,0.0009443916545102369,0.002810337220186433
39,0.0021729549600164036,0.006620141613798064,0.010693229585669118,0.0018105829618724162,0.00092754161575059,0.002760805579622743
40,0.0020856248185352863,0.005993833915966404,0.009365188363860143,0.0017835663196938793,0.0009129888983964187,0.0027112825329367535
41,0.002074041136979508,0.005873518998783678,0.00912037724026339,0.0017527287960672948,0.0009007782131850091,0.002660815476674874
42,0.0020896085858603383,0.00600520902920501,0.009430697076284607,0.0017233512036973877,0.0008854237456462352,0.0026141587837517997
43,0.0020768422157756814,0.005959497022913973,0.009320335661006506,0.0016961279462487343,0.0008685623555229931,0.0025742028049487533
44,0.002137983461388385,0.0064129406410394765,0.010321209098813006,0.001664794908994358,0.0008502898530151396,0.0025298174388083505
45,0.0021510856531969124,0.006587045482269474,0.010691647340392758,0.0016372645283475535,0.0008338250128058617,0.0024806989069782364
46,0.0021472319672465557,0.006672540309873911,0.010889201671000295,0.0016094734153105487,0.0008192298156084455,0.002439675889138265
47,0.002102239538140463,0.006562071163797169,0.010694134156488271,0.0015818761102709274,0.0007990257730383431,0.0024045393808572063
48,0.0020796523606724142,0.0066436819390549105,0.010909412562740252,0.0015545756969648963,0.0007791023654531394,0.0023693017253097245
49,0.002070111248824442,0.00669354099862075,0.011045422656415374,0.001526292477764073,0.0007624050072471306,0.0023322982763513684
50,0.0020256264056340988,0.0064757873585500735,0.010633508580489835,0.0014998011609871013,0.0007434385098575975,0.002294521821965499
51,0.0020185036672811614,0.006525836495724213,0.010768473960584557,0.0014735888427649235,0.0007214760807460787,0.0022574023658065525
52,0.0019907268964454946,0.006620012405204339,0.011000015648928895,0.0014481870135299932,0.0007004337201819577,0.00222716724654804
53,0.0020110277708068297,0.0065410616484957015,0.010733636589110635,0.0014233541665628633,0.0006768639277257997,0.002189214051320322
54,0.0019756729723452754,0.006345078088606474,0.010351490977213777,0.0013961290343109097,0.0006561638101986872,0.0021581436439035416
55,0.001997726487443714,0.006625480884118604,0.010982492495787912,0.0013698993942031826,0.0006390496748403964,0.0021255399944304885
56,0.0019596976037979568,0.006398888850273811,0.01052955056161151,0.0013434220625734377,0.0006158468470760622,0.0020949011195575355
57,0.001894256468782667,0.00616872737226926,0.010102680205179978,0.0013185351836450864,0.000592553879726223,0.002063514672282087
58,0.0019451595089059566,0.006488451882319874,0.010808731200677359,0.0012913971766312202,0.0005739186498408575,0.002030516549702631
59,0.001868399464820264,0.006617590445936798,0.011189778972377098,0.001270075532121274,0.0005558007300571859,0.0020028829484574594
60,0.0018189322066974839,0.0065703621578578645,0.01114155544557663,0.0012439219423771397,0.0005347672409316763,0.0019758277680165825
61,0.0017206109605567513,0.005904867840463612,0.009767382451504424,0.0012197174270763237,0.0005118983041798048,0.001951638552691254
62,0.001727041065827232,0.005895801933660572,0.009780937620122644,0.0011971671171763616,0.00048686487379272296,0.00192267331393677
