,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.018,0.033,-0.074,0.036,0.0,0.0,6263.0,4752.0,1.0
beta0,0.08,0.059,-0.016,0.176,0.001,0.001,4239.0,4770.0,1.0
beta1,0.118,0.064,0.015,0.221,0.001,0.001,3212.0,3243.0,1.0
beta_coefs[0],0.08,0.059,-0.016,0.176,0.001,0.001,4239.0,4770.0,1.0
beta_coefs[1],0.118,0.064,0.015,0.221,0.001,0.001,3212.0,3243.0,1.0
beta_coefs[2],0.109,0.065,0.002,0.216,0.001,0.001,4238.0,2879.0,1.0
beta_coefs[3],-0.018,0.07,-0.123,0.098,0.001,0.001,3364.0,3183.0,1.0
beta_coefs[4],-0.375,0.096,-0.541,-0.224,0.001,0.001,4351.0,3473.0,1.0
rw2_innovations[0],-0.049,0.151,-0.287,0.209,0.003,0.003,2744.0,2791.0,1.0
rw2_innovations[1],-0.117,0.135,-0.339,0.101,0.002,0.003,4087.0,3052.0,1.0
rw2_innovations[2],-0.23,0.187,-0.528,0.042,0.003,0.004,3348.0,2970.0,1.0
sigma,0.399,0.024,0.358,0.437,0.0,0.0,5854.0,4767.0,1.0
sigma_smooth,0.163,0.063,0.061,0.265,0.001,0.001,2361.0,1746.0,1.0
