,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.001,0.03,-0.05,0.048,0.0,0.0,5331.0,4890.0,1.0
beta0,0.077,0.056,-0.012,0.171,0.001,0.001,3947.0,4682.0,1.0
beta1,0.097,0.057,0.005,0.188,0.001,0.001,2756.0,2750.0,1.0
beta_coefs[0],0.077,0.056,-0.012,0.171,0.001,0.001,3947.0,4682.0,1.0
beta_coefs[1],0.097,0.057,0.005,0.188,0.001,0.001,2756.0,2750.0,1.0
beta_coefs[2],0.103,0.058,0.009,0.198,0.001,0.001,4254.0,3673.0,1.0
beta_coefs[3],0.007,0.072,-0.102,0.122,0.001,0.001,3095.0,3384.0,1.0
beta_coefs[4],-0.358,0.086,-0.503,-0.221,0.001,0.001,4219.0,3722.0,1.0
rw2_innovations[0],-0.015,0.147,-0.258,0.22,0.003,0.003,2461.0,2190.0,1.0
rw2_innovations[1],-0.101,0.131,-0.32,0.1,0.002,0.002,3682.0,3042.0,1.0
rw2_innovations[2],-0.269,0.199,-0.574,0.036,0.004,0.003,3085.0,3102.0,1.0
sigma,0.381,0.022,0.345,0.417,0.0,0.0,5281.0,4474.0,1.0
sigma_smooth,0.167,0.065,0.06,0.268,0.001,0.001,2314.0,2194.0,1.0
