,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.075,0.029,0.029,0.125,0.0,0.0,5746.0,4967.0,1.0
beta0,-0.058,0.029,-0.104,-0.007,0.0,0.0,4818.0,5210.0,1.0
beta1,-0.047,0.038,-0.113,0.009,0.001,0.001,3331.0,2606.0,1.0
beta_coefs[0],-0.058,0.029,-0.104,-0.007,0.0,0.0,4818.0,5210.0,1.0
beta_coefs[1],-0.047,0.038,-0.113,0.009,0.001,0.001,3331.0,2606.0,1.0
beta_coefs[2],-0.032,0.031,-0.083,0.014,0.0,0.001,3924.0,3488.0,1.0
beta_coefs[3],0.011,0.039,-0.054,0.068,0.001,0.001,3076.0,2572.0,1.0
beta_coefs[4],0.122,0.041,0.052,0.187,0.001,0.0,4255.0,5578.0,1.0
rw2_innovations[0],0.004,0.086,-0.129,0.148,0.002,0.002,3041.0,2405.0,1.01
rw2_innovations[1],0.028,0.075,-0.08,0.159,0.001,0.002,3495.0,2398.0,1.0
rw2_innovations[2],0.068,0.094,-0.068,0.221,0.002,0.002,2869.0,2682.0,1.0
sigma,0.358,0.022,0.325,0.395,0.0,0.0,5301.0,4711.0,1.0
sigma_smooth,0.086,0.053,0.002,0.159,0.001,0.001,1382.0,1390.0,1.0
