,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.032,-0.056,0.05,0.0,0.0,5036.0,4533.0,1.0
beta0,-0.105,0.033,-0.157,-0.049,0.001,0.0,3727.0,3763.0,1.0
beta1,-0.029,0.055,-0.102,0.062,0.002,0.002,1426.0,1747.0,1.0
beta_coefs[0],-0.105,0.033,-0.157,-0.049,0.001,0.0,3727.0,3763.0,1.0
beta_coefs[1],-0.029,0.055,-0.102,0.062,0.002,0.002,1426.0,1747.0,1.0
beta_coefs[2],-0.033,0.035,-0.089,0.02,0.001,0.001,3587.0,3114.0,1.0
beta_coefs[3],0.003,0.049,-0.072,0.071,0.001,0.002,1644.0,1897.0,1.0
beta_coefs[4],0.104,0.041,0.037,0.17,0.001,0.0,5013.0,5093.0,1.0
rw2_innovations[0],-0.079,0.131,-0.297,0.078,0.004,0.004,1432.0,1813.0,1.0
rw2_innovations[1],0.039,0.088,-0.089,0.184,0.002,0.003,3218.0,2248.0,1.0
rw2_innovations[2],0.064,0.11,-0.072,0.248,0.003,0.004,1921.0,1973.0,1.0
sigma,0.404,0.023,0.366,0.442,0.0,0.0,3790.0,4269.0,1.0
sigma_smooth,0.089,0.069,0.001,0.189,0.002,0.001,733.0,839.0,1.0
