,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.003,0.119,-0.182,0.208,0.003,0.002,1850.0,2676.0,1.0
beta0,-0.006,0.045,-0.078,0.072,0.001,0.001,3941.0,3816.0,1.0
beta1,-0.004,0.029,-0.05,0.042,0.001,0.001,2789.0,2208.0,1.0
beta_coefs[0],-0.006,0.045,-0.078,0.072,0.001,0.001,3941.0,3816.0,1.0
beta_coefs[1],-0.004,0.029,-0.05,0.042,0.001,0.001,2789.0,2208.0,1.0
beta_coefs[2],0.001,0.028,-0.047,0.043,0.0,0.001,5123.0,4176.0,1.0
beta_coefs[3],0.01,0.026,-0.031,0.051,0.0,0.001,3370.0,2654.0,1.0
beta_coefs[4],0.011,0.036,-0.046,0.07,0.001,0.001,4279.0,4639.0,1.0
lag_coef,-0.22,0.071,-0.344,-0.108,0.001,0.001,4941.0,4943.0,1.0
rw2_innovations[0],0.003,0.066,-0.102,0.106,0.001,0.002,3025.0,1781.0,1.0
rw2_innovations[1],0.005,0.057,-0.081,0.099,0.001,0.002,4207.0,2906.0,1.0
rw2_innovations[2],-0.009,0.066,-0.116,0.096,0.001,0.002,4347.0,2072.0,1.0
sigma,0.293,0.018,0.262,0.32,0.001,0.001,974.0,249.0,1.0
sigma_smooth,0.057,0.049,0.001,0.128,0.002,0.001,338.0,147.0,1.01
sigma_year,0.357,0.102,0.209,0.51,0.002,0.002,1882.0,3119.0,1.0
year_raw[0],0.581,0.411,-0.051,1.279,0.012,0.007,1295.0,3432.0,1.0
year_raw[1],0.911,0.456,0.264,1.764,0.014,0.009,1122.0,495.0,1.0
year_raw[2],-0.458,0.414,-1.103,0.246,0.008,0.006,2439.0,3693.0,1.0
year_raw[3],0.76,0.488,-0.013,1.572,0.01,0.007,2319.0,3775.0,1.0
year_raw[4],0.621,0.46,-0.125,1.406,0.016,0.012,943.0,217.0,1.01
year_raw[5],0.603,0.415,-0.04,1.321,0.009,0.006,2148.0,4047.0,1.0
year_raw[6],-1.651,0.544,-2.527,-0.753,0.011,0.007,2419.0,3429.0,1.0
year_raw[7],-0.337,0.422,-0.991,0.382,0.008,0.007,2582.0,3580.0,1.0
year_raw[8],-1.119,0.468,-1.878,-0.351,0.009,0.006,2571.0,3988.0,1.0
year_re[2016],0.193,0.136,-0.03,0.409,0.003,0.002,2145.0,3489.0,1.0
year_re[2017],0.306,0.145,0.069,0.542,0.003,0.002,2314.0,3942.0,1.0
year_re[2018],-0.152,0.14,-0.375,0.081,0.003,0.002,2351.0,3494.0,1.0
year_re[2019],0.25,0.151,-0.001,0.491,0.003,0.002,2678.0,3775.0,1.0
year_re[2020],0.21,0.154,-0.044,0.458,0.003,0.002,2100.0,4119.0,1.0
year_re[2021],0.203,0.141,-0.02,0.441,0.003,0.002,2330.0,3754.0,1.0
year_re[2022],-0.553,0.141,-0.793,-0.338,0.003,0.002,2300.0,3568.0,1.0
year_re[2023],-0.114,0.146,-0.351,0.126,0.003,0.002,2467.0,3430.0,1.0
year_re[2024],-0.375,0.141,-0.599,-0.137,0.003,0.002,2568.0,3935.0,1.0
