,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.018,0.122,-0.184,0.211,0.003,0.002,1769.0,2829.0,1.0
beta0,0.056,0.036,-0.001,0.114,0.001,0.001,3808.0,3909.0,1.0
beta1,0.014,0.031,-0.038,0.058,0.001,0.001,3063.0,3077.0,1.0
beta_coefs[0],0.056,0.036,-0.001,0.114,0.001,0.001,3808.0,3909.0,1.0
beta_coefs[1],0.014,0.031,-0.038,0.058,0.001,0.001,3063.0,3077.0,1.0
beta_coefs[2],-0.011,0.031,-0.062,0.035,0.001,0.001,3151.0,2559.0,1.0
beta_coefs[3],-0.011,0.028,-0.052,0.033,0.0,0.001,4634.0,2315.0,1.0
beta_coefs[4],-0.019,0.041,-0.085,0.046,0.001,0.001,5226.0,4075.0,1.0
lag_coef,-0.219,0.073,-0.342,-0.102,0.001,0.001,5972.0,5260.0,1.0
rw2_innovations[0],0.018,0.074,-0.084,0.142,0.001,0.003,3072.0,2623.0,1.0
rw2_innovations[1],0.024,0.068,-0.072,0.132,0.001,0.003,3354.0,1987.0,1.0
rw2_innovations[2],-0.007,0.077,-0.119,0.116,0.001,0.003,4590.0,2296.0,1.0
sigma,0.288,0.018,0.258,0.316,0.0,0.0,6037.0,5272.0,1.0
sigma_smooth,0.065,0.051,0.001,0.137,0.001,0.001,1035.0,1466.0,1.0
sigma_year,0.342,0.105,0.193,0.501,0.002,0.002,2363.0,4013.0,1.0
year_raw[0],0.478,0.421,-0.261,1.126,0.009,0.005,2280.0,3741.0,1.0
year_raw[1],0.707,0.441,-0.024,1.41,0.009,0.006,2359.0,3556.0,1.0
year_raw[2],0.946,0.491,0.113,1.719,0.01,0.006,2237.0,3811.0,1.0
year_raw[3],0.426,0.468,-0.361,1.164,0.009,0.005,2502.0,4299.0,1.0
year_raw[4],0.372,0.433,-0.354,1.057,0.009,0.005,2325.0,3695.0,1.0
year_raw[5],-1.63,0.571,-2.499,-0.649,0.011,0.007,2505.0,3730.0,1.0
year_raw[6],-0.365,0.441,-1.105,0.321,0.009,0.005,2238.0,4170.0,1.0
year_raw[7],-0.958,0.487,-1.778,-0.195,0.01,0.006,2471.0,3673.0,1.0
year_re[2016],0.152,0.138,-0.077,0.371,0.003,0.002,2277.0,3871.0,1.0
year_re[2017],0.226,0.139,-0.004,0.448,0.003,0.002,2270.0,3405.0,1.0
year_re[2019],0.299,0.142,0.071,0.534,0.003,0.002,2338.0,4099.0,1.0
year_re[2020],0.137,0.153,-0.118,0.38,0.003,0.002,2397.0,4162.0,1.0
year_re[2021],0.12,0.144,-0.119,0.347,0.003,0.002,2279.0,3928.0,1.0
year_re[2022],-0.518,0.14,-0.745,-0.291,0.003,0.002,2563.0,3507.0,1.0
year_re[2023],-0.116,0.145,-0.348,0.121,0.003,0.002,2191.0,3284.0,1.0
year_re[2024],-0.306,0.146,-0.552,-0.076,0.003,0.002,2336.0,4019.0,1.0
